ds,yhat,y
2025-03-18 00:00:00,4.532751,0.159
2025-03-18 01:00:00,4.3457937,0.16
2025-03-18 02:00:00,4.3335767,0.161
2025-03-18 03:00:00,4.3335767,0.161
2025-03-18 04:00:00,4.3075852,0.16
2025-03-18 05:00:00,4.632052,0.16
2025-03-18 06:00:00,7.047001,6.882
2025-03-18 07:00:00,28.42662,32.564
2025-03-18 08:00:00,84.4336,84.137
2025-03-18 09:00:00,85.110115,101.948
2025-03-18 10:00:00,80.117065,86.846
2025-03-18 11:00:00,67.135994,66.63300000000001
2025-03-18 12:00:00,29.319168,36.929
2025-03-18 13:00:00,16.393494,12.905
2025-03-18 14:00:00,19.32292,10.994
2025-03-18 15:00:00,13.170492,7.7120000000000015
2025-03-18 16:00:00,12.497921,0.161
2025-03-18 17:00:00,5.0356364,0.746
2025-03-18 18:00:00,4.536316,0.159
2025-03-18 19:00:00,6.313368,0.159
2025-03-18 20:00:00,6.3554554,0.16
2025-03-18 21:00:00,5.165452,0.16
2025-03-18 22:00:00,5.3726225,0.16
2025-03-18 23:00:00,5.3708253,0.159
