Date,Grid Organi lbc (L1) [kW],Grid Organi lbc (L2) [kW],Grid Organi lbc (L3) [kW],Chargers (L1) [kW],Chargers (L2) [kW],Chargers (L3) [kW],Solar (L1) [kW],Solar (L2) [kW],Solar (L3) [kW],Chargers achteraan (L1) [kW],Chargers achteraan (L2) [kW],Chargers achteraan (L3) [kW]
2025-01-03 23:45:00,"5,626","3,912","4,711","0,036","0,034","0,019",0,"-0,006","-0,001","0,025","0,024","0,021"
2025-01-03 23:30:00,"5,842","3,978","4,778","0,036","0,035","0,019",0,"-0,006","-0,001","0,024","0,024","0,02"
2025-01-03 23:15:00,"5,633","4,003","4,748","0,036","0,034","0,02",0,"-0,006","-0,001","0,024","0,023","0,022"
2025-01-03 23:00:00,"5,886","4,041","4,778","0,036","0,033","0,02",0,"-0,006","-0,001","0,025","0,022","0,022"
2025-01-03 22:45:00,"5,715","4,002","4,791","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,021"
2025-01-03 22:30:00,"5,965","4,002","4,859","0,036","0,034","0,019",0,"-0,006","-0,001","0,025","0,024","0,021"
2025-01-03 22:15:00,"5,86","3,992","4,814","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,021"
2025-01-03 22:00:00,"5,76","4,058","4,804","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,022"
2025-01-03 21:45:00,"6,008","3,875","4,688","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,024","0,021"
2025-01-03 21:30:00,"5,994","3,911","4,748","0,036","0,034","0,019",0,"-0,006","-0,001","0,025","0,024","0,021"
2025-01-03 21:15:00,"6,52","3,913","4,776","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,022"
2025-01-03 21:00:00,"6,078","3,948","4,757","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,022"
2025-01-03 20:45:00,"5,859","3,854","4,672","0,036","0,034","0,019",0,"-0,006","-0,001","0,025","0,024","0,021"
2025-01-03 20:30:00,"6,082","3,93","4,828","0,036","0,035","0,019",0,"-0,006","-0,001","0,025","0,024","0,02"
2025-01-03 20:15:00,"6,031","3,933","4,856","0,036","0,035","0,019",0,"-0,006","-0,001","0,025","0,024","0,021"
2025-01-03 20:00:00,"5,996","3,942","4,828","0,036","0,035","0,019",0,"-0,006","-0,001","0,025","0,024","0,022"
2025-01-03 19:45:00,"6,239","3,907","4,73","0,036","0,035","0,019",0,"-0,006","-0,001","0,025","0,024","0,022"
2025-01-03 19:30:00,"6,215","3,908","4,793","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,024","0,021"
2025-01-03 19:15:00,"6,742","3,96","4,834","0,036","0,034","0,019",0,"-0,006","-0,001","0,025","0,024","0,022"
2025-01-03 19:00:00,"6,669","4,071","4,792","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,024","0,022"
2025-01-03 18:45:00,"6,745","4,338","4,824","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,024","0,022"
2025-01-03 18:30:00,"6,479","4,382","4,764","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,024","0,022"
2025-01-03 18:15:00,"6,768","4,443","4,791","0,036","0,034","0,019",0,"-0,006","-0,001","0,025","0,024","0,022"
2025-01-03 18:00:00,"6,624","4,345","4,724","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,024","0,022"
2025-01-03 17:45:00,"8,952","6,816","6,744","0,995","1,002","0,993",0,"-0,006","-0,001","0,648","0,631","0,651"
2025-01-03 17:30:00,"7,764","5,555","5,538","0,036","0,033","0,02",0,"-0,006","-0,001","0,025","0,023","0,023"
2025-01-03 17:15:00,"9,082","6,181","6,012","0,036","0,034","0,02",0,"-0,007","-0,001","0,49","0,489","0,488"
2025-01-03 17:00:00,"10,928","8,111","7,43","0,036","0,033","0,02",0,"-0,006","-0,001","1,826","1,808","1,816"
2025-01-03 16:45:00,"10,669","8,124","7,09","0,036","0,033","0,022","0,011","0,006","0,012","1,527","1,522","1,522"
2025-01-03 16:30:00,"9,598","7,059","6,098","0,036","0,032","0,02","0,046","0,044","0,05","0,486","0,472","0,489"
2025-01-03 16:15:00,"9,093","6,674","5,818","0,036","0,032","0,02","0,082","0,08","0,087","0,083","0,023","0,078"
2025-01-03 16:00:00,"12,323","7,239","9,008","0,036","0,034","0,022","0,15","0,149","0,154","3,349","0,592","3,266"
2025-01-03 15:45:00,"14,614","9,297","11,891","0,036","0,033","0,023","0,445","0,449","0,45","5,946","2,907","5,862"
2025-01-03 15:30:00,"13,826","10,94","11,872","0,036","0,032","0,022","0,527","0,532","0,532","5,102","4,606","5,037"
2025-01-03 15:15:00,"13,917","11,715","12,174","0,036","0,033","0,021","0,478","0,483","0,483","5,34","5,358","5,28"
2025-01-03 15:00:00,"14,06","14,151","12,286","0,036","0,032","0,02","0,654","0,661","0,659","5,495","7,928","5,433"
2025-01-03 14:45:00,"15,145","12,75","13,025","0,036","0,034","0,022","0,39","0,393","0,395","6,297","6,302","6,247"
2025-01-03 14:30:00,"14,769","12,423","12,744","0,035","0,034","0,022","0,792","0,801","0,797","6,314","6,308","6,274"
2025-01-03 14:15:00,"14,172","12,616","11,447","0,035","0,034","0,021","1,551","1,572","1,559","5,965","7,244","5,922"
2025-01-03 14:00:00,"11,53","12,951","9,34","0,035","0,032","0,02","1,407","1,426","1,415","3,77","7,413","3,729"
2025-01-03 13:45:00,"9,44","10,335","7,158","0,036","0,032","0,02","1,246","1,261","1,253","1,374","4,719","1,362"
2025-01-03 13:30:00,"8,106","5,946","5,956","0,036","0,033","0,02","1,156","1,17","1,162","0,024","0,023","0,024"
2025-01-03 13:15:00,"9,188","4,898","5,171","0,036","0,034","0,02","2,058","2,086","2,07","0,024","0,024","0,024"
2025-01-03 13:00:00,"8,105","6,112","5,707","0,036","0,034","0,02","1,479","1,5","1,487","0,024","0,024","0,024"
2025-01-03 12:45:00,"7,657","5,595","5,802","0,036","0,034","0,02","1,493","1,514","1,501","0,095","0,092","0,096"
2025-01-03 12:30:00,"8,708","8,042","5,16","0,036","0,034","0,02","2,103","2,132","2,116","0,024","0,024","0,024"
2025-01-03 12:15:00,"7,491","5,459","5,157","0,036","0,034","0,02","2,07","2,1","2,085","0,024","0,024","0,024"
2025-01-03 12:00:00,"9,315","7,185","7,215","2,031","2,023","2,003","2,242","2,274","2,256","0,022","0,026","0,025"
2025-01-03 11:45:00,"11,176","10,056","8,939","3,952","3,934","3,915","2,203","2,235","2,218","0,02","0,027","0,026"
2025-01-03 11:30:00,"11,64","9,219","9,178","3,944","3,928","3,906","2,07","2,1","2,083","0,021","0,028","0,026"
2025-01-03 11:15:00,"15,122","15,236","12,374","3,926","3,906","3,888","1,906","1,932","1,917","3,283","3,274","3,276"
2025-01-03 11:00:00,"17,622","18,364","15,101","3,92","3,895","3,877","1,735","1,758","1,744","5,818","5,795","5,777"
2025-01-03 10:45:00,"17,88","15,62","15,296","3,916","3,897","3,878","1,588","1,61","1,597","5,847","5,836","5,814"
2025-01-03 10:30:00,"16,125","13,704","13,738","3,915","3,897","3,876","1,225","1,242","1,231","3,896","3,901","3,882"
2025-01-03 10:15:00,"17,82","15,551","15,464","5,09","5,046","5,026","0,797","0,806","0,802","4,022","4,025","4,005"
2025-01-03 10:00:00,"25,44","21,568","22,666","8,522","7,315","8,344","0,508","0,512","0,512","7,674","7,668","7,657"
2025-01-03 09:45:00,"29,041","25,629","26,746","10,125","8,827","9,949","0,4","0,402","0,405","10,06","10,152","10,091"
2025-01-03 09:30:00,"37,436","32,799","34,524","14,144","11,612","14,046","0,313","0,315","0,318","13,595","13,728","13,643"
2025-01-03 09:15:00,"37,818","32,314","35,564","14,716","11,475","14,686","0,209","0,209","0,213","13,966","14,1","14,01"
2025-01-03 09:00:00,"37,835","32,35","35,616","14,669","11,433","14,648","0,132","0,132","0,135","13,952","14,101","13,999"
2025-01-03 08:45:00,"36,719","31,217","34,576","14,691","11,45","14,668","0,057","0,055","0,06","12,964","13,093","13,012"
2025-01-03 08:30:00,"33,141","29,267","31,039","12,757","9,525","12,752","0,01","0,006","0,01","11,16","12,011","11,216"
2025-01-03 08:15:00,"30,786","27,297","27,9","10,36","7,658","10,339","0,001","-0,005",0,"10,334","12,85","10,386"
2025-01-03 08:00:00,"24,77","25,356","22,161","7,728","7,681","7,678",0,"-0,006","-0,001","7,706","11,614","7,754"
