Date,Consumption [kW],Production [kW],Always on [kW],Import [kW],Export [kW]
2025-02-04 23:45:00,"15,713","-0,007","13,086","15,72",0
2025-02-04 23:30:00,"15,569","-0,007","13,083","15,576",0
2025-02-04 23:15:00,"15,934","-0,007","13,083","15,941",0
2025-02-04 23:00:00,"15,846","-0,007","13,083","15,853",0
2025-02-04 22:45:00,"15,471","-0,007","13,083","15,478",0
2025-02-04 22:30:00,"15,54","-0,007","13,083","15,547",0
2025-02-04 22:15:00,"15,895","-0,007","13,083","15,902",0
2025-02-04 22:00:00,"15,68","-0,007","13,083","15,687",0
2025-02-04 21:45:00,"15,739","-0,007","13,083","15,746",0
2025-02-04 21:30:00,"15,676","-0,007","13,083","15,683",0
2025-02-04 21:15:00,"16,068","-0,007","13,083","16,075",0
2025-02-04 21:00:00,"16,343","-0,007","13,083","16,35",0
2025-02-04 20:45:00,"16,018","-0,007","13,083","16,025",0
2025-02-04 20:30:00,"17,378","-0,007","13,083","17,385",0
2025-02-04 20:15:00,"17,262","-0,007","13,083","17,269",0
2025-02-04 20:00:00,"17,369","-0,007","13,083","17,376",0
2025-02-04 19:45:00,"16,837","-0,007","13,083","16,844",0
2025-02-04 19:30:00,"17,235","-0,007","13,083","17,242",0
2025-02-04 19:15:00,"18,267","-0,007","13,083","18,273",0
2025-02-04 19:00:00,"21,455","-0,007","13,083","21,462",0
2025-02-04 18:45:00,"22,327","-0,007","13,083","22,333",0
2025-02-04 18:30:00,"22,295","-0,007","13,083","22,302",0
2025-02-04 18:15:00,"29,149","-0,007","13,083","29,157",0
2025-02-04 18:00:00,"34,886","-0,009","13,083","34,895",0
2025-02-04 17:45:00,"36,981","-0,003","13,083","36,984",0
2025-02-04 17:30:00,"46,279","0,112","13,083","46,167",0
2025-02-04 17:15:00,"48,683","0,369","13,083","48,314",0
2025-02-04 17:00:00,"51,983","0,722","13,083","51,261",0
2025-02-04 16:45:00,"55,051","1,199","13,083","53,853",0
2025-02-04 16:30:00,"57,504","1,481","13,083","56,023",0
2025-02-04 16:15:00,"52,564","1,298","13,083","51,267",0
2025-02-04 16:00:00,"56,991","1,656","13,083","55,335",0
2025-02-04 15:45:00,"63,932","1,975","13,083","61,956",0
2025-02-04 15:30:00,"70,768","1,876","13,083","68,892",0
2025-02-04 15:15:00,"71,859","2,756","13,083","69,103",0
2025-02-04 15:00:00,"68,129","3,04","13,083","65,089",0
2025-02-04 14:45:00,"62,788","3,671","13,083","59,118",0
2025-02-04 14:30:00,"52,356","3,289","13,083","49,067",0
2025-02-04 14:15:00,"41,919","4,845","13,083","37,075",0
2025-02-04 14:00:00,"48,779","3,928","13,083","44,851",0
2025-02-04 13:45:00,"53,063","3,59","13,083","49,473",0
2025-02-04 13:30:00,"60,328","3,84","13,083","56,488",0
2025-02-04 13:15:00,"67,426","4,356","13,083","63,069",0
2025-02-04 13:00:00,"70,759","5,908","13,083","64,851",0
2025-02-04 12:45:00,"61,148","9,276","13,083","51,872",0
2025-02-04 12:30:00,"36,079","12,119","13,083","23,961",0
2025-02-04 12:15:00,"44,342","6,313","13,083","38,03",0
2025-02-04 12:00:00,"59,819","5,84","13,083","53,979",0
2025-02-04 11:45:00,"88,168","5,399","13,083","82,769",0
2025-02-04 11:30:00,"101,213","5,154","13,083","96,059",0
2025-02-04 11:15:00,"106,364","5,139","13,083","101,225",0
2025-02-04 11:00:00,"115,009","4,769","13,083","110,239",0
2025-02-04 10:45:00,"111,272","3,988","13,083","107,285",0
2025-02-04 10:30:00,"110,188","3,177","13,083","107,011",0
2025-02-04 10:15:00,"110,174","2,51","13,083","107,664",0
2025-02-04 10:00:00,"109,661","2,076","13,083","107,585",0
2025-02-04 09:45:00,"112,773","1,615","13,083","111,159",0
2025-02-04 09:30:00,"127,094","1,242","13,083","125,852",0
2025-02-04 09:15:00,"140,964","0,936","13,083","140,028",0
2025-02-04 09:00:00,"152,314","0,629","13,083","151,684",0
2025-02-04 08:45:00,"143,716","0,455","13,083","143,261",0
2025-02-04 08:30:00,"114,75","0,213","13,083","114,537",0
2025-02-04 08:15:00,"94,549","0,042","13,083","94,507",0
2025-02-04 08:00:00,"83,262","-0,004","13,083","83,266",0
2025-02-04 07:45:00,"68,576","-0,006","13,083","68,582",0
2025-02-04 07:30:00,"54,402","-0,007","13,083","54,409",0
2025-02-04 07:15:00,"33,067","-0,007","13,083","33,074",0
2025-02-04 07:00:00,"32,246","-0,007","13,083","32,252",0
2025-02-04 06:45:00,"34,509","-0,007","13,083","34,515",0
2025-02-04 06:30:00,"32,336","-0,007","13,083","32,343",0
2025-02-04 06:15:00,"20,852","-0,007","13,083","20,859",0
2025-02-04 06:00:00,"19,881","-0,007","13,083","19,888",0
2025-02-04 05:45:00,"17,646","-0,007","13,083","17,653",0
2025-02-04 05:30:00,"15,651","-0,007","13,083","15,658",0
2025-02-04 05:15:00,"15,209","-0,007","13,083","15,216",0
2025-02-04 05:00:00,"15,188","-0,007","13,083","15,195",0
2025-02-04 04:45:00,"15,064","-0,007","13,083","15,071",0
2025-02-04 04:30:00,"15,137","-0,007","13,083","15,144",0
2025-02-04 04:15:00,"15,266","-0,007","13,083","15,273",0
2025-02-04 04:00:00,"15,18","-0,007","13,083","15,187",0
2025-02-04 03:45:00,"15,018","-0,007","13,083","15,025",0
2025-02-04 03:30:00,"15,373","-0,007","13,083","15,38",0
2025-02-04 03:15:00,"15,412","-0,007","13,083","15,419",0
2025-02-04 03:00:00,"15,575","-0,007","13,083","15,582",0
2025-02-04 02:45:00,"15,243","-0,007","13,083","15,25",0
2025-02-04 02:30:00,"15,171","-0,007","13,083","15,178",0
2025-02-04 02:15:00,"15,493","-0,007","13,083","15,5",0
2025-02-04 02:00:00,"15,388","-0,007","13,083","15,395",0
2025-02-04 01:45:00,"15,13","-0,007","13,083","15,137",0
2025-02-04 01:30:00,"15,504","-0,007","13,083","15,511",0
2025-02-04 01:15:00,"15,559","-0,007","13,083","15,566",0
2025-02-04 01:00:00,"15,497","-0,007","13,083","15,504",0
2025-02-04 00:45:00,"15,62","-0,007","13,083","15,627",0
2025-02-04 00:30:00,"16,097","-0,007","13,083","16,104",0
2025-02-04 00:15:00,"16,058","-0,007","13,083","16,064",0
2025-02-04 00:00:00,"16,032","-0,007","13,083","16,039",0
2025-02-03 23:45:00,"15,861","-0,007","13,083","15,868",0
2025-02-03 23:30:00,"16,07","-0,007","13,083","16,077",0
2025-02-03 23:15:00,"15,625","-0,007","13,083","15,632",0
2025-02-03 23:00:00,"15,751","-0,007","13,083","15,758",0
2025-02-03 22:45:00,"16,117","-0,007","13,083","16,124",0
2025-02-03 22:30:00,"16,031","-0,007","13,083","16,038",0
2025-02-03 22:15:00,"15,26","-0,007","13,083","15,267",0
2025-02-03 22:00:00,"15,465","-0,007","13,083","15,472",0
2025-02-03 21:45:00,"16,178","-0,007","13,083","16,185",0
2025-02-03 21:30:00,"16,359","-0,007","13,083","16,366",0
2025-02-03 21:15:00,"16,185","-0,007","13,083","16,192",0
2025-02-03 21:00:00,"15,595","-0,007","13,083","15,602",0
2025-02-03 20:45:00,"15,992","-0,007","13,083","15,999",0
2025-02-03 20:30:00,"16,122","-0,007","13,083","16,129",0
2025-02-03 20:15:00,"16,128","-0,007","13,083","16,135",0
2025-02-03 20:00:00,"16,19","-0,007","13,083","16,197",0
2025-02-03 19:45:00,"16,347","-0,007","13,083","16,354",0
2025-02-03 19:30:00,"16,857","-0,007","13,083","16,864",0
2025-02-03 19:15:00,"16,308","-0,007","13,083","16,315",0
2025-02-03 19:00:00,"16,979","-0,007","13,083","16,986",0
2025-02-03 18:45:00,"18,373","-0,007","13,083","18,38",0
2025-02-03 18:30:00,"18,84","-0,007","13,083","18,847",0
2025-02-03 18:15:00,"19,912","-0,008","13,083","19,92",0
2025-02-03 18:00:00,"20,366","-0,009","13,083","20,375",0
2025-02-03 17:45:00,"21,163","-0,003","13,083","21,166",0
2025-02-03 17:30:00,"22,221","0,097","13,083","22,123",0
2025-02-03 17:15:00,"29,532","0,344","13,083","29,188",0
2025-02-03 17:00:00,"31,617","0,765","13,083","30,852",0
2025-02-03 16:45:00,"29,064","1,166","12,607","27,898",0
2025-02-03 16:30:00,"23,951","1,801","12,605","22,15",0
2025-02-03 16:15:00,"23,169","2,922","12,605","20,247",0
2025-02-03 16:00:00,"25,548","3,677","12,605","21,871",0
2025-02-03 15:45:00,"35,839","4,706","12,605","31,133",0
2025-02-03 15:30:00,"42,907","5,54","12,605","37,366",0
2025-02-03 15:15:00,"44,216","6,39","12,605","37,826",0
2025-02-03 15:00:00,"43,529","7,189","12,605","36,34",0
2025-02-03 14:45:00,"41,257","8,065","12,605","33,192",0
2025-02-03 14:30:00,"36,811","8,836","12,605","27,976",0
2025-02-03 14:15:00,"39,359","9,302","12,605","30,056",0
2025-02-03 14:00:00,"39,884","9,858","12,605","30,026",0
2025-02-03 13:45:00,46,"10,712","12,605","35,288",0
2025-02-03 13:30:00,"53,511","11,132","12,605","42,379",0
2025-02-03 13:15:00,"62,193","11,327","12,605","50,866",0
2025-02-03 13:00:00,"70,475","11,601","12,605","58,874",0
2025-02-03 12:45:00,"75,349","11,767","12,605","63,582",0
2025-02-03 12:30:00,"82,392","11,547","12,605","70,845",0
2025-02-03 12:15:00,"95,017","11,388","12,605","83,63",0
2025-02-03 12:00:00,"101,986","11,127","12,605","90,859",0
2025-02-03 11:45:00,"106,479","10,523","12,605","95,957",0
2025-02-03 11:30:00,"110,633","10,164","12,605","100,469",0
2025-02-03 11:15:00,"111,138","9,453","12,605","101,686",0
2025-02-03 11:00:00,"117,023","8,843","12,605","108,179",0
2025-02-03 10:45:00,"127,689","7,191","12,605","120,497",0
2025-02-03 10:30:00,"130,243","6,615","12,605","123,629",0
2025-02-03 10:15:00,"122,242","4,562","12,605","117,68",0
2025-02-03 10:00:00,"122,568","4,928","12,605","117,64",0
2025-02-03 09:45:00,"132,215","4,197","12,605","128,018",0
2025-02-03 09:30:00,"130,948","2,673","12,605","128,275",0
2025-02-03 09:15:00,"122,902","2,276","12,605","120,625",0
2025-02-03 09:00:00,"127,8","1,281","12,605","126,519",0
2025-02-03 08:45:00,"112,335","0,721","12,605","111,613",0
2025-02-03 08:30:00,"105,427","0,427","12,605",105,0
2025-02-03 08:15:00,"81,709","0,175","12,605","81,534",0
2025-02-03 08:00:00,"69,187","0,022","12,605","69,165",0
2025-02-03 07:45:00,"60,913","-0,005","12,605","60,918",0
2025-02-03 07:30:00,"49,778","-0,007","12,605","49,785",0
2025-02-03 07:15:00,"24,387","-0,007","12,605","24,393",0
2025-02-03 07:00:00,"16,159","-0,007","12,605","16,166",0
2025-02-03 06:45:00,"15,664","-0,007","12,605","15,671",0
2025-02-03 06:30:00,"15,728","-0,007","12,605","15,735",0
2025-02-03 06:15:00,"15,697","-0,007","12,605","15,704",0
2025-02-03 06:00:00,"15,803","-0,007","12,605","15,81",0
2025-02-03 05:45:00,"16,047","-0,007","12,605","16,053",0
2025-02-03 05:30:00,"15,763","-0,007","12,605","15,77",0
2025-02-03 05:15:00,"15,565","-0,007","12,605","15,571",0
2025-02-03 05:00:00,"15,967","-0,007","12,605","15,974",0
2025-02-03 04:45:00,"15,648","-0,007","12,605","15,655",0
2025-02-03 04:30:00,"15,421","-0,007","12,605","15,428",0
2025-02-03 04:15:00,"15,629","-0,007","12,605","15,636",0
2025-02-03 04:00:00,"15,606","-0,007","12,605","15,613",0
2025-02-03 03:45:00,"15,362","-0,007","12,605","15,369",0
2025-02-03 03:30:00,"15,454","-0,007","12,605","15,461",0
2025-02-03 03:15:00,"15,705","-0,007","12,605","15,712",0
2025-02-03 03:00:00,"15,495","-0,007","12,605","15,502",0
2025-02-03 02:45:00,"15,259","-0,007","12,605","15,266",0
2025-02-03 02:30:00,"15,481","-0,007","12,605","15,488",0
2025-02-03 02:15:00,"15,494","-0,007","12,605","15,501",0
2025-02-03 02:00:00,"15,626","-0,007","12,605","15,633",0
2025-02-03 01:45:00,"15,617","-0,007","12,605","15,624",0
2025-02-03 01:30:00,"15,508","-0,007","12,605","15,514",0
2025-02-03 01:15:00,"15,649","-0,007","12,605","15,656",0
2025-02-03 01:00:00,"15,564","-0,007","12,605","15,571",0
2025-02-03 00:45:00,"15,277","-0,007","12,605","15,284",0
2025-02-03 00:30:00,"15,331","-0,007","12,605","15,338",0
2025-02-03 00:15:00,"15,606","-0,007","12,605","15,613",0
2025-02-03 00:00:00,"15,376","-0,007","12,605","15,383",0
2025-02-02 23:45:00,"15,168","-0,007","12,605","15,175",0
2025-02-02 23:30:00,"15,286","-0,007","12,605","15,293",0
2025-02-02 23:15:00,"15,012","-0,007","12,605","15,019",0
2025-02-02 23:00:00,"14,964","-0,007","12,605","14,971",0
2025-02-02 22:45:00,"15,213","-0,007","12,605","15,22",0
2025-02-02 22:30:00,"15,175","-0,007","12,605","15,182",0
2025-02-02 22:15:00,"15,172","-0,007","12,605","15,179",0
2025-02-02 22:00:00,"15,237","-0,007","12,605","15,244",0
2025-02-02 21:45:00,"15,888","-0,007","12,605","15,896",0
2025-02-02 21:30:00,"15,446","-0,007","12,605","15,453",0
2025-02-02 21:15:00,"15,556","-0,007","12,605","15,563",0
2025-02-02 21:00:00,"15,324","-0,007","12,605","15,331",0
2025-02-02 20:45:00,"15,273","-0,007","12,605","15,28",0
2025-02-02 20:30:00,"15,29","-0,007","12,605","15,297",0
2025-02-02 20:15:00,"15,315","-0,007","12,605","15,322",0
2025-02-02 20:00:00,"15,257","-0,007","12,605","15,264",0
2025-02-02 19:45:00,"15,306","-0,007","12,605","15,314",0
2025-02-02 19:30:00,"15,41","-0,007","12,605","15,417",0
2025-02-02 19:15:00,"15,455","-0,007","12,605","15,462",0
2025-02-02 19:00:00,"15,493","-0,007","12,605","15,5",0
2025-02-02 18:45:00,"15,258","-0,007","12,605","15,265",0
2025-02-02 18:30:00,"15,39","-0,007","12,605","15,397",0
2025-02-02 18:15:00,"15,858","-0,008","12,605","15,866",0
2025-02-02 18:00:00,"15,175","-0,008","12,605","15,184",0
2025-02-02 17:45:00,"15,244","-0,003","12,605","15,247",0
2025-02-02 17:30:00,"15,426","0,092","12,605","15,334",0
2025-02-02 17:15:00,"15,392","0,292","12,605","15,1",0
2025-02-02 17:00:00,"14,73","0,5","12,605","14,23",0
2025-02-02 16:45:00,"14,872","0,939","12,605","13,933",0
2025-02-02 16:30:00,"14,94","1,744","12,605","13,196",0
2025-02-02 16:15:00,"14,847","2,789","12,605","12,058",0
2025-02-02 16:00:00,"14,919","3,764","12,605","11,154",0
2025-02-02 15:45:00,"14,987","4,976","12,605","10,011",0
2025-02-02 15:30:00,"15,006","6,048","12,605","8,958",0
2025-02-02 15:15:00,"15,037","6,906","12,605","8,132",0
2025-02-02 15:00:00,"15,018","7,686","12,605","7,332",0
2025-02-02 14:45:00,"15,819","8,363","12,605","7,456",0
2025-02-02 14:30:00,"15,009","9,085","12,605","5,924",0
2025-02-02 14:15:00,"14,868","9,359","12,605","5,509",0
2025-02-02 14:00:00,"15,099","9,789","12,605","5,31",0
2025-02-02 13:45:00,"14,9","10,669","12,605","4,231",0
2025-02-02 13:30:00,"15,162","11,02","12,605","4,142",0
2025-02-02 13:15:00,"15,352","11,254","12,605","4,098",0
2025-02-02 13:00:00,"15,151","11,488","12,605","3,663",0
2025-02-02 12:45:00,"15,155","11,784","12,605","3,371",0
2025-02-02 12:30:00,"15,122","11,629","12,605","3,493",0
2025-02-02 12:15:00,"15,364","11,415","12,605","3,949",0
2025-02-02 12:00:00,"15,198","11,176","12,605","4,021",0
2025-02-02 11:45:00,"15,129","10,766","12,605","4,363",0
2025-02-02 11:30:00,"15,373","10,238","12,605","5,136",0
2025-02-02 11:15:00,"15,727","9,527","12,605","6,2",0
2025-02-02 11:00:00,"15,353","8,682","12,605","6,671",0
2025-02-02 10:45:00,"15,058","7,613","12,605","7,445",0
2025-02-02 10:30:00,"15,178","6,843","12,605","8,335",0
2025-02-02 10:15:00,"15,073","5,972","12,605","9,1",0
2025-02-02 10:00:00,"15,042","4,579","12,605","10,463",0
2025-02-02 09:45:00,"15,016","2,985","12,605","12,031",0
2025-02-02 09:30:00,"15,002","1,764","12,605","13,239",0
2025-02-02 09:15:00,"14,993","1,843","12,605","13,149",0
2025-02-02 09:00:00,"15,038","1,139","12,605","13,899",0
2025-02-02 08:45:00,"14,984","0,568","12,605","14,416",0
2025-02-02 08:30:00,"15,39","0,34","12,605","15,05",0
2025-02-02 08:15:00,"15,072","0,144","12,605","14,928",0
2025-02-02 08:00:00,"15,191","0,009","12,605","15,182",0
2025-02-02 07:45:00,"15,85","-0,005","12,605","15,856",0
2025-02-02 07:30:00,"15,504","-0,007","12,605","15,51",0
2025-02-02 07:15:00,"15,275","-0,007","12,605","15,282",0
2025-02-02 07:00:00,"15,526","-0,007","12,605","15,533",0
2025-02-02 06:45:00,"15,538","-0,007","12,605","15,545",0
2025-02-02 06:30:00,"15,382","-0,007","12,605","15,388",0
2025-02-02 06:15:00,"15,383","-0,007","12,605","15,39",0
2025-02-02 06:00:00,"15,317","-0,007","12,605","15,324",0
2025-02-02 05:45:00,"15,447","-0,007","12,605","15,454",0
2025-02-02 05:30:00,"15,419","-0,007","12,605","15,426",0
2025-02-02 05:15:00,"15,363","-0,007","12,605","15,37",0
2025-02-02 05:00:00,"15,175","-0,007","12,605","15,182",0
2025-02-02 04:45:00,"15,355","-0,007","12,605","15,362",0
2025-02-02 04:30:00,"15,284","-0,007","12,605","15,291",0
2025-02-02 04:15:00,"15,844","-0,007","12,605","15,851",0
2025-02-02 04:00:00,"15,694","-0,007","12,605","15,701",0
2025-02-02 03:45:00,"15,118","-0,007","12,605","15,125",0
2025-02-02 03:30:00,"15,26","-0,007","12,605","15,267",0
2025-02-02 03:15:00,"15,399","-0,007","12,605","15,406",0
2025-02-02 03:00:00,"15,302","-0,007","12,605","15,309",0
2025-02-02 02:45:00,"15,331","-0,007","12,605","15,338",0
2025-02-02 02:30:00,"15,417","-0,007","12,605","15,424",0
2025-02-02 02:15:00,"15,25","-0,007","12,605","15,257",0
2025-02-02 02:00:00,"15,306","-0,007","12,605","15,313",0
2025-02-02 01:45:00,"15,224","-0,007","12,605","15,231",0
2025-02-02 01:30:00,"15,421","-0,007","12,605","15,428",0
2025-02-02 01:15:00,"15,27","-0,007","12,605","15,277",0
2025-02-02 01:00:00,"15,338","-0,007","12,605","15,345",0
2025-02-02 00:45:00,"15,207","-0,007","12,605","15,214",0
2025-02-02 00:30:00,"15,736","-0,007","12,605","15,743",0
2025-02-02 00:15:00,"15,505","-0,007","12,605","15,512",0
2025-02-02 00:00:00,"15,156","-0,007","12,605","15,163",0
2025-02-01 23:45:00,"15,084","-0,007","12,605","15,091",0
