Date,Consumption [kWh],Production [kWh],Always on [kWh],Import [kWh],Export [kWh]
2025-02-04 00:00:00,"1 067,333","30,096","314,007","1 037,233",0
2025-02-03 00:00:00,"983,504","58,726","305,867","924,775",0
2025-02-02 00:00:00,"366,438","58,843","302,515","307,591",0
2025-02-01 00:00:00,"369,294","55,724","308,935","313,568",0
2025-01-31 00:00:00,"885,584","33,959","307,901","851,621",0
2025-01-30 00:00:00,"866,114","16,726","308,663","849,386",0
2025-01-29 00:00:00,"952,353","30,999","314,012","921,352",0
2025-01-28 00:00:00,"1 017,304","21,95","300,024","995,351",0
2025-01-27 00:00:00,"1 036,646","42,27","299,981","994,372",0
2025-01-26 00:00:00,"383,643","28,78","302,232","354,858",0
2025-01-25 00:00:00,"361,311","16,05","302,17","345,257",0
2025-01-24 00:00:00,"630,256","6,464","302,432","623,789",0
2025-01-23 00:00:00,"1 020,222","24,976","305,364","995,242",0
2025-01-22 00:00:00,"854,428","8,379","331,234","846,044",0
2025-01-21 00:00:00,"950,103","20,273","313,663","929,825",0
2025-01-20 00:00:00,"968,033","10,883","310,954","957,144",0
2025-01-19 00:00:00,"360,786","9,492","313,811","351,29",0
2025-01-18 00:00:00,"376,846","7,986","328,186","368,853",0
2025-01-17 00:00:00,"1 146,116","15,639","268,123","1 130,473",0
2025-01-16 00:00:00,"926,404","9,389","264,701","917,012",0
2025-01-15 00:00:00,"921,64","10,714","335,432","910,923",0
2025-01-14 00:00:00,"1 178,013","25,813","328,22","1 152,198",0
2025-01-13 00:00:00,"891,652","34,099","319,594","857,549",0
2025-01-12 00:00:00,"368,113","16,836","323,068","351,272",0
2025-01-11 00:00:00,"372,347","18,267","327,933","354,074",0
2025-01-10 00:00:00,"1 237,824","28,226","308,218","1 209,592",0
2025-01-09 00:00:00,"1 096,535","7,142","297,183","1 089,387",0
2025-01-08 00:00:00,"882,524","21,976","262,8","860,544",0
2025-01-07 00:00:00,"790,145","17,117","258,712","773,026",0
2025-01-06 00:00:00,"836,405","10,45","257,472","825,952",0
2025-01-05 00:00:00,"330,285","4,082","277,577","326,202",0
2025-01-04 00:00:00,"348,746","22,89","289,982","325,853",0
2025-01-03 00:00:00,"704,247","25,2","259,344","679,046",0
2025-01-02 00:00:00,"965,938","24,404","259,513","941,533",0
2025-01-01 00:00:00,"342,637","4,021","260,949","338,616",0
2024-12-31 00:00:00,"437,582","9,808","267,379","427,772",0
2024-12-30 00:00:00,"725,609","7,61","277,675","717,998",0
2024-12-29 00:00:00,"343,244","10,252","287,825","332,991",0
2024-12-28 00:00:00,"345,518","22,503","262,483","323,013",0
2024-12-27 00:00:00,"515,756","12,052","258,444","503,702",0
2024-12-26 00:00:00,"580,651","7,489","257,558","573,16",0
2024-12-25 00:00:00,"334,568","9,14","257,827","325,428",0
2024-12-24 00:00:00,"535,701","6,327","260,137","529,373",0
2024-12-23 00:00:00,"816,687","15,929","258,451","800,757",0
2024-12-22 00:00:00,"331,207","19,77","258,703","311,436",0
2024-12-21 00:00:00,"337,838","6,868","275,029","330,968",0
2024-12-20 00:00:00,"615,162","24,175","278,147","590,986",0
2024-12-19 00:00:00,"761,882","12,735","266,432","749,145",0
2024-12-18 00:00:00,"1 156,228","10,045","260,64","1 146,182",0
2024-12-17 00:00:00,"729,155","13,387","256,623","715,767",0
2024-12-16 00:00:00,"946,636","8,485","255,11","938,15",0
2024-12-15 00:00:00,"350,897","9,206","256,483","341,69",0
2024-12-14 00:00:00,"348,112","11,734","267,495","336,376",0
2024-12-13 00:00:00,"650,102","5,787","266,915","644,314",0
2024-12-12 00:00:00,"1 087,64","15,324","261,06","1 072,313",0
2024-12-11 00:00:00,"743,665","5,166","258,826","738,496",0
2024-12-10 00:00:00,"1 103,528","6,218","259,737","1 097,309",0
2024-12-09 00:00:00,"839,248","7,729","270,139","831,516",0
2024-12-08 00:00:00,"343,211","6,599","272,786","336,61",0
2024-12-07 00:00:00,"341,718","17,411","280,277","324,302",0
2024-12-06 00:00:00,"826,823","23,836","254,131","802,984",0
2024-12-05 00:00:00,"966,516","5,08","255,708","961,433",0
2024-12-04 00:00:00,"609,655","10,8","265,507","598,854",0
2024-12-03 00:00:00,"1 019,465","22,342","260,343","997,119",0
2024-12-02 00:00:00,"822,194","23,747","193,335","798,446",0
2024-12-01 00:00:00,"359,25","24,601",0,"334,649",0
2024-11-30 00:00:00,"382,099","27,276","74,15","354,821",0
2024-11-29 00:00:00,"696,546","31,122","289,139","665,423",0
2024-11-28 00:00:00,"1 216,927","32,722","264,363","1 184,202",0
2024-11-27 00:00:00,"748,595","6,049","257,818","742,544",0
2024-11-26 00:00:00,"854,385","20,631","257,263","833,754",0
2024-11-25 00:00:00,"856,81","6,215","256,723","850,594",0
2024-11-24 00:00:00,"312,224","28,435","256,954","283,789",0
2024-11-23 00:00:00,"338,347","15,993","278,475","322,352",0
2024-11-22 00:00:00,"710,296","26,545","292,871","683,75",0
2024-11-21 00:00:00,"991,556","20,918","278,381","970,635",0
2024-11-20 00:00:00,"919,986","33,159","274,74","886,824",0
2024-11-19 00:00:00,"939,008","6,164","256,239","932,841",0
2024-11-18 00:00:00,"1 125,677","32,784","255,658","1 092,89",0
2024-11-17 00:00:00,"322,513","31,37","257,969","291,22","0,079"
2024-11-16 00:00:00,"324,77","21,791","280,65","302,978",0
2024-11-15 00:00:00,"742,65","9,461","279,757","733,189",0
2024-11-14 00:00:00,"899,182","17,508","261,252","881,672",0
2024-11-13 00:00:00,"716,234","32,22","259,656","684,013",0
2024-11-12 00:00:00,"1 170,927","25,846","257,725","1 145,08",0
2024-11-11 00:00:00,"330,383","38,945","257,213","291,441","0,002"
2024-11-10 00:00:00,"318,521","17,279","257,678","301,243",0
2024-11-09 00:00:00,"337,688","10,2","263,476","327,487",0
2024-11-08 00:00:00,"822,641","11,6","267,718","811,04",0
2024-11-07 00:00:00,"890,607","12,114","263,203","878,492",0
2024-11-06 00:00:00,"713,79","14,377","263,414","699,411",0
2024-11-05 00:00:00,"1 110,238","13,33","257,472","1 096,908",0
2024-11-04 00:00:00,"919,251","24,593","257,472","894,656",0
2024-11-03 00:00:00,"323,905","54,563","258,948","269,391","0,05"
2024-11-02 00:00:00,"325,289","20,719","257,443","304,568",0
2024-11-01 00:00:00,"328,857","14,072","257,155","314,782",0
2024-10-31 00:00:00,"760,133","35,234","258,369","724,898",0
2024-10-30 00:00:00,"727,144","16,119","263,189","711,023",0
2024-10-29 00:00:00,"882,312","22,156","256,477","860,151",0
2024-10-28 00:00:00,"866,108","38,113","227,12","827,993",0
2024-10-27 00:00:00,"316,87","64,629","218,31","254,48","2,242"
2024-10-26 00:00:00,"309,153","71,005","248,616","241,113","2,967"
2024-10-25 00:00:00,"796,009","68,191","258,153","727,819",0
2024-10-24 00:00:00,"897,11","78,007","256,378","819,102",0
2024-10-23 00:00:00,"781,578","73,292","267,626","708,285",0
