Date,Grid Organi lbc (L1) [kW],Grid Organi lbc (L2) [kW],Grid Organi lbc (L3) [kW],Chargers (L1) [kW],Chargers (L2) [kW],Chargers (L3) [kW],Solar (L1) [kW],Solar (L2) [kW],Solar (L3) [kW],Chargers achteraan (L1) [kW],Chargers achteraan (L2) [kW],Chargers achteraan (L3) [kW]
2025-02-09 23:45:00,"5,551","4,132","4,805","0,035","0,033","0,021",0,"-0,006","-0,001","0,024","0,022","0,021"
2025-02-09 23:30:00,"5,676","4,146","4,799","0,036","0,034","0,02",0,"-0,006","-0,001","0,024","0,022","0,02"
2025-02-09 23:15:00,"5,886","4,223","4,876","0,036","0,034","0,02",0,"-0,006","-0,001","0,024","0,022","0,02"
2025-02-09 23:00:00,"5,827","4,214","4,824","0,036","0,033","0,021",0,"-0,006","-0,001","0,024","0,022","0,021"
2025-02-09 22:45:00,"5,629","4,164","4,777","0,036","0,034","0,02",0,"-0,006","-0,001","0,024","0,022","0,02"
2025-02-09 22:30:00,"5,529","4,14","4,755","0,036","0,033","0,02",0,"-0,006","-0,001","0,024","0,022","0,021"
2025-02-09 22:15:00,"5,586","4,235","4,845","0,036","0,034","0,02",0,"-0,006","-0,001","0,024","0,023","0,02"
2025-02-09 22:00:00,"5,584","4,245","4,87","0,036","0,032","0,02",0,"-0,006","-0,001","0,024","0,022","0,021"
2025-02-09 21:45:00,"5,822","4,168","4,792","0,036","0,033","0,021",0,"-0,006","-0,001","0,024","0,022","0,021"
2025-02-09 21:30:00,"5,965","4,162","4,792","0,036","0,034","0,02",0,"-0,006","-0,001","0,024","0,022","0,02"
2025-02-09 21:15:00,"5,898","4,17","4,797","0,036","0,034","0,02",0,"-0,006","-0,001","0,024","0,023","0,02"
2025-02-09 21:00:00,"6,376","4,211","4,848","0,036","0,034","0,02",0,"-0,006","-0,001","0,024","0,023","0,02"
2025-02-09 20:45:00,"5,764","4,176","4,837","0,036","0,034","0,019",0,"-0,006","-0,001","0,024","0,023","0,02"
2025-02-09 20:30:00,"5,684","4,163","4,848","0,036","0,034","0,02",0,"-0,006","-0,001","0,024","0,023","0,02"
2025-02-09 20:15:00,"5,72","4,175","4,843","0,036","0,034","0,02",0,"-0,006","-0,001","0,024","0,023","0,02"
2025-02-09 20:00:00,"5,9","4,225","4,866","0,036","0,034","0,02",0,"-0,006","-0,001","0,024","0,023","0,02"
2025-02-09 19:45:00,"5,892","4,213","4,84","0,036","0,034","0,019",0,"-0,006","-0,001","0,024","0,023","0,02"
2025-02-09 19:30:00,"5,854","4,197","4,824","0,036","0,033","0,02",0,"-0,006","-0,001","0,024","0,022","0,02"
2025-02-09 19:15:00,"5,768","4,146","4,781","0,036","0,034","0,02",0,"-0,006","-0,001","0,024","0,023","0,02"
2025-02-09 19:00:00,"5,595","4,15","4,784","0,036","0,034","0,02",0,"-0,006","-0,001","0,024","0,023","0,02"
2025-02-09 18:45:00,"5,714","4,177","4,808","0,036","0,034","0,019",0,"-0,006","-0,001","0,024","0,023","0,02"
2025-02-09 18:30:00,"5,834","4,187","4,805","0,036","0,034","0,019",0,"-0,006","-0,001","0,024","0,023","0,02"
2025-02-09 18:15:00,"5,887","4,22","4,834","0,036","0,033","0,02",0,"-0,006","-0,001","0,024","0,022","0,02"
2025-02-09 18:00:00,"5,79","4,156","4,806","0,037","0,034","0,019","-0,001","-0,007","-0,001","0,025","0,023","0,02"
2025-02-09 17:45:00,"5,613","4,136","4,761","0,037","0,033","0,02","0,001","-0,005",0,"0,025","0,022","0,02"
2025-02-09 17:30:00,"6,012","4,186","4,844","0,036","0,033","0,02","0,026","0,024","0,03","0,024","0,022","0,02"
2025-02-09 17:15:00,"5,462","4,116","4,794","0,036","0,033","0,02","0,106","0,105","0,111","0,024","0,022","0,02"
2025-02-09 17:00:00,"5,447","3,988","4,685","0,036","0,034","0,02","0,2","0,2","0,204","0,024","0,023","0,02"
2025-02-09 16:45:00,"4,97","4,004","4,616","0,036","0,034","0,02","0,223","0,222","0,227","0,024","0,023","0,02"
2025-02-09 16:30:00,"5,124","3,948","4,584","0,036","0,034","0,02","0,236","0,236","0,24","0,024","0,023","0,02"
2025-02-09 16:15:00,"5,148","3,762","4,403","0,036","0,034","0,02","0,385","0,387","0,389","0,024","0,023","0,02"
2025-02-09 16:00:00,"4,594","3,616","4,258","0,036","0,033","0,02","0,569","0,574","0,574","0,024","0,022","0,021"
2025-02-09 15:45:00,"4,636","3,529","4,174","0,036","0,034","0,02","0,69","0,698","0,696","0,024","0,022","0,021"
2025-02-09 15:30:00,"4,557","3,206","3,832","0,036","0,034","0,02","1,005","1,02","1,013","0,023","0,023","0,021"
2025-02-09 15:15:00,"4,149","3,062","3,682","0,036","0,034","0,02","1,111","1,128","1,119","0,023","0,023","0,021"
2025-02-09 15:00:00,"4,135","3,076","3,689","0,036","0,034","0,02","1,1","1,116","1,108","0,023","0,022","0,022"
2025-02-09 14:45:00,"4,327","3,038","3,662","0,036","0,034","0,02","1,145","1,162","1,154","0,023","0,023","0,021"
2025-02-09 14:30:00,"3,881","2,783","3,401","0,036","0,034","0,02","1,452","1,476","1,463","0,023","0,023","0,02"
2025-02-09 14:15:00,"3,594","2,641","3,26","0,035","0,034","0,02","1,638","1,664","1,651","0,022","0,023","0,021"
2025-02-09 14:00:00,"3,644","2,352","3,033","0,036","0,034","0,02","1,839","1,868","1,853","0,022","0,023","0,02"
2025-02-09 13:45:00,"1,879","0,207","0,869","0,035","0,034","0,02","3,975","4,038","4,005","0,02","0,022","0,022"
2025-02-09 13:30:00,"2,639","1,652","2,292","0,036","0,034","0,02","2,514","2,554","2,532","0,022","0,023","0,021"
2025-02-09 13:15:00,"3,746","2,379","2,983","0,036","0,035","0,019","1,821","1,852","1,835","0,023","0,023","0,02"
2025-02-09 13:00:00,"3,495","2,114","2,736","0,036","0,034","0,02","2,147","2,182","2,162","0,022","0,023","0,02"
2025-02-09 12:45:00,"2,862","1,659","2,273","0,036","0,034","0,02","2,502","2,541","2,52","0,022","0,023","0,02"
2025-02-09 12:30:00,"3,176","2,012","2,712","0,035","0,034","0,02","2,234","2,272","2,253","0,022","0,023","0,02"
2025-02-09 12:15:00,"3,212","2,121","2,837","0,035","0,035","0,019","2,009","2,044","2,026","0,022","0,023","0,02"
2025-02-09 12:00:00,"3,478","2,194","2,812","0,036","0,034","0,02","1,94","1,972","1,956","0,022","0,023","0,02"
2025-02-09 11:45:00,"3,782","2,386","2,99","0,036","0,034","0,019","1,824","1,854","1,838","0,023","0,023","0,02"
2025-02-09 11:30:00,"4,08","2,691","3,301","0,035","0,034","0,02","1,49","1,515","1,502","0,023","0,023","0,02"
2025-02-09 11:15:00,"4,009","2,626","3,22","0,036","0,034","0,02","1,605","1,632","1,618","0,023","0,023","0,02"
2025-02-09 11:00:00,"4,089","2,76","3,337","0,036","0,034","0,02","1,487","1,512","1,498","0,023","0,023","0,02"
2025-02-09 10:45:00,"4,416","3,06","3,695","0,036","0,034","0,019","1,119","1,136","1,127","0,023","0,023","0,02"
2025-02-09 10:30:00,"4,742","3,253","3,906","0,035","0,035","0,019","0,948","0,962","0,955","0,023","0,023","0,02"
2025-02-09 10:15:00,"5,376","3,418","4,08","0,036","0,034","0,02","0,8","0,811","0,806","0,023","0,023","0,02"
2025-02-09 10:00:00,"5,058","3,515","4,146","0,036","0,034","0,019","0,729","0,738","0,735","0,023","0,023","0,02"
2025-02-09 09:45:00,"5,162","3,594","4,192","0,036","0,034","0,019","0,622","0,628","0,627","0,024","0,023","0,02"
