Date,Consumption [kWh],Production [kWh],Always on [kWh],Import [kWh],Export [kWh]
2025-01-27 00:00:00,"5 493,733","260,47","2 142,031","5 233,241",0
2025-01-20 00:00:00,"5 167,996","115,806","2 168,049","5 052,16",0
2025-01-13 00:00:00,"5 801,458","113,131","2 158,065","5 688,299",0
2025-01-06 00:00:00,"5 583,894","120,014","2 035,384","5 463,848",0
2024-12-30 00:00:00,"3 855,044","98,013","1 892,419","3 757,019",0
2024-12-23 00:00:00,"3 472,125","83,692","1 842,727","3 388,425",0
2024-12-16 00:00:00,"4 878,108","95,464","1 850,684","4 782,634",0
2024-12-09 00:00:00,"5 123,193","61,163","1 840,655","5 062,016",0
2024-12-02 00:00:00,"4 929,583","109,816","1 782,087","4 819,748",0
2024-11-25 00:00:00,"5 114,612","148,614","1 399,457","4 965,987",0
2024-11-18 00:00:00,"5 337,094","163,999","1 893,316","5 173,082",0
2024-11-11 00:00:00,"4 506,66","177,142","1 854,223","4 329,593","0,081"
2024-11-04 00:00:00,"5 112,736","103,493","1 830,435","5 009,236",0
2024-10-28 00:00:00,"4 213,747","200,977","1 778,701","4 012,806","0,05"
2024-10-21 00:00:00,"5 067,514","445,229","1 747,663","4 627,489","5,209"
2024-10-14 00:00:00,"4 697,85","305,108","1 798,86","4 393,912","1,166"
2024-10-07 00:00:00,"4 700,923","460,504","1 774,414","4 241,646","1,232"
2024-09-30 00:00:00,"4 481,848","539,568","1 705,05","3 969,934","27,659"
2024-09-23 00:00:00,"4 415,683","537,777","1 682,673","3 898,736","20,839"
2024-09-16 00:00:00,"4 162,185","785,159","1 703,725","3 402,428","25,417"
2024-09-09 00:00:00,"4 069,407","747,191","1 625,921","3 379,21",57
2024-09-02 00:00:00,"3 929,059","627,388","1 810,077","3 367,295","65,635"
2024-08-26 00:00:00,"4 079,723","1 081,095","1 684,198","3 088,483","89,876"
2024-08-19 00:00:00,"3 760,709","962,221","1 718,977","2 864,664","66,188"
2024-08-12 00:00:00,"3 406,467","977,7","1 641,172","2 534,186","105,431"
2024-08-05 00:00:00,"3 910,054","1 287,237","1 794,82","2 776,495","153,695"
2024-07-29 00:00:00,"4 222,808","1 089,782","1 796,916","3 157,363","24,353"
2024-07-22 00:00:00,"4 090,302","1 130,492","1 732,325","3 051,667","91,867"
2024-07-15 00:00:00,"3 842,296","1 202,113","1 635,805","2 716,106","75,937"
2024-07-08 00:00:00,"3 392,452","1 104,186","1 644,006","2 394,709","106,451"
2024-07-01 00:00:00,"3 622,863","971,953","1 640,35","2 746,246","95,347"
2024-06-24 00:00:00,"3 521,237","673,517","567,806","2 966,85","119,136"
2024-06-17 00:00:00,"3 080,327",0,"133,408","3 219,214","138,885"
2024-06-10 00:00:00,"2 695,149",0,"216,42","2 772,533","77,384"
2024-06-03 00:00:00,"3 238,866",0,"678,22","3 372,182","133,317"
2024-05-27 00:00:00,"3 939,399",0,"1 668,041","3 939,399",0
2024-05-20 00:00:00,"3 678,452",0,"1 484,534","3 678,452",0
2024-05-13 00:00:00,"4 010,76",0,"2 002,132","4 010,76",0
