Date,Consumption [kWh],Grid Organi lbc (L1) [kWh],Grid Organi lbc (L2) [kWh],Grid Organi lbc (L3) [kWh],Chargers (L1) [kWh],Chargers (L2) [kWh],Chargers (L3) [kWh],Solar (L1) [kWh],Solar (L2) [kWh],Solar (L3) [kWh],Chargers achteraan (L1) [kWh],Chargers achteraan (L2) [kWh],Chargers achteraan (L3) [kWh]
2025-04-25 23:00:00,"13,919","4,806","4,179","4,942","0,036","0,032","0,021",0,"-0,006","-0,001","0,025","0,022","0,022"
2025-04-25 22:00:00,"13,63","4,641","4,12","4,876","0,036","0,032","0,022",0,"-0,006","-0,001","0,025","0,022","0,022"
2025-04-25 21:00:00,"13,536","4,704","4,036","4,804","0,037","0,032","0,021",0,"-0,006","-0,001","0,025","0,022","0,022"
2025-04-25 20:00:00,"13,478","4,363","3,931","4,732","0,037","0,032","0,021","0,15","0,149","0,153","0,025","0,022","0,022"
2025-04-25 19:00:00,"13,703","3,784","3,177","3,923","0,036","0,033","0,02","0,934","0,944","0,94","0,024","0,022","0,022"
2025-04-25 18:00:00,"16,647","3,622","3,009","2,693","0,037","0,033","0,02","2,427","2,456","2,44","0,023","0,022","0,022"
2025-04-25 17:00:00,"18,147","3,426","3,42","2,886","0,037","0,033","0,02","2,789","2,821","2,805","0,084","0,083","0,085"
2025-04-25 16:00:00,"36,883","8,011","7,671","7,739","0,036","0,033","0,021","4,461","4,513","4,488","4,66","4,651","4,654"
2025-04-25 15:00:00,"53,868","13,559","9,376","10,437","3,608","0,695","0,676","6,793","6,866","6,836","7,674","7,661","7,658"
2025-04-25 14:00:00,"66,423","18,77","10,39","12,121","6,616","2,961","2,925","8,333","8,422","8,388","10,881","7,797","7,8"
2025-04-25 13:00:00,"62,145","18,112","8,727","10,451","6,626","2,957","2,927","8,24","8,324","8,292","9,753","5,944","5,932"
2025-04-25 12:00:00,"49,235","15,683","8,932","8,895","2,905","2,274","2,256","5,213","5,27","5,243","7,945","3,526","3,436"
2025-04-25 11:00:00,"52,051","12,806","9,982","9,545","2,276","2,248","2,236","6,537","6,608","6,573","7,686","6,874","6,411"
2025-04-25 10:00:00,"86,222","26,51","24,51","24,678","8,534","9,495","9,506","3,489","3,53","3,506","11,837","11,809","11,72"
2025-04-25 09:00:00,"116,406","37,019","36,653","36,66","6,453","8,403","8,363","2,013","2,038","2,024","23,442","23,61","23,325"
2025-04-25 08:00:00,"112,922","35,234","37,822","34,572","6,58","8,049","8,027","1,754","1,776","1,764","21,512","25,111","21,448"
2025-04-25 07:00:00,"51,752","17,761","16,423","16,048","4,742","4,674","4,672","0,505","0,508","0,508","5,956","6,302","5,944"
2025-04-25 06:00:00,"22,004","6,878","7,813","7,204","0,036","0,032","0,022","0,038","0,034","0,039","1,293","1,287","1,287"
2025-04-25 05:00:00,"14,996","5,276","4,651","5,075","0,036","0,032","0,021",0,"-0,006","-0,001","0,024","0,022","0,024"
2025-04-25 04:00:00,"13,951","4,969","4,164","4,825","0,036","0,033","0,021",0,"-0,006","-0,001","0,024","0,022","0,024"
2025-04-25 03:00:00,"14,133","5,094","4,211","4,836","0,036","0,033","0,021",0,"-0,006","-0,001","0,024","0,022","0,024"
2025-04-25 02:00:00,"13,922","4,916","4,21","4,803","0,036","0,033","0,021",0,"-0,006","-0,001","0,024","0,022","0,024"
