Date,Consumption [kWh],Grid Organi lbc (L1) [kWh],Grid Organi lbc (L2) [kWh],Grid Organi lbc (L3) [kWh],Chargers (L1) [kWh],Chargers (L2) [kWh],Chargers (L3) [kWh],Solar (L1) [kWh],Solar (L2) [kWh],Solar (L3) [kWh],Chargers achteraan (L1) [kWh],Chargers achteraan (L2) [kWh],Chargers achteraan (L3) [kWh]
2025-05-08 11:00:00,"19,288","5,107","4,071","4,548","1,811","1,802","2,04","1,842","1,865","1,855","2,196","2,206","2,192"
2025-05-08 10:00:00,"104,185","30,08","26,46","31,605","8,275","7,691","11,874","5,313","5,379","5,348","16,476","16,526","16,514"
2025-05-08 09:00:00,123,"37,396","31,692","42,309","7,214","4,181","10,966","3,844","3,892","3,868","23,721","23,664","27,167"
2025-05-08 08:00:00,"93,813","27,99","24,653","34,295","9,247","7,728","12,985","2,278","2,307","2,29","11,899","11,864","15,64"
2025-05-08 07:00:00,"44,36","14,387","13,03","14,324","2,993","2,968","3,319","0,869","0,878","0,873","4,866","4,858","5,251"
2025-05-08 06:00:00,"18,205","5,377","6,304","5,887","0,036","0,032","0,022","0,212","0,211","0,215","0,024","0,022","0,022"
2025-05-08 05:00:00,"15,764","5,615","4,922","5,231","0,036","0,032","0,021","0,001","-0,005",0,"0,024","0,023","0,022"
2025-05-08 04:00:00,"14,641","5,316","4,333","4,999","0,036","0,033","0,021",0,"-0,006","-0,001","0,024","0,023","0,022"
2025-05-08 03:00:00,"14,563","5,272","4,316","4,983","0,037","0,032","0,021",0,"-0,006","-0,001","0,025","0,022","0,022"
2025-05-08 02:00:00,"14,466","5,165","4,357","4,952","0,037","0,032","0,021",0,"-0,006","-0,001","0,024","0,022","0,022"
2025-05-08 01:00:00,"14,529","5,125","4,415","4,997","0,036","0,032","0,021",0,"-0,006","-0,001","0,024","0,023","0,022"
2025-05-08 00:00:00,"14,843","5,135","4,641","5,075","0,037","0,032","0,021",0,"-0,006","-0,001","0,025","0,022","0,021"
2025-05-07 23:00:00,"14,567","5,099","4,394","5,081","0,037","0,033","0,021",0,"-0,006","-0,001","0,025","0,022","0,022"
2025-05-07 22:00:00,"14,316","4,867","4,399","5,058","0,037","0,032","0,021",0,"-0,006","-0,001","0,025","0,022","0,022"
2025-05-07 21:00:00,"14,321","4,979","4,326","5,001","0,037","0,032","0,021","0,006","0,001","0,007","0,025","0,022","0,022"
2025-05-07 20:00:00,"13,986","4,353",4,"4,678","0,037","0,032","0,021","0,316","0,318","0,32","0,025","0,022","0,022"
2025-05-07 19:00:00,"14,464","3,697","2,974","3,648","0,036","0,032","0,02","1,375","1,39","1,382","0,024","0,023","0,022"
2025-05-07 18:00:00,"17,426","4,168","4,079","3,406","0,323","0,315","0,303","1,914","1,935","1,924","0,024","0,022","0,022"
2025-05-07 17:00:00,"32,286","8,675","8,187","7,035","3,913","3,871","3,86","2,78","2,81","2,798","0,018","0,026","0,027"
2025-05-07 16:00:00,"35,555","9,016","7,86","8,036","0,677","0,669","0,658","3,527","3,566","3,55","2,705","2,689","2,685"
2025-05-07 15:00:00,"40,992","10,89","8,033","8,369","1,637","0,038","0,028","4,54","4,59","4,57","3,695","3,683","3,676"
2025-05-07 14:00:00,"49,566","16,86","11,819","11,13","5,197","2,783","1,657","3,232","3,271","3,253","3,663","3,653","3,643"
2025-05-07 13:00:00,"50,661","13,966","13,032","9,171","5,844","6,079","2,858","4,801","4,855","4,837","2,094","2,007","2,006"
