Hour,Chargers,Chargers achteraan,Grid Organi lbc,Solar
2022-09-28 12:00:00,2.409,0.0,9.001,0.0
2022-09-28 13:00:00,6.0426,0.0,20.3787,0.0
2022-09-28 14:00:00,6.0271,0.0,20.5578,0.0
2022-09-28 15:00:00,6.0016,0.0,19.339,0.0
2022-09-28 16:00:00,7.1028,0.0,18.76,0.0
2022-09-28 17:00:00,4.9549,0.0,14.5838,0.0
2022-09-28 18:00:00,4.3987,0.0,9.3804,0.0
2022-09-28 19:00:00,3.5426,0.0,9.8782,0.0
2022-09-28 20:00:00,3.5407,0.0,10.1256,0.0
2022-09-28 21:00:00,3.5372,0.0,10.0316,0.0
2022-09-28 22:00:00,3.5998,0.0,9.6933,0.0
2022-09-28 23:00:00,3.6019,0.0,9.7556,0.0
2022-09-29 00:00:00,3.5925,0.0,10.3819,0.0
2022-09-29 01:00:00,3.5584,0.0,10.0687,0.0
2022-09-29 02:00:00,3.5665,0.0,10.0973,0.0
2022-09-29 03:00:00,3.5612,0.0,10.1045,0.0
2022-09-29 04:00:00,3.4962,0.0,10.6537,0.0
2022-09-29 05:00:00,3.5669,0.0,10.4171,0.0
2022-09-29 06:00:00,4.7979,0.0,13.8993,0.0
2022-09-29 07:00:00,4.9332,0.0,16.2521,0.0
2022-09-29 08:00:00,6.0565,0.0,20.2983,0.0
2022-09-29 09:00:00,7.75,0.0,22.0587,0.0
2022-09-29 10:00:00,8.2046,0.0,22.0117,0.0
2022-09-29 11:00:00,7.5204,0.0,22.4631,0.0
2022-09-29 12:00:00,9.8753,0.0,32.4904,0.0
2022-09-29 13:00:00,8.1877,0.0,27.8161,0.0
2022-09-29 14:00:00,6.4746,0.0,22.8964,0.0
2022-09-29 15:00:00,6.5046,0.0,22.3028,0.0
2022-09-29 16:00:00,7.1785,0.0,24.2359,0.0
2022-09-29 17:00:00,6.8496,0.0,24.7048,0.0
2022-09-29 18:00:00,3.7831,0.0,12.2813,0.0
2022-09-29 19:00:00,3.6619,0.0,10.5373,0.0
2022-09-29 20:00:00,4.0301,0.0,10.8776,0.0
2022-09-29 21:00:00,3.8774,0.0,10.1841,0.0
2022-09-29 22:00:00,3.7583,0.0,9.75,0.0
2022-09-29 23:00:00,3.7849,0.0,9.8896,0.0
2022-09-30 00:00:00,3.8756,0.0,10.3574,0.0
2022-09-30 01:00:00,3.8303,0.0,10.1347,0.0
2022-09-30 02:00:00,3.7756,0.0,10.2182,0.0
2022-09-30 03:00:00,3.874,0.0,10.3018,0.0
2022-09-30 04:00:00,3.8228,0.0,10.5935,0.0
2022-09-30 05:00:00,3.7849,0.0,10.4144,0.0
2022-09-30 06:00:00,5.3645,0.0,14.1657,0.0
2022-09-30 07:00:00,5.2683,0.0,17.349,0.0
2022-09-30 08:00:00,6.523,0.0,21.1264,0.0
2022-09-30 09:00:00,10.9055,0.0,28.2303,0.0
2022-09-30 10:00:00,7.7261,0.0,22.2072,0.0
2022-09-30 11:00:00,7.6897,0.0,22.6958,0.0
2022-09-30 12:00:00,9.2009,0.0,25.0922,0.0
2022-09-30 13:00:00,8.4105,0.0,22.5933,0.0
2022-09-30 14:00:00,6.6349,0.0,16.3294,0.0
2022-09-30 15:00:00,8.2714,0.0,20.6299,0.0
2022-09-30 16:00:00,6.3122,0.0,16.5594,0.0
2022-09-30 17:00:00,5.2369,0.0,15.4489,0.0
2022-09-30 18:00:00,3.53,0.0,10.5631,0.0
2022-09-30 19:00:00,3.209,0.0,9.0628,0.0
2022-09-30 20:00:00,3.5347,0.0,9.2876,0.0
2022-09-30 21:00:00,3.5443,0.0,9.1503,0.0
2022-09-30 22:00:00,3.2926,0.0,8.0735,0.0
2022-09-30 23:00:00,3.5517,0.0,8.9684,0.0
2022-10-01 00:00:00,3.3457,0.0,8.6471,0.0
2022-10-01 01:00:00,3.6687,0.0,9.2476,0.0
2022-10-01 02:00:00,3.6134,0.0,9.3472,0.0
2022-10-01 03:00:00,3.2973,0.0,8.4224,0.0
