Day,Total_consumption
2022-11-09,235.8348
2022-11-10,251.4281
2022-11-11,157.1447
2022-11-12,157.8603
2022-11-13,158.1932
2022-11-14,272.64230000000003
2022-11-15,269.4297
2022-11-16,246.1281
2022-11-17,257.8595
2022-11-18,232.17770000000002
2022-11-19,178.73919999999998
2022-11-20,189.11290000000002
2022-11-21,267.153
2022-11-22,319.3392
2022-11-23,327.2817
2022-11-24,296.4767
2022-11-25,273.3323
2022-11-26,185.517
2022-11-27,181.339
2022-11-28,259.9182
2022-11-29,296.0061
2022-11-30,298.4031
2022-12-01,294.6857
2022-12-02,307.9651
2022-12-03,261.0212
2022-12-04,260.1186
2022-12-05,302.5988
2022-12-06,326.9591
2022-12-07,324.09889999999996
2022-12-08,310.88969999999995
2022-12-09,368.9038
2022-12-10,213.6696
2022-12-11,211.81419999999997
2022-12-12,336.7577
2022-12-13,366.2366999999999
2022-12-14,363.72220000000004
2022-12-15,361.1658
2022-12-16,335.3244
2022-12-17,216.3311
2022-12-18,214.32
2022-12-19,300.5399
2022-12-20,302.5472
2022-12-21,299.3811
2022-12-22,261.5974
2022-12-23,233.5296
2022-12-24,155.38439999999997
2022-12-25,156.46340000000004
2022-12-26,223.41130000000004
2022-12-27,287.9401
2022-12-28,246.7946
2022-12-29,239.3558
2022-12-30,243.71110000000002
2022-12-31,135.7811
2023-01-01,141.23899999999998
2023-01-02,283.7115
2023-01-03,302.0322
2023-01-04,242.6937
2023-01-05,280.2875
2023-01-06,264.5188
2023-01-07,156.58889999999997
2023-01-08,178.9282
2023-01-09,296.7389
2023-01-10,332.88120000000004
2023-01-11,239.2815
2023-01-12,262.82460000000003
2023-01-13,309.5647
2023-01-14,185.4235
2023-01-15,202.7486
2023-01-16,305.5064
2023-01-17,347.75919999999996
2023-01-18,346.1295
2023-01-19,339.616
2023-01-20,294.3334
2023-01-21,217.72719999999998
2023-01-22,215.8286
2023-01-23,294.9419
2023-01-24,330.54279999999994
2023-01-25,305.2237
2023-01-26,328.2403
2023-01-27,316.1725
2023-01-28,213.1429
2023-01-29,212.0054
2023-01-30,299.63100000000003
2023-01-31,321.0982
2023-02-01,277.6101
2023-02-02,311.9072
2023-02-03,277.9397
2023-02-04,165.12190000000004
2023-02-05,184.98089999999996
2023-02-06,283.6087
2023-02-07,344.2155
2023-02-08,324.3981
2023-02-09,309.5413
2023-02-10,297.9683
2023-02-11,185.29770000000002
2023-02-12,181.6925
2023-02-13,287.67220000000003
2023-02-14,299.9661
2023-02-15,274.8361
2023-02-16,288.4243
2023-02-17,248.55180000000001
2023-02-18,153.2072
2023-02-19,162.1497
2023-02-20,278.2563
2023-02-21,302.0733
2023-02-22,257.8157
2023-02-23,294.41229999999996
2023-02-24,272.2183
2023-02-25,198.54180000000002
2023-02-26,210.12760000000003
2023-02-27,288.4432
2023-02-28,311.4483
2023-03-01,301.88840000000005
2023-03-02,308.00239999999997
2023-03-03,313.3901
2023-03-04,192.4008
2023-03-05,201.7757
2023-03-06,307.41839999999996
2023-03-07,325.0899
2023-03-08,301.0095
2023-03-09,352.4715
2023-03-10,267.20399999999995
2023-03-11,201.5274
2023-03-12,177.1472
2023-03-13,234.4072
2023-03-14,258.16610000000003
2023-03-15,258.54600000000005
2023-03-16,354.94109999999995
2023-03-17,210.6804
2023-03-18,130.5258
2023-03-19,142.43460000000002
2023-03-20,243.56519999999998
2023-03-21,243.2402
2023-03-22,232.0515
2023-03-23,251.82669999999996
2023-03-24,207.7915
2023-03-25,136.7546
2023-03-26,154.0047
2023-03-27,266.2581
2023-03-28,316.0099
2023-03-29,202.1527
2023-03-30,232.684
2023-03-31,232.406
2023-04-01,148.7735
2023-04-02,169.64689999999996
2023-04-03,265.51009999999997
2023-04-04,284.43399999999997
2023-04-05,303.8239
2023-04-06,257.1261
2023-04-07,237.9286
2023-04-08,139.7919
2023-04-09,135.31420000000003
2023-04-10,154.019
2023-04-11,267.16859999999997
2023-04-12,224.7319
2023-04-13,254.1231
2023-04-14,239.49209999999997
2023-04-15,134.83440000000002
2023-04-16,147.4751
2023-04-17,241.96810000000002
2023-04-18,287.38009999999997
2023-04-19,232.54859999999996
2023-04-20,251.21220000000002
2023-04-21,230.98010000000002
2023-04-22,141.37239999999997
2023-04-23,134.35320000000002
2023-04-24,277.6966
2023-04-25,270.1634
2023-04-26,257.88019999999995
2023-04-27,297.81410000000005
2023-04-28,227.99030000000002
2023-04-29,136.0589
2023-04-30,134.9232
2023-05-01,145.5691
2023-05-02,235.50160000000002
2023-05-03,227.8275
2023-05-04,299.6047
2023-05-05,240.9674
2023-05-06,131.3956
2023-05-07,126.6951
2023-05-08,235.88279999999997
2023-05-09,240.92229999999998
2023-05-10,193.09480000000002
2023-05-11,253.2671
2023-05-12,234.8042
2023-05-13,119.11849999999998
2023-05-14,122.52369999999999
2023-05-15,206.87909999999997
2023-05-16,252.477
2023-05-17,246.8162
2023-05-18,141.77209999999997
2023-05-19,194.6479
