Day,Total_consumption
2022-11-09,391.4783
2022-11-10,439.9409
2022-11-11,259.4419
2022-11-12,252.8694
2022-11-13,251.52859999999998
2022-11-14,430.5099
2022-11-15,500.1231
2022-11-16,430.25059999999996
2022-11-17,442.84499999999997
2022-11-18,409.5812
2022-11-19,262.5036
2022-11-20,271.899
2022-11-21,474.9972
2022-11-22,499.11940000000004
2022-11-23,527.3095999999999
2022-11-24,461.335
2022-11-25,419.37809999999996
2022-11-26,278.7596
2022-11-27,272.8682
2022-11-28,485.2
2022-11-29,483.8019
2022-11-30,464.6445
2022-12-01,498.72249999999997
2022-12-02,431.21840000000003
2022-12-03,352.1938
2022-12-04,349.695
2022-12-05,503.62559999999996
2022-12-06,473.146
2022-12-07,476.246
2022-12-08,542.4095
2022-12-09,533.8819
2022-12-10,304.7968
2022-12-11,301.7208
2022-12-12,472.8817
2022-12-13,518.6612
2022-12-14,538.4605
2022-12-15,515.3781
2022-12-16,489.1598
2022-12-17,329.0095
2022-12-18,303.068
2022-12-19,448.3902
2022-12-20,492.5086
2022-12-21,505.6827
2022-12-22,439.2296
2022-12-23,390.02479999999997
2022-12-24,262.9298
2022-12-25,261.53520000000003
2022-12-26,339.1317
2022-12-27,434.83389999999997
2022-12-28,394.2376
2022-12-29,363.0205
2022-12-30,413.7223
2022-12-31,243.93050000000002
2023-01-01,248.11569999999998
2023-01-02,443.3253
2023-01-03,444.77410000000003
2023-01-04,411.857
2023-01-05,433.4911
2023-01-06,465.65340000000003
2023-01-07,266.385
2023-01-08,270.2664
2023-01-09,479.5197
2023-01-10,509.47220000000004
2023-01-11,440.4574
2023-01-12,450.776
2023-01-13,501.63710000000003
2023-01-14,288.456
2023-01-15,292.7472
2023-01-16,483.0862
2023-01-17,510.5272
2023-01-18,495.7356
2023-01-19,477.3528
2023-01-20,423.5858
2023-01-21,318.06899999999996
2023-01-22,311.2223
2023-01-23,460.8794
2023-01-24,505.3551
2023-01-25,477.0027
2023-01-26,495.096
2023-01-27,487.3304
2023-01-28,313.2934
2023-01-29,309.9758
2023-01-30,459.01890000000003
2023-01-31,480.93640000000005
2023-02-01,434.4031
2023-02-02,500.5309
2023-02-03,469.855
2023-02-04,280.62570000000005
2023-02-05,301.51779999999997
2023-02-06,480.21889999999996
2023-02-07,515.2517
2023-02-08,460.1563
2023-02-09,484.7436
2023-02-10,465.3904
2023-02-11,288.2325
2023-02-12,282.96979999999996
2023-02-13,475.8551
2023-02-14,512.697
2023-02-15,440.8372
2023-02-16,518.342
2023-02-17,402.4275
2023-02-18,268.4532
2023-02-19,274.1502
2023-02-20,437.9394
2023-02-21,494.25350000000003
2023-02-22,446.0455
2023-02-23,514.1255
2023-02-24,472.5922
2023-02-25,298.5854
2023-02-26,308.0942
2023-02-27,490.3543
2023-02-28,495.70459999999997
2023-03-01,553.1465000000001
2023-03-02,482.9192
2023-03-03,480.05060000000003
2023-03-04,293.4606
2023-03-05,300.6032
2023-03-06,504.2577
2023-03-07,517.3389
2023-03-08,505.9495
2023-03-09,583.3652
2023-03-10,435.97769999999997
2023-03-11,299.1267
2023-03-12,273.31449999999995
2023-03-13,457.9613
2023-03-14,490.4908
2023-03-15,444.15070000000003
2023-03-16,672.8498
2023-03-17,400.94
2023-03-18,245.5273
2023-03-19,256.6043
2023-03-20,465.01149999999996
2023-03-21,422.1388
2023-03-22,429.9678
2023-03-23,519.5517
2023-03-24,422.7353
2023-03-25,250.8202
2023-03-26,248.7374
2023-03-27,412.5222
2023-03-28,530.914
2023-03-29,411.2359
2023-03-30,427.47700000000003
2023-03-31,423.0645
2023-04-01,281.8252
2023-04-02,266.35119999999995
2023-04-03,425.3112
2023-04-04,454.9695
2023-04-05,498.2014
2023-04-06,388.9258
2023-04-07,378.2611
2023-04-08,254.3651
2023-04-09,247.7675
2023-04-10,266.4472
2023-04-11,460.2187
2023-04-12,360.1188
2023-04-13,414.7409
2023-04-14,386.41729999999995
2023-04-15,250.9471
2023-04-16,260.1534
2023-04-17,414.39910000000003
2023-04-18,554.8694999999999
2023-04-19,406.084
2023-04-20,452.17510000000004
2023-04-21,414.93580000000003
2023-04-22,255.7856
2023-04-23,253.0303
2023-04-24,505.5358
2023-04-25,465.72790000000003
2023-04-26,436.3513
2023-04-27,523.1973
2023-04-28,375.36960000000005
2023-04-29,251.47979999999998
2023-04-30,249.2739
2023-05-01,259.83320000000003
2023-05-02,472.24530000000004
2023-05-03,463.6263
2023-05-04,547.3603999999999
2023-05-05,438.3947
2023-05-06,250.8234
2023-05-07,244.6027
2023-05-08,423.9362
2023-05-09,482.56449999999995
2023-05-10,375.0325
2023-05-11,507.39209999999997
2023-05-12,471.9437
2023-05-13,238.0333
2023-05-14,239.6062
2023-05-15,389.61249999999995
2023-05-16,423.5959
2023-05-17,435.8
2023-05-18,260.197
2023-05-19,357.5441
2023-05-20,226.7827
2023-05-21,217.56130000000002
2023-05-22,357.0285
2023-05-23,445.63640000000004
2023-05-24,405.3429
2023-05-25,515.1296
2023-05-26,384.6696
2023-05-27,236.1268
2023-05-28,223.23329999999999
2023-05-29,235.0373
2023-05-30,616.6315999999999
