Day,Total_consumption
2024-07-28,192.3821
2024-07-29,690.2395
2024-07-30,682.8396
2024-07-31,706.3096
2024-08-01,833.8285
2024-08-02,524.3601
2024-08-03,274.2122
2024-08-04,212.8184
2024-08-05,675.5285
2024-08-06,915.9835999999999
2024-08-07,480.4615
2024-08-08,690.1695
2024-08-09,418.5131
2024-08-10,190.1019
2024-08-11,186.1588
2024-08-12,627.3914
2024-08-13,732.881
2024-08-14,538.7878
2024-08-15,229.0265
2024-08-16,495.7752
2024-08-17,205.4083
2024-08-18,202.82659999999998
2024-08-19,621.5466
2024-08-20,716.7833
2024-08-21,619.4177999999999
2024-08-22,708.778
2024-08-23,410.073
2024-08-24,230.9668
2024-08-25,214.216
2024-08-26,628.0388
2024-08-27,802.0997
2024-08-28,686.5675
2024-08-29,634.1322
2024-08-30,637.7822
2024-08-31,203.8813
2024-09-01,234.3323
2024-09-02,556.5745000000001
2024-09-03,771.8678
2024-09-04,661.2232
2024-09-05,728.1897
2024-09-06,591.6157000000001
2024-09-07,211.6916
2024-09-08,256.4221
2024-09-09,793.7168
2024-09-10,614.0387000000001
2024-09-11,674.7422
2024-09-12,845.4788
2024-09-13,490.3993
2024-09-14,264.0588
2024-09-15,250.8927
2024-09-16,1164.4959000000001
2024-09-17,615.8946
2024-09-18,648.6627000000001
2024-09-19,649.0707
2024-09-20,476.21700000000004
2024-09-21,228.43
2024-09-22,248.7662
2024-09-23,784.0835
2024-09-24,855.8892999999999
2024-09-25,774.4993000000001
2024-09-26,658.4499
2024-09-27,655.6854
2024-09-28,415.4338
2024-09-29,273.6816
2024-09-30,886.9709
2024-10-01,835.3016
2024-10-02,728.8132
2024-10-03,931.9177
2024-10-04,532.3499
2024-10-05,309.7075
2024-10-06,254.3091
2024-10-07,877.9306999999999
2024-10-08,1026.3026
2024-10-09,959.724
2024-10-10,701.3044
2024-10-11,606.9308
2024-10-12,320.83
2024-10-13,295.4386
2024-10-14,1057.2568
2024-10-15,712.0600999999999
2024-10-16,892.8212000000001
2024-10-17,1022.7414
2024-10-18,542.6242
2024-10-19,253.1983
2024-10-20,248.5667
2024-10-21,937.2068
2024-10-22,1096.2595000000001
2024-10-23,795.627
2024-10-24,916.8597
2024-10-25,832.6383
2024-10-26,261.3144
2024-10-27,271.1155
2024-10-28,923.6647999999999
2024-10-29,920.4774
2024-10-30,792.5172
2024-10-31,779.2345
2024-11-01,320.4271
2024-11-02,306.23740000000004
2024-11-03,302.6384
2024-11-04,1012.3652
2024-11-05,1193.8195999999998
2024-11-06,757.1355
2024-11-07,948.4948
2024-11-08,868.0407
2024-11-09,327.67130000000003
2024-11-10,300.9163
2024-11-11,308.5175
2024-11-12,1271.05
2024-11-13,725.0952
2024-11-14,974.1202000000001
2024-11-15,770.9292
2024-11-16,305.0292
2024-11-17,302.71119999999996
2024-11-18,1206.7169
2024-11-19,944.2946999999999
2024-11-20,1016.0901
2024-11-21,1118.3891999999998
2024-11-22,768.7133
2024-11-23,348.08939999999996
2024-11-24,293.32500000000005
2024-11-25,923.2886
2024-11-26,905.2524
2024-11-27,814.9508
2024-11-28,1335.2158
2024-11-29,742.3466999999999
2024-11-30,393.5808
2024-12-01,368.3537
2024-12-02,915.8816
2024-12-03,1120.5897
2024-12-04,678.4578
2024-12-05,1035.5240000000001
2024-12-06,856.3145000000001
2024-12-07,319.8302
2024-12-08,328.7243
2024-12-09,924.2429999999999
2024-12-10,1180.5228
2024-12-11,810.2838
2024-12-12,1219.2748
2024-12-13,717.577
2024-12-14,358.01619999999997
2024-12-15,362.11129999999997
2024-12-16,1025.3995
2024-12-17,810.3747000000001
2024-12-18,1228.7978
2024-12-19,835.1688
2024-12-20,651.1477
2024-12-21,328.9504
2024-12-22,330.5713
2024-12-23,903.6585
2024-12-24,564.9819
2024-12-25,335.91319999999996
2024-12-26,622.4064999999999
2024-12-27,548.4743
2024-12-28,358.7075
2024-12-29,361.41380000000004
2024-12-30,832.4218999999999
2024-12-31,469.1589
2025-01-01,351.6834
2025-01-02,1074.7764
2025-01-03,777.4578
2025-01-04,365.6119
2025-01-05,340.1714
2025-01-06,922.7058
2025-01-07,861.3492
2025-01-08,956.8168999999999
2025-01-09,1243.1227
2025-01-10,1418.3359
2025-01-11,405.0141
2025-01-12,401.826
2025-01-13,1013.0612
2025-01-14,1322.9364
2025-01-15,1032.8015
2025-01-16,1036.7992
2025-01-17,1275.1536999999998
2025-01-18,413.4885
2025-01-19,396.01349999999996
2025-01-20,1114.0321
2025-01-21,1098.8912
2025-01-22,953.7814000000001
2025-01-23,1161.1239
2025-01-24,711.8208999999999
2025-01-25,378.4498
2025-01-26,414.2303
2025-01-27,1141.8606
2025-01-28,1117.4394
2025-01-29,1036.2172
2025-01-30,959.2931000000001
2025-01-31,980.027
2025-02-01,384.0876
2025-02-02,382.814
2025-02-03,1089.0018
2025-02-04,1193.2677999999999
2025-02-05,892.1995000000001
2025-02-06,1030.5384999999999
2025-02-07,813.761
2025-02-08,365.00239999999997
2025-02-09,363.83660000000003
2025-02-10,1089.0754
2025-02-11,1121.8273
2025-02-12,795.4853
2025-02-13,1460.6576
2025-02-14,770.9812999999999
2025-02-15,388.546
2025-02-16,412.1156
2025-02-17,1101.3618999999999
2025-02-18,1337.5922
2025-02-19,656.0797
