Day,Total_consumption
2022-11-09,153.2512
2022-11-10,172.6536
2022-11-11,101.782
2022-11-12,94.4814
2022-11-13,92.8091
2022-11-14,144.301
2022-11-15,211.8513
2022-11-16,170.3251
2022-11-17,181.4202
2022-11-18,167.8141
2022-11-19,83.2545
2022-11-20,82.2715
2022-11-21,183.7913
2022-11-22,165.8131
2022-11-23,189.7393
2022-11-24,161.0104
2022-11-25,145.5217
2022-11-26,92.7502
2022-11-27,91.0335
2022-11-28,200.6436
2022-11-29,173.2505
2022-11-30,158.3637
2022-12-01,182.6468
2022-12-02,122.7475
2022-12-03,90.6853
2022-12-04,89.0908
2022-12-05,176.1223
2022-12-06,143.1562
2022-12-07,143.1507
2022-12-08,186.0461
2022-12-09,158.3204
2022-12-10,90.634
2022-12-11,89.4189
2022-12-12,128.1424
2022-12-13,151.9007
2022-12-14,167.5567
2022-12-15,148.426
2022-12-16,153.286
2022-12-17,106.8967
2022-12-18,88.2638
2022-12-19,141.7488
2022-12-20,183.0139
2022-12-21,191.1193
2022-12-22,171.0617
2022-12-23,150.8969
2022-12-24,107.0437
2022-12-25,104.5723
2022-12-26,115.2152
2022-12-27,140.2855
2022-12-28,141.7946
2022-12-29,123.1596
2022-12-30,149.2465
2022-12-31,107.6414
2023-01-01,106.3779
2023-01-02,151.3917
2023-01-03,137.9406
2023-01-04,156.8606
2023-01-05,152.6828
2023-01-06,185.0002
2023-01-07,109.2631
2023-01-08,90.8125
2023-01-09,168.4962
2023-01-10,172.0057
2023-01-11,186.1166
2023-01-12,179.915
2023-01-13,179.4481
2023-01-14,102.5172
2023-01-15,89.4815
2023-01-16,170.7333
2023-01-17,159.2207
2023-01-18,149.071
2023-01-19,137.2064
2023-01-20,128.7318
2023-01-21,99.8501
2023-01-22,94.9073
2023-01-23,160.1225
2023-01-24,174.2843
2023-01-25,163.5728
2023-01-26,161.8977
2023-01-27,164.6822
2023-01-28,99.6594
2023-01-29,97.4833
2023-01-30,155.9217
2023-01-31,154.8881
2023-02-01,156.2401
2023-02-02,186.4441
2023-02-03,186.9318
2023-02-04,115.0048
2023-02-05,111.5346
2023-02-06,174.8977
2023-02-07,164.0299
2023-02-08,128.8924
2023-02-09,162.6168
2023-02-10,161.2782
2023-02-11,102.438
2023-02-12,100.7863
2023-02-13,175.8678
2023-02-14,200.9508
2023-02-15,158.7963
2023-02-16,217.2071
2023-02-17,153.3431
2023-02-18,114.738
2023-02-19,111.4969
2023-02-20,151.3559
2023-02-21,185.7849
2023-02-22,177.4684
2023-02-23,200.7141
2023-02-24,180.704
2023-02-25,99.5598
2023-02-26,97.4733
2023-02-27,188.9583
2023-02-28,173.8262
2023-03-01,228.4594
2023-03-02,168.4234
2023-03-03,160.9538
2023-03-04,100.5888
2023-03-05,98.3586
2023-03-06,183.3197
2023-03-07,182.5306
2023-03-08,183.5025
2023-03-09,203.052
2023-03-10,168.2372
2023-03-11,97.1091
2023-03-12,95.6613
2023-03-13,209.8841
2023-03-14,205.9195
2023-03-15,171.6543
2023-03-16,293.9766
2023-03-17,174.2947
2023-03-18,114.494
2023-03-19,113.6643
2023-03-20,187.4743
2023-03-21,178.3636
