Month,Measurement,Phase,Consumption
2022-09,Grid Organi lbc,PHASEA,304835.7
2022-09,Grid Organi lbc,PHASEB,304835.7
2022-09,Grid Organi lbc,PHASEC,308039.5
2022-09,Chargers,PHASEA,314498.6
2022-10,Grid Organi lbc,PHASEA,853876.7
2022-10,Grid Organi lbc,PHASEB,853876.7
2022-10,Grid Organi lbc,PHASEC,923577.4
2022-10,Chargers,PHASEA,978554.6
2022-11,Grid Organi lbc,PHASEA,2894842.0
2022-11,Grid Organi lbc,PHASEB,2894842.0
2022-11,Grid Organi lbc,PHASEC,2870919.5
2022-11,Chargers,PHASEA,2686891.1
2022-11,Chargers,PHASEB,227668.4
2022-11,Chargers,PHASEC,349599.2
2022-11,Solar,PHASEA,180935.9
2022-12,Grid Organi lbc,PHASEA,4394802.1
2022-12,Grid Organi lbc,PHASEB,4394802.1
2022-12,Grid Organi lbc,PHASEC,3916706.1
2022-12,Chargers,PHASEA,3593169.9
2022-12,Chargers,PHASEB,258750.1
2022-12,Chargers,PHASEC,391370.7
2022-12,Solar,PHASEA,217142.2
2023-01,Grid Organi lbc,PHASEA,4391621.7
2023-01,Grid Organi lbc,PHASEB,4391621.7
2023-01,Grid Organi lbc,PHASEC,4024660.7
2023-01,Chargers,PHASEA,3734139.6
2023-01,Chargers,PHASEB,313451.8
2023-01,Chargers,PHASEC,392950.9
2023-01,Solar,PHASEA,147496.5
2023-02,Grid Organi lbc,PHASEA,3949823.2
2023-02,Grid Organi lbc,PHASEB,3949823.2
2023-02,Grid Organi lbc,PHASEC,3712119.3
2023-02,Chargers,PHASEA,3551035.5
2023-02,Chargers,PHASEB,340770.3
2023-02,Chargers,PHASEC,447533.8
2023-02,Solar,PHASEA,202586.8
2023-03,Grid Organi lbc,PHASEA,4288033.6
2023-03,Grid Organi lbc,PHASEB,4288033.6
2023-03,Grid Organi lbc,PHASEC,4239821.8
2023-03,Chargers,PHASEA,4176374.2
2023-03,Chargers,PHASEB,506736.3
2023-03,Chargers,PHASEC,575006.9
2023-03,Solar,PHASEA,346321.8
2023-04,Grid Organi lbc,PHASEA,3660344.2
2023-04,Grid Organi lbc,PHASEB,3660344.2
2023-04,Grid Organi lbc,PHASEC,3699602.4
