Week,Measurement,Phase,Consumption
2022-W39,Grid Organi lbc,PHASEA,436618.19999999995
2022-W39,Grid Organi lbc,PHASEB,436618.19999999995
2022-W39,Grid Organi lbc,PHASEC,463173.39999999997
2022-W39,Chargers,PHASEA,505356.19999999995
2022-W40,Grid Organi lbc,PHASEA,273680.7
2022-W40,Grid Organi lbc,PHASEB,273680.7
2022-W40,Grid Organi lbc,PHASEC,305387.3
2022-W40,Chargers,PHASEA,301917.2
2022-W41,Grid Organi lbc,PHASEA,448413.5
2022-W41,Grid Organi lbc,PHASEB,448413.5
2022-W41,Grid Organi lbc,PHASEC,463056.2
2022-W41,Chargers,PHASEA,485779.8
2022-W45,Grid Organi lbc,PHASEA,556219.2
2022-W45,Grid Organi lbc,PHASEB,556219.2
2022-W45,Grid Organi lbc,PHASEC,594154.4
2022-W45,Chargers,PHASEA,607513.8
2022-W45,Chargers,PHASEB,14952.899999999998
2022-W45,Chargers,PHASEC,38537.0
2022-W45,Solar,PHASEA,19820.7
2022-W46,Grid Organi lbc,PHASEA,898033.3
2022-W46,Grid Organi lbc,PHASEB,898033.3
2022-W46,Grid Organi lbc,PHASEC,891260.5
2022-W46,Chargers,PHASEA,849382.3999999999
2022-W46,Chargers,PHASEB,68616.2
2022-W46,Chargers,PHASEC,123239.1
2022-W46,Solar,PHASEA,60385.299999999996
2022-W47,Grid Organi lbc,PHASEA,979895.9
2022-W47,Grid Organi lbc,PHASEB,979895.9
2022-W47,Grid Organi lbc,PHASEC,920306.6000000001
2022-W47,Chargers,PHASEA,826494.5
2022-W47,Chargers,PHASEB,102146.1
2022-W47,Chargers,PHASEC,101018.9
2022-W47,Solar,PHASEA,53668.7
2022-W48,Grid Organi lbc,PHASEA,1020336.9
2022-W48,Grid Organi lbc,PHASEB,1020336.9
2022-W48,Grid Organi lbc,PHASEC,954872.4
2022-W48,Chargers,PHASEA,830807.4
2022-W48,Chargers,PHASEB,52633.6
2022-W48,Chargers,PHASEC,133987.2
2022-W48,Solar,PHASEA,69929.9
2022-W49,Grid Organi lbc,PHASEA,1064276.6
2022-W49,Grid Organi lbc,PHASEB,1064276.6
2022-W49,Grid Organi lbc,PHASEC,917229.5
2022-W49,Chargers,PHASEA,844555.3
2022-W49,Chargers,PHASEB,63550.59999999999
2022-W49,Chargers,PHASEC,78742.7
2022-W49,Solar,PHASEA,90043.9
2022-W50,Grid Organi lbc,PHASEA,1106987.7000000002
2022-W50,Grid Organi lbc,PHASEB,1106987.7000000002
2022-W50,Grid Organi lbc,PHASEC,924354.8
2022-W50,Chargers,PHASEA,761957.8999999999
2022-W50,Chargers,PHASEB,66604.0
2022-W50,Chargers,PHASEC,115910.40000000001
2022-W50,Solar,PHASEA,28288.6
2022-W51,Grid Organi lbc,PHASEA,920830.6
2022-W51,Grid Organi lbc,PHASEB,920830.6
2022-W51,Grid Organi lbc,PHASEC,917238.4000000001
2022-W51,Chargers,PHASEA,857448.2000000001
2022-W51,Chargers,PHASEB,64322.9
2022-W51,Chargers,PHASEC,127685.5
2022-W51,Solar,PHASEA,41401.3
2022-W52,Grid Organi lbc,PHASEA,823995.0999999999
2022-W52,Grid Organi lbc,PHASEB,823995.0999999999
2022-W52,Grid Organi lbc,PHASEC,753963.5
2022-W52,Chargers,PHASEA,806696.5
2022-W52,Chargers,PHASEB,54421.1
2022-W52,Chargers,PHASEC,22603.1
2022-W52,Solar,PHASEA,35038.5
2023-W01,Grid Organi lbc,PHASEA,915303.2999999999
2023-W01,Grid Organi lbc,PHASEB,915303.2999999999
2023-W01,Grid Organi lbc,PHASEC,862105.7
2023-W01,Chargers,PHASEA,863796.7000000001
2023-W01,Chargers,PHASEB,66207.9
2023-W01,Chargers,PHASEC,53946.899999999994
2023-W01,Solar,PHASEA,43040.0
2023-W02,Grid Organi lbc,PHASEA,952843.5
2023-W02,Grid Organi lbc,PHASEB,952843.5
2023-W02,Grid Organi lbc,PHASEC,1001756.2999999999
2023-W02,Chargers,PHASEA,881229.3999999999
2023-W02,Chargers,PHASEB,56422.7
2023-W02,Chargers,PHASEC,140328.2
2023-W02,Solar,PHASEA,55622.3
2023-W03,Grid Organi lbc,PHASEA,1039247.7
2023-W03,Grid Organi lbc,PHASEB,1039247.7
2023-W03,Grid Organi lbc,PHASEC,928125.5000000001
2023-W03,Chargers,PHASEA,784159.7
2023-W03,Chargers,PHASEB,43076.7
2023-W03,Chargers,PHASEC,112484.2
2023-W03,Solar,PHASEA,12958.0
2023-W04,Grid Organi lbc,PHASEA,1080793.3
2023-W04,Grid Organi lbc,PHASEB,1080793.3
2023-W04,Grid Organi lbc,PHASEC,860385.0999999999
2023-W04,Chargers,PHASEA,846321.9
2023-W04,Chargers,PHASEB,116479.9
2023-W04,Chargers,PHASEC,58900.399999999994
2023-W04,Solar,PHASEA,26961.1
2023-W05,Grid Organi lbc,PHASEA,979929.7
2023-W05,Grid Organi lbc,PHASEB,979929.7
2023-W05,Grid Organi lbc,PHASEC,945394.8
2023-W05,Chargers,PHASEA,862745.4
2023-W05,Chargers,PHASEB,86749.40000000001
2023-W05,Chargers,PHASEC,117470.40000000001
2023-W05,Solar,PHASEA,21633.6
2023-W06,Grid Organi lbc,PHASEA,1015618.8999999999
2023-W06,Grid Organi lbc,PHASEB,1015618.8999999999
2023-W06,Grid Organi lbc,PHASEC,890423.6000000001
2023-W06,Chargers,PHASEA,832537.3
2023-W06,Chargers,PHASEB,72832.1
2023-W06,Chargers,PHASEC,89569.9
2023-W06,Solar,PHASEA,55301.799999999996
2023-W07,Grid Organi lbc,PHASEA,950369.0
2023-W07,Grid Organi lbc,PHASEB,950369.0
2023-W07,Grid Organi lbc,PHASEC,946469.3999999999
2023-W07,Chargers,PHASEA,929220.0
2023-W07,Chargers,PHASEB,77157.1
2023-W07,Chargers,PHASEC,126022.9
2023-W07,Solar,PHASEA,45554.8
2023-W08,Grid Organi lbc,PHASEA,997496.3999999999
2023-W08,Grid Organi lbc,PHASEB,997496.3999999999
2023-W08,Grid Organi lbc,PHASEC,911512.9
2023-W08,Chargers,PHASEA,912097.4
2023-W08,Chargers,PHASEB,93969.6
2023-W08,Chargers,PHASEC,86993.4
2023-W08,Solar,PHASEA,65130.00000000001
2023-W09,Grid Organi lbc,PHASEA,1042450.8
2023-W09,Grid Organi lbc,PHASEB,1042450.8
2023-W09,Grid Organi lbc,PHASEC,952015.8
2023-W09,Chargers,PHASEA,882344.8
2023-W09,Chargers,PHASEB,106841.90000000001
2023-W09,Chargers,PHASEC,130381.8
2023-W09,Solar,PHASEA,59321.6
2023-W10,Grid Organi lbc,PHASEA,1045116.5
2023-W10,Grid Organi lbc,PHASEB,1045116.5
2023-W10,Grid Organi lbc,PHASEC,955047.3
2023-W10,Chargers,PHASEA,887234.3999999999
2023-W10,Chargers,PHASEB,109214.6
2023-W10,Chargers,PHASEC,116963.40000000001
2023-W10,Solar,PHASEA,74049.9
2023-W11,Grid Organi lbc,PHASEA,940239.5999999999
