Date,Grid Organi lbc (L1) [kW],Grid Organi lbc (L2) [kW],Grid Organi lbc (L3) [kW],Chargers (L1) [kW],Chargers (L2) [kW],Chargers (L3) [kW],Solar (L1) [kW],Solar (L2) [kW],Solar (L3) [kW],Chargers achteraan (L1) [kW],Chargers achteraan (L2) [kW],Chargers achteraan (L3) [kW]
2024-12-31 23:45:00,"5,063","4,016","4,885","0,036","0,032","0,02",0,"-0,006","-0,001","0,024","0,022","0,022"
2024-12-31 23:30:00,"5,089","3,955","4,864","0,036","0,032","0,021",0,"-0,006","-0,001","0,024","0,023","0,022"
2024-12-31 23:15:00,"5,036","3,871","4,78","0,036","0,032","0,022",0,"-0,006","-0,001","0,024","0,023","0,022"
2024-12-31 23:00:00,"5,199","3,95","4,828","0,036","0,032","0,022",0,"-0,006","-0,001","0,024","0,023","0,022"
2024-12-31 22:45:00,"5,086","3,953","4,826","0,036","0,032","0,021",0,"-0,006","-0,001","0,024","0,022","0,022"
2024-12-31 22:30:00,"5,178","3,986","4,842","0,036","0,032","0,022",0,"-0,006","-0,001","0,024","0,022","0,022"
2024-12-31 22:15:00,"5,165","3,964","4,829","0,036","0,032","0,021",0,"-0,006","-0,001","0,025","0,022","0,022"
2024-12-31 22:00:00,"5,355","4,027","4,903","0,036","0,032","0,021",0,"-0,006","-0,001","0,025","0,022","0,022"
2024-12-31 21:45:00,"5,69","3,922","4,827","0,037","0,033","0,02",0,"-0,006","-0,001","0,025","0,022","0,022"
2024-12-31 21:30:00,"5,47","3,919","4,858","0,036","0,032","0,02",0,"-0,006","-0,001","0,025","0,023","0,022"
2024-12-31 21:15:00,"5,273","3,84","4,825","0,036","0,032","0,02",0,"-0,006","-0,001","0,025","0,023","0,021"
2024-12-31 21:00:00,"5,505","3,888","4,836","0,037","0,032","0,02",0,"-0,006","-0,001","0,025","0,023","0,021"
2024-12-31 20:45:00,"5,301","3,882","4,803","0,036","0,033","0,02",0,"-0,006","-0,001","0,025","0,023","0,02"
2024-12-31 20:30:00,"5,382","3,9","4,806","0,037","0,033","0,02",0,"-0,006","-0,001","0,025","0,023","0,02"
2024-12-31 20:15:00,"5,462","3,96","4,875","0,037","0,032","0,02",0,"-0,006","-0,001","0,025","0,023","0,021"
2024-12-31 20:00:00,"5,364","3,896","4,825","0,037","0,033","0,02",0,"-0,006","-0,001","0,025","0,023","0,02"
2024-12-31 19:45:00,"5,4","3,82","4,764","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,02"
2024-12-31 19:30:00,"5,705","3,87","4,835","0,037","0,033","0,02",0,"-0,006","-0,001","0,025","0,022","0,021"
