Date,Consumption [kWh],Grid Organi lbc (L1) [kWh],Grid Organi lbc (L2) [kWh],Grid Organi lbc (L3) [kWh],Chargers (L1) [kWh],Chargers (L2) [kWh],Chargers (L3) [kWh],Solar (L1) [kWh],Solar (L2) [kWh],Solar (L3) [kWh],Chargers achteraan (L1) [kWh],Chargers achteraan (L2) [kWh],Chargers achteraan (L3) [kWh]
2025-02-10 00:00:00,"5 421,485","1 988,919","1 623,007","1 585,591","329,724","338,873","288,73","74,383","74,731","74,841","415,69","438,353","413,271"
2025-02-03 00:00:00,"5 214,956","1 906,668","1 522,145","1 546,414","289,023","274,385","252,49","79,6","80,037","80,076","421,337","427,437","419,313"
2025-01-27 00:00:00,"5 493,733","1 973,011","1 607,445","1 652,789","271,764","261,264","274,786","86,488","86,997","86,988","547,446","533,026","511,697"
2025-01-20 00:00:00,"5 167,996","1 928,064","1 560,799","1 563,3","325,266","328,39","338,414","38,611","38,378","38,822","359,001","363,414","352,929"
2025-01-13 00:00:00,"5 801,458","2 133,384","1 742,053","1 812,863","334,951","358,251","406,23","37,725","37,478","37,932","508,701","501,809","480,674"
2025-01-06 00:00:00,"5 583,894","2 044,87","1 704,039","1 714,943","325,161","331,485","335,581","40,008","39,804","40,206","465,969","475,502","468,947"
2024-12-30 00:00:00,"3 855,044","1 397,879","1 159,988","1 199,156","199,148","193,511","190,409","32,73","32,398","32,893","172,824","204,834","171,958"
2024-12-23 00:00:00,"3 472,125","1 258,097","1 040,974","1 089,359","85,695","85,056","82,812","27,997","27,579","28,124","181,491","208,827","179,278"
2024-12-16 00:00:00,"4 878,108","1 666,181","1 494,387","1 622,069","273,46","288,392","320,223","31,908","31,531","32,029","380,374","362,126","372,53"
2024-12-09 00:00:00,"5 123,193","1 824,542","1 569,092","1 668,378","308,107","295,013","313,313","20,538","20,002","20,629","419,634","440,051","413,592"
2024-12-02 00:00:00,"4 929,583","1 704,02","1 506,058","1 609,676","286,15","281,158","268,204","36,656","36,365","36,801","387,331","411,008","394,546"
2024-11-25 00:00:00,"5 114,612","1 769,068","1 595,107","1 601,812","271,599","296,718","250,869","49,457","49,419","49,742","416,42","439,664","432,473"
2024-11-18 00:00:00,"5 337,094","1 828,398","1 634,801","1 709,887","287,616","276,651","294,848","54,605","54,571","54,831","472,894","527,539","515,809"
2024-11-11 00:00:00,"4 506,66","1 466,911","1 380,903","1 481,697","249,493","215,919","224,818","58,934","58,976","59,234","342,808","390,263","375,829"
2024-11-04 00:00:00,"5 112,736","1 732,519","1 613,804","1 662,918","266,084","277,003","260,812","34,539","34,251","34,708","484,704","475,459","474,184"
2024-10-28 00:00:00,"4 213,747","1 322,497","1 364,546","1 325,719","204,499","257,614","201,848","66,817","66,992","67,169","295,306","307,415","310,322"
2024-10-21 00:00:00,"5 067,514","1 525,624","1 531,51","1 565,151","242,775","259,157","231,6","147,726","148,939","148,57","494,057","502,661","499,155"
2024-10-14 00:00:00,"4 697,85","1 441,046","1 448,827","1 502,873","206,454","245,533","195,091","101,335","101,924","101,853","470,256","472,595","449,87"
2024-10-07 00:00:00,"4 700,923","1 434,339","1 353,068","1 453,012","258,674","245,906","259,789","152,776","154,151","153,582","387,27","385,071","357,22"
2024-09-30 00:00:00,"4 481,848","1 307,64","1 252,787","1 381,854","209,435","214,097","251,723",179,"180,581","179,992","131,79","133,949","126,041"
2024-09-23 00:00:00,"4 415,683","1 279,553","1 254,684","1 343,667","247,935","255,032","245,561","178,285","180,087","179,405","80,614","84,002","83,127"
2024-09-16 00:00:00,"4 162,185","1 067,573","1 123,525","1 185,915","252,775","258,899","249,63","260,134","263,104","261,923","54,23","55,049","53,866"
2024-09-09 00:00:00,"4 069,407","1 073,422","1 042,303","1 206,49","232,996","233,984","246,19","247,744","250,246","249,204","61,552","61,99","66,218"
2024-09-02 00:00:00,"3 929,059","1 061,376","1 071,615","1 168,672","199,157","194,531","165,125","207,815","210,279","209,297","52,598","55,498","50,447"
2024-08-26 00:00:00,"4 079,723","991,125","957,997","1 049,484","152,12","155,394","166,201","357,977","362,409","360,71","67,87","69,943","65,216"
2024-08-19 00:00:00,"3 760,709","896,785","927,787","973,906","168,408","213,624","159,156","318,809","322,46","320,955","46,685","46,112","42,835"
2024-08-12 00:00:00,"3 406,467","732,611","759,125","937,019","97,176","115,183","156,33","323,923","327,497","326,286","24,285","27,618","23,905"
