Day,Chargers,Chargers achteraan,Grid Organi lbc,Solar
2022-09-28,54.7589,0.0,161.485,0.0
2022-09-29,128.5703,0.0,396.6727,0.0
2022-09-30,131.1694,0.0,359.5532,0.0
2022-10-01,96.6635,0.0,213.6044,0.0
2022-10-02,94.1941,0.0,205.0945,0.0
2022-10-03,105.2394,0.0,322.2566,0.0
2022-10-04,137.2326,0.0,371.5324,0.0
2022-10-05,59.4452,0.0,158.9597,0.0
2022-10-12,108.8334,0.0,347.4926,0.0
2022-10-13,138.71,0.0,384.784,0.0
2022-10-14,127.4642,0.0,377.2337,0.0
2022-10-15,98.8032,0.0,219.9674,0.0
2022-10-16,11.969,0.0,30.4055,0.0
2022-11-08,46.0264,0.0,131.1544,0.0
2022-11-09,153.2512,0.0,389.086,2.3923
2022-11-10,172.6536,0.0,424.0817,15.8592
2022-11-11,101.782,0.0,258.9267,0.5152
2022-11-12,94.4814,0.0,252.3417,0.5277
2022-11-13,92.8091,0.0,251.0023,0.5263
2022-11-14,144.301,0.0,416.9433,13.5666
2022-11-15,211.8513,0.0,481.281,18.8421
2022-11-16,170.3251,0.0,416.4532,13.7974
2022-11-17,181.4202,0.0,439.2797,3.5653
2022-11-18,167.8141,0.0,399.9918,9.5894
2022-11-19,83.2545,0.0,261.9937,0.5099
2022-11-20,82.2715,0.0,271.3844,0.5146
2022-11-21,183.7913,0.0,450.9443,24.0529
2022-11-22,165.8131,0.0,485.1523,13.9671
2022-11-23,189.7393,0.0,517.021,10.2886
2022-11-24,161.0104,0.0,457.4871,3.8479
2022-11-25,145.5217,0.0,418.854,0.5241
2022-11-26,92.7502,0.0,278.2672,0.4924
2022-11-27,91.0335,0.0,272.3725,0.4957
2022-11-28,200.6436,0.0,460.5618,24.6382
2022-11-29,173.2505,0.0,469.2566,14.5453
2022-11-30,158.3637,0.0,456.7668,7.8777
2022-12-01,182.6468,0.0,477.3325,21.39
2022-12-02,122.7475,0.0,430.7126,0.5058
2022-12-03,90.6853,0.0,351.7065,0.4873
2022-12-04,89.0908,0.0,349.2094,0.4856
2022-12-05,176.1223,0.0,478.7211,24.9045
2022-12-06,143.1562,0.0,470.1153,3.0307
2022-12-07,143.1507,0.0,467.2496,8.9964
2022-12-08,186.0461,0.0,496.9358,45.4737
2022-12-09,158.3204,0.0,527.2242,6.6577
2022-12-10,90.634,0.0,304.3036,0.4932
2022-12-11,89.4189,0.0,301.2331,0.4877
2022-12-12,128.1424,0.0,464.9001,7.9816
2022-12-13,151.9007,0.0,518.1374,0.5238
