Day,Measurement,Phase,Consumption
2022-09-28,Grid Organi lbc,PHASEA,53309.7
2022-09-28,Grid Organi lbc,PHASEB,53309.7
2022-09-28,Grid Organi lbc,PHASEC,54865.6
2022-09-28,Chargers,PHASEA,54758.9
2022-09-29,Grid Organi lbc,PHASEA,130494.4
2022-09-29,Grid Organi lbc,PHASEB,130494.4
2022-09-29,Grid Organi lbc,PHASEC,135683.9
2022-09-29,Chargers,PHASEA,128570.3
2022-09-30,Grid Organi lbc,PHASEA,121031.6
2022-09-30,Grid Organi lbc,PHASEB,121031.6
2022-09-30,Grid Organi lbc,PHASEC,117490.0
2022-09-30,Chargers,PHASEA,131169.4
2022-10-01,Grid Organi lbc,PHASEA,67709.9
2022-10-01,Grid Organi lbc,PHASEB,67709.9
2022-10-01,Grid Organi lbc,PHASEC,78184.6
2022-10-01,Chargers,PHASEA,96663.5
2022-10-02,Grid Organi lbc,PHASEA,64072.6
2022-10-02,Grid Organi lbc,PHASEB,64072.6
2022-10-02,Grid Organi lbc,PHASEC,76949.3
2022-10-02,Chargers,PHASEA,94194.1
2022-10-03,Grid Organi lbc,PHASEA,105163.3
2022-10-03,Grid Organi lbc,PHASEB,105163.3
2022-10-03,Grid Organi lbc,PHASEC,111930.0
2022-10-03,Chargers,PHASEA,105239.4
2022-10-04,Grid Organi lbc,PHASEA,120423.8
2022-10-04,Grid Organi lbc,PHASEB,120423.8
2022-10-04,Grid Organi lbc,PHASEC,130684.8
2022-10-04,Chargers,PHASEA,137232.6
2022-10-05,Grid Organi lbc,PHASEA,48093.6
2022-10-05,Grid Organi lbc,PHASEB,48093.6
2022-10-05,Grid Organi lbc,PHASEC,62772.5
2022-10-05,Chargers,PHASEA,59445.2
2022-10-12,Grid Organi lbc,PHASEA,115732.9
2022-10-12,Grid Organi lbc,PHASEB,115732.9
2022-10-12,Grid Organi lbc,PHASEC,116026.8
2022-10-12,Chargers,PHASEA,108833.4
2022-10-13,Grid Organi lbc,PHASEA,130389.3
2022-10-13,Grid Organi lbc,PHASEB,130389.3
2022-10-13,Grid Organi lbc,PHASEC,124005.4
2022-10-13,Chargers,PHASEA,138710.0
2022-10-14,Grid Organi lbc,PHASEA,124538.0
2022-10-14,Grid Organi lbc,PHASEB,124538.0
2022-10-14,Grid Organi lbc,PHASEC,128157.7
2022-10-14,Chargers,PHASEA,127464.2
2022-10-15,Grid Organi lbc,PHASEA,67865.8
2022-10-15,Grid Organi lbc,PHASEB,67865.8
2022-10-15,Grid Organi lbc,PHASEC,84235.8
2022-10-15,Chargers,PHASEA,98803.2
2022-10-16,Grid Organi lbc,PHASEA,9887.5
2022-10-16,Grid Organi lbc,PHASEB,9887.5
2022-10-16,Grid Organi lbc,PHASEC,10630.5
2022-10-16,Chargers,PHASEA,11969.0
2022-11-08,Grid Organi lbc,PHASEA,40885.0
2022-11-08,Grid Organi lbc,PHASEB,40885.0
2022-11-08,Grid Organi lbc,PHASEC,49384.4
