Day,Total_consumption
2022-11-09,389.086
2022-11-10,424.0817
2022-11-11,258.9267
2022-11-12,252.3417
2022-11-13,251.0023
2022-11-14,416.9433
2022-11-15,481.281
2022-11-16,416.4532
2022-11-17,439.2797
2022-11-18,399.9918
2022-11-19,261.9937
2022-11-20,271.3844
2022-11-21,450.9443
2022-11-22,485.1523
2022-11-23,517.021
2022-11-24,457.4871
2022-11-25,418.854
2022-11-26,278.2672
2022-11-27,272.3725
2022-11-28,460.5618
2022-11-29,469.2566
2022-11-30,456.7668
2022-12-01,477.3325
2022-12-02,430.7126
2022-12-03,351.7065
2022-12-04,349.2094
2022-12-05,478.7211
2022-12-06,470.1153
2022-12-07,467.2496
2022-12-08,496.9358
2022-12-09,527.2242
2022-12-10,304.3036
2022-12-11,301.2331
2022-12-12,464.9001
2022-12-13,518.1374
2022-12-14,531.2789
2022-12-15,509.5918
2022-12-16,488.6104
2022-12-17,323.2278
2022-12-18,302.5838
2022-12-19,442.2887
2022-12-20,485.5611
2022-12-21,490.5004
2022-12-22,432.6591
2022-12-23,384.4265
2022-12-24,262.4281
2022-12-25,261.0357
2022-12-26,338.6265
2022-12-27,428.2256
2022-12-28,388.5892
2022-12-29,362.5154
2022-12-30,392.9576
2022-12-31,243.4225
2023-01-01,247.6169
2023-01-02,435.1032
2023-01-03,439.9728
2023-01-04,399.5543
2023-01-05,432.9703
2023-01-06,449.519
2023-01-07,265.852
2023-01-08,269.7407
2023-01-09,465.2351
2023-01-10,504.8869
2023-01-11,425.3981
2023-01-12,442.7396
2023-01-13,489.0128
2023-01-14,287.9407
2023-01-15,292.2301
2023-01-16,476.2397
2023-01-17,506.9799
2023-01-18,495.2005
2023-01-19,476.8224
2023-01-20,423.0652
2023-01-21,317.5773
2023-01-22,310.7359
2023-01-23,455.0644
2023-01-24,504.8271
2023-01-25,468.7965
2023-01-26,490.138
2023-01-27,480.8547
2023-01-28,312.8023
2023-01-29,309.4887
2023-01-30,455.5527
2023-01-31,475.9863
2023-02-01,433.8502
2023-02-02,498.3513
2023-02-03,464.8715
2023-02-04,280.1267
2023-02-05,296.5155
2023-02-06,458.5064
2023-02-07,508.2454
2023-02-08,453.2905
2023-02-09,472.1581
2023-02-10,459.2465
2023-02-11,287.7357
2023-02-12,282.4788
2023-02-13,463.54
2023-02-14,500.9169
2023-02-15,433.6324
2023-02-16,505.6314
2023-02-17,401.8949
2023-02-18,267.9452
2023-02-19,273.6466
2023-02-20,429.6122
2023-02-21,487.8582
2023-02-22,435.2841
