Date,Consumption [kWh],Grid Organi lbc (L1) [kWh],Grid Organi lbc (L2) [kWh],Grid Organi lbc (L3) [kWh],Chargers (L1) [kWh],Chargers (L2) [kWh],Chargers (L3) [kWh],Solar (L1) [kWh],Solar (L2) [kWh],Solar (L3) [kWh],Chargers achteraan (L1) [kWh],Chargers achteraan (L2) [kWh],Chargers achteraan (L3) [kWh]
2025-05-02 23:00:00,"13,669","4,47","4,225","4,981","0,037","0,03","0,021",0,"-0,007","-0,001","0,024","0,024","0,022"
2025-05-02 22:00:00,"13,745","4,548","4,201","5,004","0,037","0,03","0,02",0,"-0,007","-0,001","0,024","0,024","0,021"
2025-05-02 21:00:00,"14,073","4,964","4,134","4,957","0,037","0,03","0,021","0,008","0,002","0,008","0,024","0,024","0,021"
2025-05-02 20:00:00,"13,64","4,08","3,868","4,696","0,037","0,03","0,02","0,33","0,332","0,334","0,024","0,024","0,021"
2025-05-02 19:00:00,"14,139","3,378","2,975","3,746","0,037","0,03","0,02","1,34","1,354","1,347","0,023","0,024","0,021"
2025-05-02 18:00:00,"14,881","1,876","1,558","2,04","0,037","0,03","0,02","3,12","3,151","3,136","0,022","0,024","0,021"
2025-05-02 17:00:00,"18,871","1,976","1,866","2,215","0,037","0,03","0,02","4,249","4,292","4,274","0,021","0,024","0,022"
2025-05-02 16:00:00,"28,1","3,151","3,799","2,417","0,037","0,03","0,02","6,211","6,273","6,249","0,02","0,024","0,023"
2025-05-02 15:00:00,"30,156","3,6","3,133","1,398","0,037","0,031","0,02","7,299","7,378","7,348","0,019","0,024","0,023"
2025-05-02 14:00:00,"31,948","4,087","2,994","1,42","0,037","0,031","0,02","7,769","7,854","7,825","0,057","0,064","0,058"
2025-05-02 13:00:00,"25,955","2,025","1,008","-1,582","0,036","0,031","0,02","8,116","8,209","8,18","0,018","0,024","0,023"
2025-05-02 12:00:00,"29,189","2,944","2,096","0,582","0,037","0,031","0,02","7,807","7,896","7,865","0,046","0,053","0,046"
2025-05-02 11:00:00,"33,222","5,621","3,614","2,624","0,037","0,031","0,02","7,077","7,161","7,127","0,051","0,057","0,05"
2025-05-02 10:00:00,"41,99","9,825","9,144","7,04","2,131","2,119","2,103","5,297","5,354","5,331","1,715","1,679","1,666"
2025-05-02 09:00:00,"55,959","15,704","14,654","13,52","2,276","3,458","3,484","4,004","4,051","4,027","6,858","6,689","6,689"
2025-05-02 08:00:00,"62,021","18,102","18,653","18,3","2,134","5,004","4,948","2,308","2,339","2,319","9,526","9,395","9,428"
