Date,Consumption [kWh],Grid Organi lbc (L1) [kWh],Grid Organi lbc (L2) [kWh],Grid Organi lbc (L3) [kWh],Chargers (L1) [kWh],Chargers (L2) [kWh],Chargers (L3) [kWh],Solar (L1) [kWh],Solar (L2) [kWh],Solar (L3) [kWh],Chargers achteraan (L1) [kWh],Chargers achteraan (L2) [kWh],Chargers achteraan (L3) [kWh]
2025-04-15 23:00:00,"13,919","4,695","4,259","4,972","0,036","0,033","0,021",0,"-0,006","-0,001","0,024","0,022","0,021"
2025-04-15 22:00:00,"13,876","4,592","4,274","5,017","0,037","0,032","0,021",0,"-0,006","-0,001","0,024","0,022","0,021"
2025-04-15 21:00:00,"13,975","4,789","4,212","4,982","0,037","0,032","0,02",0,"-0,006","-0,001","0,024","0,022","0,021"
2025-04-15 20:00:00,"14,017","4,672","4,118","4,961","0,037","0,032","0,02","0,089","0,086","0,091","0,025","0,022","0,02"
2025-04-15 19:00:00,"14,232","4,198","3,595","4,415","0,037","0,033","0,02","0,671","0,677","0,676","0,024","0,022","0,02"
2025-04-15 18:00:00,"19,758","4,59","4,144","4,212","0,037","0,033","0,02","2,258","2,284","2,271","0,023","0,022","0,021"
2025-04-15 17:00:00,"23,672","4,763","3,438","3,851","0,037","0,033","0,02","3,851","3,895","3,876","0,022","0,022","0,021"
2025-04-15 16:00:00,"30,081","5,543","6,21","4,417","0,054","1,891","0,035","4,606","4,663","4,642","0,021","0,025","0,022"
2025-04-15 15:00:00,"32,271","7,655","11,651","6,177","0,041","2,932","0,021","2,248","2,276","2,265","0,028","2,55","0,027"
2025-04-15 14:00:00,"39,847","7,701","12,775","6,044","0,04","3,377","0,02","4,411","4,467","4,449","0,027","3,805","0,03"
2025-04-15 13:00:00,"40,747","10,231","13,444","8,506","2,602","2,596","2,575","2,836","2,872","2,858","1,179","4,975","1,182"
2025-04-15 12:00:00,"57,806","17,735","17,712","15,668","2,426","3,365","2,401","2,215","2,245","2,232","7,66","7,791","7,727"
2025-04-15 11:00:00,"62,769","17,549","19,332","14,419","0,489","3,896","0,023","3,799","3,842","3,828","10,608","10,374","10,378"
2025-04-15 10:00:00,"109,916","35,244","32,835","26,522","3,818","7,014","1,536","5,074","5,13","5,111","26,361","22,652","22,659"
2025-04-15 09:00:00,"125,493","42,721","37,786","36,329","2,001","2,506","1,645","2,866","2,905","2,886","33,516","29,748","29,722"
2025-04-15 08:00:00,"96,683","34,303","32,559","26,874","4,44","7,017","2,81","0,975","0,987","0,984","21,772","17,918","17,948"
2025-04-15 07:00:00,"35,346","11,875","11,149","11,036","2,359","2,341","2,33","0,427","0,429","0,431","2,794","2,354","2,348"
2025-04-15 06:00:00,"15,324","5,085","5,193","4,993","0,036","0,033","0,021","0,019","0,015","0,02","0,024","0,023","0,022"
2025-04-15 05:00:00,"14,982","5,038","5,033","4,918","0,036","0,033","0,021",0,"-0,006","-0,001","0,024","0,023","0,022"
2025-04-15 04:00:00,"14,831","4,816","5,075","4,948","0,036","0,034","0,02",0,"-0,006","-0,001","0,024","0,023","0,022"
2025-04-15 03:00:00,"15,245","5,208","5,099","4,946","0,036","0,033","0,021",0,"-0,006","-0,001","0,024","0,023","0,022"
