iter	Passed	Remaining
0	3	1293
1	6	1338
2	9	1202
3	11	1135
4	14	1133
5	17	1138
6	19	1114
7	21	1077
8	24	1061
9	26	1048
10	29	1039
11	32	1045
12	35	1043
13	37	1026
14	39	1019
15	42	1012
16	43	990
17	45	976
18	48	979
19	51	973
20	53	969
21	56	970
22	59	974
23	61	966
24	64	969
25	66	963
26	69	959
27	71	955
28	74	951
29	76	941
30	78	934
31	80	930
32	82	919
33	84	912
34	86	905
35	88	898
36	90	889
37	92	881
38	94	875
39	97	873
40	99	871
41	101	863
42	103	855
43	105	854
44	107	851
45	109	843
46	111	839
47	113	832
48	116	831
49	118	830
50	120	823
51	122	817
52	124	812
53	126	810
54	129	812
55	132	811
56	134	810
57	136	806
58	139	804
59	141	802
60	144	803
61	147	802
62	149	800
63	152	798
64	154	797
65	157	799
66	160	797
67	163	799
68	166	796
69	168	795
70	170	791
71	174	794
72	177	795
73	180	794
74	184	799
75	186	797
76	189	793
77	191	791
78	194	790
79	198	792
80	201	794
81	203	790
82	206	787
83	209	786
84	212	788
85	215	787
86	218	785
87	221	784
88	224	784
89	227	782
90	230	781
91	232	779
92	234	774
93	237	774
94	241	773
95	244	773
96	247	772
97	250	770
98	252	768
99	255	767
100	259	767
101	262	767
102	266	767
103	269	767
104	273	767
105	278	771
106	280	767
107	283	766
108	286	765
109	290	765
110	294	767
111	298	766
112	300	764
113	304	764
114	307	761
115	309	758
116	312	756
117	315	754
118	319	754
119	323	754
120	326	752
121	328	749
122	332	748
123	336	748
124	339	747
125	343	747
126	346	745
127	349	743
128	353	742
129	358	743
130	361	741
131	364	739
132	367	737
133	370	736
134	374	735
135	377	731
136	379	728
137	382	726
138	385	724
139	389	722
140	392	720
141	395	717
142	399	717
143	404	718
144	406	715
145	410	713
146	414	712
147	417	710
148	421	709
149	423	706
150	427	704
151	430	703
152	434	701
153	437	699
154	441	697
155	445	696
156	449	695
157	452	692
158	453	688
159	458	687
160	463	687
161	467	686
162	470	683
163	474	682
164	478	681
165	481	679
166	484	675
167	488	673
168	491	671
169	495	670
170	499	668
171	503	666
172	507	665
173	511	664
174	516	663
175	519	661
176	522	658
177	526	657
178	531	656
179	534	653
180	537	650
181	540	647
182	544	645
183	547	643
184	553	642
185	557	641
186	560	638
187	564	636
188	567	633
189	570	630
190	575	629
191	578	626
192	584	626
193	587	623
194	591	621
195	595	619
196	600	618
197	604	616
198	607	613
199	612	612
200	615	608
201	618	606
202	621	603
203	624	600
204	628	597
205	631	594
206	635	592
207	638	589
208	642	587
209	645	584
210	649	581
211	652	578
212	657	576
213	660	573
214	662	570
215	665	567
216	669	564
217	671	560
218	675	557
219	679	555
220	681	552
221	686	550
222	689	547
223	692	544
224	697	542
225	701	539
226	705	537
227	708	534
228	711	530
229	714	528
230	720	526
231	724	524
232	727	521
233	733	520
234	737	517
235	743	516
236	747	514
237	750	511
238	754	508
239	757	504
240	761	502
241	764	499
242	768	496
243	772	494
244	776	491
245	781	489
246	786	487
247	791	485
248	796	483
249	800	480
250	803	477
251	808	474
252	812	472
253	816	469
254	820	466
255	824	463
256	830	461
257	834	459
258	839	456
259	842	453
260	844	449
261	849	447
262	852	443
263	855	440
264	859	437
265	862	434
266	865	431
267	869	428
268	874	425
269	879	423
270	883	420
271	887	417
272	893	415
273	897	412
274	900	409
275	904	406
276	907	403
277	910	399
278	915	396
279	918	393
280	922	390
281	926	387
282	929	384
283	933	381
284	937	378
285	941	375
286	945	372
287	948	368
288	953	366
289	956	362
290	960	359
291	964	356
292	969	354
293	974	351
294	979	348
295	982	345
296	989	343
297	993	340
298	998	337
299	1002	334
300	1005	330
301	1009	327
302	1014	324
303	1019	321
304	1022	318
305	1025	315
306	1029	311
307	1032	308
308	1035	304
309	1040	301
310	1043	298
311	1047	295
312	1051	292
313	1054	288
314	1059	285
315	1063	282
316	1068	279
317	1073	276
318	1078	273
319	1082	270
320	1086	267
321	1090	264
322	1094	260
323	1097	257
324	1100	253
325	1103	250
326	1107	247
327	1111	243
328	1114	240
329	1119	237
330	1122	234
331	1127	231
332	1131	227
333	1135	224
334	1140	221
335	1144	217
336	1147	214
337	1150	211
338	1154	207
339	1159	204
340	1163	201
341	1166	197
342	1170	194
343	1174	191
344	1179	188
345	1183	184
346	1186	181
347	1190	177
348	1193	174
349	1196	170
350	1200	167
351	1204	164
352	1209	161
353	1213	157
354	1216	154
355	1220	150
356	1224	147
357	1228	144
358	1231	140
359	1234	137
360	1238	133
361	1241	130
362	1244	126
363	1248	123
364	1252	120
365	1255	116
366	1260	113
367	1263	109
368	1267	106
369	1272	103
370	1277	99
371	1280	96
372	1283	92
373	1288	89
374	1290	86
375	1295	82
376	1298	79
377	1301	75
378	1307	72
379	1310	68
380	1314	65
381	1317	62
382	1320	58
383	1324	55
384	1328	51
385	1332	48
386	1336	44
387	1341	41
388	1345	38
389	1349	34
390	1355	31
391	1358	27
392	1362	24
393	1367	20
394	1372	17
395	1379	13
396	1384	10
397	1389	6
398	1395	3
399	1400	0
