Day,Real_Consumption_kWh,Predicted_Consumption_kWh,Difference,Absolute_Error,Percent_Error
2024-11-18,1206.7169,998.5448,-208.1721,208.1721,17.2511
2024-11-19,944.2947,951.9816,7.6869,7.6869,0.814
2024-11-20,1016.0901,1326.8805,310.7904,310.7904,30.5869
2024-11-21,1118.3892,1020.8515,-97.5377,97.5377,8.7213
2024-11-22,768.7133,944.0767,175.3634,175.3634,22.8126
2024-11-23,348.0894,365.1975,17.1081,17.1081,4.9148
2024-11-24,293.325,290.5733,-2.7517,2.7517,0.9381
2024-11-25,923.2886,721.3222,-201.9664,201.9664,21.8747
2024-11-26,905.2524,929.7085,24.4561,24.4561,2.7016
2024-11-27,814.9508,934.8924,119.9416,119.9416,14.7177
2024-11-28,1335.2158,1266.3008,-68.915,68.915,5.1613
2024-11-29,742.3467,825.5963,83.2496,83.2496,11.2144
2024-11-30,393.5808,468.858,75.2772,75.2772,19.1262
2024-12-01,368.3537,352.6011,-15.7526,15.7526,4.2765
2024-12-02,915.8816,904.824,-11.0576,11.0576,1.2073
2024-12-03,1120.5897,983.7811,-136.8086,136.8086,12.2086
2024-12-04,678.4578,912.8959,234.4381,234.4381,34.5546
2024-12-05,1035.524,1034.7441,-0.7799,0.7799,0.0753
2024-12-06,856.3145,754.5091,-101.8054,101.8054,11.8888
2024-12-07,319.8302,358.9651,39.1349,39.1349,12.2361
2024-12-08,328.7243,373.7436,45.0193,45.0193,13.6951
2024-12-09,924.243,907.4661,-16.7769,16.7769,1.8152
2024-12-10,1180.5228,954.411,-226.1118,226.1118,19.1535
2024-12-11,810.2838,970.8701,160.5863,160.5863,19.8185
2024-12-12,1219.2748,1316.8891,97.6143,97.6143,8.0059
2024-12-13,717.577,778.35,60.773,60.773,8.4692
2024-12-14,358.0162,426.583,68.5668,68.5668,19.1519
2024-12-15,362.1113,335.8097,-26.3016,26.3016,7.2634
2024-12-16,1025.3995,915.896,-109.5035,109.5035,10.6791
2024-12-17,810.3747,802.6996,-7.6751,7.6751,0.9471
2024-12-18,1228.7978,1365.1891,136.3913,136.3913,11.0996
2024-12-19,835.1688,813.5526,-21.6162,21.6162,2.5882
2024-12-20,651.1477,964.4174,313.2697,313.2697,48.1104
2024-12-21,328.9504,307.3537,-21.5967,21.5967,6.5653
2024-12-22,330.5713,324.8876,-5.6837,5.6837,1.7194
2024-12-23,903.6585,888.7642,-14.8943,14.8943,1.6482
2024-12-24,564.9819,707.8361,142.8542,142.8542,25.2847
2024-12-25,335.9132,412.4041,76.4909,76.4909,22.771
2024-12-26,622.4065,612.7239,-9.6826,9.6826,1.5557
2024-12-27,548.4743,514.2148,-34.2595,34.2595,6.2463
2024-12-28,358.7075,283.878,-74.8295,74.8295,20.8609
2024-12-29,361.4138,317.4575,-43.9563,43.9563,12.1623
2024-12-30,832.4219,898.6905,66.2686,66.2686,7.9609
2024-12-31,469.1589,668.5614,199.4025,199.4025,42.5021
2025-01-01,351.6834,513.9339,162.2505,162.2505,46.1354
2025-01-02,1074.7764,765.2556,-309.5208,309.5208,28.7986
2025-01-03,777.4578,634.4776,-142.9802,142.9802,18.3907
2025-01-04,365.6119,414.838,49.2261,49.2261,13.464
2025-01-05,340.1714,364.1592,23.9878,23.9878,7.0517
2025-01-06,922.7058,914.1715,-8.5343,8.5343,0.9249
2025-01-07,861.3492,836.0686,-25.2806,25.2806,2.935
2025-01-08,956.8169,1055.4393,98.6224,98.6224,10.3073
2025-01-09,1243.1227,1019.1723,-223.9504,223.9504,18.0151
2025-01-10,1418.3359,1447.8546,29.5187,29.5187,2.0812
2025-01-11,405.0141,493.4775,88.4634,88.4634,21.842
2025-01-12,401.826,597.3342,195.5082,195.5082,48.6549
2025-01-13,1013.0612,1009.6462,-3.415,3.415,0.3371
2025-01-14,1322.9364,1056.2097,-266.7267,266.7267,20.1617
2025-01-15,1032.8015,1006.8065,-25.995,25.995,2.5169
2025-01-16,1036.7992,1241.9327,205.1335,205.1335,19.7853
2025-01-17,1275.1537,1223.5314,-51.6223,51.6223,4.0483
2025-01-18,413.4885,437.5357,24.0472,24.0472,5.8157
2025-01-19,396.0135,557.7716,161.7581,161.7581,40.8466
2025-01-20,1114.0321,1082.9415,-31.0906,31.0906,2.7908
2025-01-21,1098.8912,945.7164,-153.1748,153.1748,13.939
2025-01-22,953.7814,1153.1576,199.3762,199.3762,20.9038
2025-01-23,1161.1239,1237.0675,75.9436,75.9436,6.5405
2025-01-24,711.8209,913.5717,201.7508,201.7508,28.3429
2025-01-25,378.4498,433.5428,55.093,55.093,14.5576
2025-01-26,414.2303,397.6778,-16.5525,16.5525,3.996
2025-01-27,1141.8606,1060.3697,-81.4909,81.4909,7.1367
2025-01-28,1117.4394,1066.9522,-50.4872,50.4872,4.5181
2025-01-29,1036.2172,1304.2223,268.0051,268.0051,25.8638
2025-01-30,959.2931,1138.6104,179.3173,179.3173,18.6926
2025-01-31,980.027,1247.0572,267.0302,267.0302,27.2472
2025-02-01,384.0876,396.0994,12.0118,12.0118,3.1273
2025-02-02,382.814,461.2421,78.4281,78.4281,20.4873
2025-02-03,1089.0018,1080.1763,-8.8255,8.8255,0.8104
2025-02-04,1193.2678,1072.0066,-121.2612,121.2612,10.1621
2025-02-05,892.1995,1115.8891,223.6896,223.6896,25.0717
2025-02-06,1030.5385,1222.8405,192.302,192.302,18.6603
2025-02-07,813.761,882.4476,68.6866,68.6866,8.4406
2025-02-08,365.0024,382.6649,17.6625,17.6625,4.839
2025-02-09,363.8366,391.556,27.7194,27.7194,7.6186
2025-02-10,1089.0754,1109.4738,20.3984,20.3984,1.873
2025-02-11,1121.8273,1030.8711,-90.9562,90.9562,8.1079
2025-02-12,795.4853,1079.4119,283.9266,283.9266,35.6922
2025-02-13,1460.6576,1618.8038,158.1462,158.1462,10.8271
2025-02-14,770.9813,854.064,83.0827,83.0827,10.7762
2025-02-15,388.546,533.1835,144.6375,144.6375,37.2253
2025-02-16,412.1156,398.285,-13.8306,13.8306,3.356
2025-02-17,1101.3619,1100.7671,-0.5948,0.5948,0.054
2025-02-18,1337.5922,1212.9233,-124.6689,124.6689,9.3204
2025-02-19,656.0797,982.1548,326.0751,326.0751,49.7005
