Day,Real_Consumption_kWh,Predicted_Consumption_kWh,Difference,Absolute_Error,Percent_Error
2024-11-18,820.9917,647.3175,-173.6742,173.6742,21.1542
2024-11-19,610.7048,574.3597,-36.3451,36.3451,5.9513
2024-11-20,604.5313,822.5169,217.9856,217.9856,36.0586
2024-11-21,657.7677,599.2188,-58.5489,58.5489,8.9012
2024-11-22,397.8483,493.2174,95.3691,95.3691,23.9712
2024-11-23,119.2142,164.4383,45.2241,45.2241,37.9352
2024-11-24,118.361,121.8254,3.4644,3.4644,2.927
2024-11-25,572.9049,430.9377,-141.9672,141.9672,24.7802
2024-11-26,550.8029,541.0794,-9.7235,9.7235,1.7653
2024-11-27,439.1455,548.5064,109.3609,109.3609,24.9031
2024-11-28,849.4416,737.0348,-112.4068,112.4068,13.233
2024-11-29,390.1882,407.902,17.7138,17.7138,4.5398
2024-11-30,127.582,244.9634,117.3814,117.3814,92.0047
2024-12-01,145.8891,142.6517,-3.2374,3.2374,2.2191
2024-12-02,535.5666,509.5396,-26.027,26.027,4.8597
2024-12-03,705.5924,579.9606,-125.6318,125.6318,17.8051
2024-12-04,306.6052,462.308,155.7028,155.7028,50.7828
2024-12-05,656.3477,713.2367,56.889,56.889,8.6675
2024-12-06,537.4183,393.8835,-143.5348,143.5348,26.7082
2024-12-07,135.7181,170.1954,34.4773,34.4773,25.4036
2024-12-08,134.8763,165.9657,31.0894,31.0894,23.0503
2024-12-09,540.7687,499.8747,-40.894,40.894,7.5622
2024-12-10,788.531,641.5654,-146.9656,146.9656,18.6379
2024-12-11,438.09,525.4448,87.3548,87.3548,19.9399
2024-12-12,771.9012,903.6337,131.7325,131.7325,17.066
2024-12-13,349.9432,371.9568,22.0136,22.0136,6.2906
2024-12-14,123.0269,190.0601,67.0332,67.0332,54.4866
2024-12-15,139.5511,123.0213,-16.5298,16.5298,11.845
2024-12-16,656.1913,543.1584,-113.0329,113.0329,17.2256
2024-12-17,434.2292,442.2775,8.0483,8.0483,1.8535
2024-12-18,840.6946,799.4846,-41.21,41.21,4.9019
