Day,Real_Consumption_kWh,Predicted_Consumption_kWh,Difference,Absolute_Error,Percent_Error
2025-01-10,591.3063,605.7055,14.3992,14.3992,2.4352
2025-01-11,284.6174,316.4936,31.8762,31.8762,11.1997
2025-01-12,283.1821,286.3177,3.1356,3.1356,1.1073
2025-01-13,464.709,500.6342,35.9252,35.9252,7.7307
2025-01-14,507.3363,503.3226,-4.0137,4.0137,0.7911
2025-01-15,453.9778,473.948,19.9702,19.9702,4.3989
2025-01-16,467.7416,562.4025,94.6609,94.6609,20.2379
2025-01-17,470.5318,541.3312,70.7994,70.7994,15.0467
2025-01-18,292.9552,284.0434,-8.9118,8.9118,3.042
2025-01-19,278.4963,283.7416,5.2453,5.2453,1.8834
2025-01-20,493.1908,515.1089,21.9181,21.9181,4.4441
2025-01-21,502.9907,537.2474,34.2567,34.2567,6.8106
2025-01-22,441.835,522.1339,80.2989,80.2989,18.1739
2025-01-23,487.2011,506.6704,19.4693,19.4693,3.9961
2025-01-24,401.2707,453.1849,51.9142,51.9142,12.9374
2025-01-25,254.2798,238.9315,-15.3483,15.3483,6.036
2025-01-26,273.3697,241.9069,-31.4628,31.4628,11.5092
2025-01-27,419.9616,427.2871,7.3255,7.3255,1.7443
2025-01-28,437.6335,463.1473,25.5138,25.5138,5.83
2025-01-29,420.5182,458.2148,37.6966,37.6966,8.9643
2025-01-30,428.9423,466.3504,37.4081,37.4081,8.721
2025-01-31,416.5512,463.1252,46.574,46.574,11.1809
2025-02-01,262.1271,242.7069,-19.4202,19.4202,7.4087
2025-02-02,262.7291,247.5426,-15.1865,15.1865,5.7803
2025-02-03,442.2303,480.9151,38.6848,38.6848,8.7477
2025-02-04,480.8199,487.7825,6.9626,6.9626,1.4481
2025-02-05,420.3728,486.2956,65.9228,65.9228,15.682
2025-02-06,456.8499,472.6076,15.7577,15.7577,3.4492
2025-02-07,419.8483,464.7724,44.9241,44.9241,10.7001
2025-02-08,243.9502,218.1543,-25.7959,25.7959,10.5742
2025-02-09,244.8653,234.5496,-10.3157,10.3157,4.2128
2025-02-10,467.6733,482.0198,14.3465,14.3465,3.0676
2025-02-11,471.1327,489.4207,18.288,18.288,3.8817
2025-02-12,401.4137,492.0848,90.6711,90.6711,22.5879
2025-02-13,560.9027,545.7855,-15.1172,15.1172,2.6952
2025-02-14,420.8569,497.4475,76.5906,76.5906,18.1987
2025-02-15,265.337,261.9288,-3.4082,3.4082,1.2845
2025-02-16,268.2997,249.9906,-18.3091,18.3091,6.8241
2025-02-17,459.1989,509.0464,49.8475,49.8475,10.8553
2025-02-18,458.2189,515.4531,57.2342,57.2342,12.4906
2025-02-19,227.1525,395.0902,167.9377,167.9377,73.9317
