Day,Real_Consumption_kWh,Predicted_Consumption_kWh,Difference,Absolute_Error,Percent_Error
2024-11-18,820.9917,459.9349,-361.0568,361.0568,43.9781
2024-11-19,610.7048,636.9077,26.2029,26.2029,4.2906
2024-11-20,604.5313,723.696,119.1647,119.1647,19.7119
2024-11-21,657.7677,577.3529,-80.4148,80.4148,12.2254
2024-11-22,397.8483,497.7398,99.8915,99.8915,25.1079
2024-11-23,119.2142,157.55,38.3358,38.3358,32.1571
2024-11-24,118.361,123.3224,4.9614,4.9614,4.1917
2024-11-25,572.9049,466.4326,-106.4723,106.4723,18.5846
2024-11-26,550.8029,487.1459,-63.657,63.657,11.5571
2024-11-27,439.1455,476.1587,37.0132,37.0132,8.4285
2024-11-28,849.4416,700.3118,-149.1298,149.1298,17.5562
2024-11-29,390.1882,457.9041,67.7159,67.7159,17.3547
2024-11-30,127.582,185.2547,57.6727,57.6727,45.2044
2024-12-01,145.8891,147.0255,1.1364,1.1364,0.779
2024-12-02,535.5666,460.8544,-74.7122,74.7122,13.9501
2024-12-03,705.5924,555.8153,-149.7771,149.7771,21.2271
2024-12-04,306.6052,478.4381,171.8329,171.8329,56.0437
2024-12-05,656.3477,544.0756,-112.2721,112.2721,17.1056
2024-12-06,537.4183,390.906,-146.5123,146.5123,27.2623
2024-12-07,135.7181,166.429,30.7109,30.7109,22.6284
2024-12-08,134.8763,172.5366,37.6603,37.6603,27.9221
2024-12-09,540.7687,482.8742,-57.8945,57.8945,10.706
2024-12-10,788.531,592.3532,-196.1778,196.1778,24.8789
2024-12-11,438.09,468.2865,30.1965,30.1965,6.8928
2024-12-12,771.9012,665.1247,-106.7765,106.7765,13.8329
2024-12-13,349.9432,477.02,127.0768,127.0768,36.3136
2024-12-14,123.0269,170.5894,47.5625,47.5625,38.6603
2024-12-15,139.5511,123.6784,-15.8727,15.8727,11.3741
2024-12-16,656.1913,474.3004,-181.8909,181.8909,27.7192
2024-12-17,434.2292,526.4826,92.2534,92.2534,21.2453
2024-12-18,840.6946,760.4417,-80.2529,80.2529,9.546
2024-12-19,462.6693,515.1986,52.5293,52.5293,11.3535
2024-12-20,318.4419,456.5791,138.1372,138.1372,43.3791
2024-12-21,127.617,124.7357,-2.8813,2.8813,2.2578
2024-12-22,118.6055,122.3791,3.7736,3.7736,3.1816
2024-12-23,525.9037,452.6674,-73.2363,73.2363,13.9258
2024-12-24,252.2024,351.1842,98.9818,98.9818,39.247
2024-12-25,118.5658,168.2384,49.6726,49.6726,41.8945
2024-12-26,309.3709,227.5774,-81.7935,81.7935,26.4387
2024-12-27,235.7292,196.3745,-39.3547,39.3547,16.6949
2024-12-28,119.0051,102.0345,-16.9706,16.9706,14.2604
2024-12-29,117.7741,107.4092,-10.3649,10.3649,8.8006
2024-12-30,436.0687,453.8861,17.8174,17.8174,4.0859
2024-12-31,162.9533,312.5973,149.644,149.644,91.8325
2025-01-01,119.0348,149.9056,30.8708,30.8708,25.9343
2025-01-02,654.6657,309.5109,-345.1548,345.1548,52.7223
2025-01-03,395.3404,330.6016,-64.7388,64.7388,16.3755
2025-01-04,118.0118,194.5067,76.4949,76.4949,64.8197
2025-01-05,116.2913,154.6919,38.4006,38.4006,33.021
2025-01-06,545.0028,484.7285,-60.2743,60.2743,11.0595
2025-01-07,458.2969,378.1616,-80.1353,80.1353,17.4855
2025-01-08,551.8397,471.1914,-80.6483,80.6483,14.6145
2025-01-09,732.0564,632.3,-99.7564,99.7564,13.6269
2025-01-10,827.0296,865.8468,38.8172,38.8172,4.6936
2025-01-11,120.3967,226.1094,105.7127,105.7127,87.8036
2025-01-12,118.6439,192.4579,73.814,73.814,62.2148
2025-01-13,548.3522,479.0809,-69.2713,69.2713,12.6326
2025-01-14,815.6001,523.7399,-291.8602,291.8602,35.7847
2025-01-15,578.8237,568.9639,-9.8598,9.8598,1.7034
2025-01-16,569.0576,663.2149,94.1573,94.1573,16.5462
2025-01-17,804.6219,608.5858,-196.0361,196.0361,24.3638
2025-01-18,120.5333,148.2026,27.6693,27.6693,22.9557
2025-01-19,117.5172,158.4283,40.9111,40.9111,34.8129
2025-01-20,620.8413,489.8606,-130.9807,130.9807,21.0973
2025-01-21,595.9005,545.41,-50.4905,50.4905,8.473
2025-01-22,511.9464,524.6691,12.7227,12.7227,2.4852
2025-01-23,673.9228,495.1557,-178.7671,178.7671,26.5263
2025-01-24,310.5502,481.4726,170.9224,170.9224,55.0386
2025-01-25,124.17,134.2025,10.0325,10.0325,8.0797
2025-01-26,140.8606,107.7838,-33.0768,33.0768,23.482
2025-01-27,721.899,514.6625,-207.2365,207.2365,28.7071
2025-01-28,679.8059,588.6766,-91.1293,91.1293,13.4052
2025-01-29,615.699,665.7305,50.0315,50.0315,8.126
2025-01-30,530.3508,612.4222,82.0714,82.0714,15.4749
2025-01-31,563.4758,482.1604,-81.3154,81.3154,14.431
2025-02-01,121.9605,157.6439,35.6834,35.6834,29.2582
2025-02-02,120.0849,173.0948,53.0099,53.0099,44.1437
2025-02-03,646.7715,563.7306,-83.0409,83.0409,12.8393
2025-02-04,712.4479,576.4127,-136.0352,136.0352,19.0941
2025-02-05,471.8267,558.4447,86.618,86.618,18.358
2025-02-06,573.6886,529.7879,-43.9007,43.9007,7.6524
2025-02-07,393.9127,464.0865,70.1738,70.1738,17.8146
2025-02-08,121.0522,139.4704,18.4182,18.4182,15.2151
2025-02-09,118.9713,124.8656,5.8943,5.8943,4.9544
2025-02-10,621.4021,529.3309,-92.0712,92.0712,14.8167
2025-02-11,650.6946,576.0096,-74.685,74.685,11.4777
