iter	RMSE
0	21.0616815
1	20.34250676
2	19.66850055
3	19.01282236
4	18.41194691
5	17.86227288
6	17.36046184
7	16.87748641
8	16.36010451
9	15.93427925
10	15.49014221
11	15.06320974
12	14.66933071
13	14.33230278
14	14.02856995
15	13.72296099
16	13.41140157
17	13.13995498
18	12.88461135
19	12.65160347
20	12.42564225
21	12.20680124
22	12.01401897
23	11.82420301
24	11.65182048
25	11.48629789
26	11.320784
27	11.15929978
28	11.01141492
29	10.90057491
30	10.75351287
31	10.62193255
32	10.5070678
33	10.39492559
34	10.29393164
35	10.19358326
36	10.11741668
37	10.0457465
38	9.96704845
39	9.88562363
40	9.809826048
41	9.74082478
42	9.680933088
43	9.630243738
44	9.564195083
45	9.506460283
46	9.454796631
47	9.412732216
48	9.364390276
49	9.325686332
50	9.281955206
51	9.245015895
52	9.209836924
53	9.173407659
54	9.135090075
55	9.09171031
56	9.059659536
57	9.033551448
58	9.002619786
59	8.963858964
60	8.934432279
61	8.905472954
62	8.8802015
63	8.855737343
64	8.834899452
65	8.81409207
66	8.791593377
67	8.771896366
68	8.755971693
69	8.737398397
70	8.725123654
71	8.705823986
72	8.680374874
73	8.67121694
74	8.64838688
75	8.632451851
76	8.62078245
77	8.602794619
78	8.58948498
79	8.575917191
80	8.560482765
81	8.553258136
82	8.53727301
83	8.527834939
84	8.514851483
85	8.500076944
86	8.490053324
87	8.479805851
88	8.470363867
89	8.455007828
90	8.448413305
91	8.440012566
92	8.430562578
93	8.424159928
94	8.411929247
95	8.403810463
96	8.392620895
97	8.384861057
98	8.377924689
99	8.364063399
100	8.35791813
101	8.351280134
102	8.344842142
103	8.338727133
104	8.335174767
105	8.324213572
106	8.313223594
107	8.307481362
108	8.296851281
109	8.289814041
110	8.281997696
111	8.274460751
112	8.264648198
113	8.255664949
114	8.249833511
115	8.242980079
116	8.23657969
117	8.228607739
118	8.217018482
119	8.20657979
120	8.198627567
121	8.190632433
122	8.18337968
123	8.178216576
124	8.171464436
125	8.165440692
126	8.159165081
127	8.155302757
128	8.144832659
129	8.138074316
130	8.131042286
131	8.126487872
132	8.120758985
133	8.115599467
134	8.105595602
135	8.101532472
136	8.096900815
137	8.092070573
138	8.08756468
139	8.079217861
140	8.075122518
141	8.067131815
142	8.061364732
143	8.053575167
144	8.04797306
145	8.041828304
146	8.037035513
147	8.031965608
148	8.027217899
149	8.0237495
150	8.017874663
151	8.011951178
152	8.009205058
153	8.001277126
154	7.997808914
155	7.992481335
156	7.98473194
157	7.977743805
158	7.97684351
159	7.970304585
160	7.965625133
161	7.962166662
162	7.952234001
163	7.949568363
164	7.94683989
165	7.941240581
166	7.940006209
167	7.932595438
168	7.930223116
169	7.925812326
170	7.920793218
171	7.917812096
172	7.914644761
173	7.910713264
174	7.906216738
175	7.902112788
176	7.898515029
177	7.896459517
178	7.893021292
179	7.88843341
180	7.883218699
181	7.880172424
182	7.875112607
183	7.871504946
184	7.865954504
185	7.864415862
186	7.858288984
187	7.852967037
188	7.849357552
189	7.845903597
190	7.843662238
191	7.841504045
192	7.836747106
193	7.833990652
194	7.831971028
195	7.82825305
196	7.826109343
197	7.823343005
198	7.821779707
199	7.814514132
200	7.811530854
201	7.809857071
202	7.808006009
203	7.803331323
204	7.798463013
205	7.795507095
206	7.793431805
207	7.792174408
208	7.787354444
209	7.781836287
210	7.779179898
211	7.775085953
212	7.771903077
213	7.768257204
214	7.764443739
215	7.76153761
216	7.757702327
217	7.754272721
218	7.748423707
219	7.746868865
220	7.745635117
221	7.744540904
222	7.740506781
223	7.738130928
224	7.736718408
225	7.735705082
226	7.732062694
227	7.723635215
228	7.718331873
229	7.716055045
230	7.711823118
231	7.705474911
232	7.704430576
233	7.699991057
234	7.695377941
235	7.692215941
236	7.688785417
237	7.685137811
238	7.683911041
239	7.681777064
240	7.680487639
241	7.67753884
242	7.675678646
243	7.668779876
244	7.664806768
245	7.660965
246	7.658255636
247	7.654768963
248	7.652339805
249	7.648672842
250	7.644919777
251	7.644068992
252	7.641542742
253	7.639261073
254	7.636231312
255	7.633689522
256	7.630961446
257	7.625812639
258	7.621147751
259	7.618407452
260	7.615694163
261	7.614900381
262	7.610339758
263	7.608012203
264	7.605432977
265	7.603604705
266	7.602901617
267	7.599619816
268	7.596424005
269	7.595702977
270	7.592377851
271	7.58887846
272	7.584648275
273	7.579575585
274	7.57618327
275	7.574670129
276	7.573977424
277	7.573313631
278	7.569606557
279	7.567617753
280	7.564918816
281	7.561820193
282	7.55848721
283	7.553664425
284	7.551566113
285	7.549332197
286	7.54679005
287	7.544473044
288	7.542162459
289	7.537687734
290	7.533692043
291	7.529384512
292	7.526534623
293	7.524657453
294	7.520913897
295	7.517214107
296	7.51282208
297	7.510033091
298	7.50738214
299	7.503991877
300	7.503384608
301	7.500727334
302	7.498659342
303	7.495006395
