iter	Passed	Remaining
0	1	4571
1	2	4076
2	4	4342
3	5	4141
4	6	3980
5	7	3608
6	8	3658
7	9	3719
8	11	3821
9	12	3804
10	14	3896
11	15	3830
12	16	3888
13	18	3899
14	18	3780
15	19	3692
16	20	3613
17	21	3641
18	22	3568
19	24	3615
20	25	3657
21	27	3689
22	28	3693
23	30	3727
24	30	3629
25	32	3663
26	33	3701
27	34	3699
28	36	3694
29	37	3724
30	39	3771
31	40	3769
32	41	3702
33	41	3634
34	42	3635
35	44	3694
36	46	3712
37	47	3716
38	48	3685
39	49	3655
40	51	3701
41	52	3724
42	54	3752
43	54	3690
44	57	3769
45	59	3807
46	60	3825
47	63	3898
48	65	3933
49	67	3962
50	68	3982
51	70	3985
52	71	3957
53	72	3979
54	74	3999
55	76	4003
56	77	4010
57	79	4014
58	80	3999
59	81	3976
60	82	3992
61	83	3960
62	84	3962
63	85	3921
64	86	3925
65	87	3902
66	88	3870
67	89	3879
68	91	3873
69	91	3843
70	93	3864
71	95	3872
72	95	3835
73	97	3836
74	98	3847
75	99	3826
76	100	3812
77	100	3778
78	102	3780
79	103	3761
80	103	3733
81	104	3727
82	105	3717
83	107	3721
84	108	3721
85	110	3730
86	111	3739
87	112	3715
88	113	3705
89	114	3712
90	115	3692
91	116	3689
92	118	3697
93	119	3701
94	121	3714
95	123	3722
96	123	3707
97	124	3699
98	126	3707
99	127	3710
100	128	3692
101	129	3671
102	130	3666
103	132	3678
104	132	3658
105	134	3668
106	135	3674
107	136	3651
108	137	3652
109	139	3658
110	140	3661
111	142	3669
112	143	3674
113	144	3652
114	145	3658
115	147	3669
116	148	3649
117	149	3640
118	150	3644
119	151	3646
120	153	3646
121	153	3628
122	155	3625
123	156	3629
124	157	3633
125	159	3638
126	160	3630
127	160	3611
128	162	3615
129	163	3609
130	165	3614
131	165	3599
132	166	3598
133	168	3603
134	169	3600
135	170	3592
136	170	3572
137	172	3574
138	173	3574
139	175	3581
140	176	3569
141	176	3556
142	177	3541
143	178	3544
144	179	3539
145	181	3541
146	182	3544
147	183	3544
148	184	3538
149	186	3543
150	188	3547
151	189	3548
152	189	3534
153	190	3524
154	191	3524
155	192	3515
156	193	3507
157	195	3511
158	196	3514
159	198	3519
160	198	3508
161	200	3512
162	201	3502
163	201	3492
164	202	3479
165	203	3481
166	205	3486
167	206	3475
168	207	3481
169	209	3481
170	210	3479
171	211	3484
172	213	3483
173	213	3472
174	215	3474
175	216	3478
176	218	3483
177	219	3482
178	220	3472
179	221	3472
180	223	3482
181	224	3475
182	225	3478
183	227	3480
184	228	3481
185	230	3486
186	231	3487
187	233	3490
188	234	3490
189	236	3494
190	237	3499
191	239	3505
192	240	3504
193	241	3491
194	242	3490
195	243	3488
196	245	3490
197	246	3482
198	247	3486
199	249	3491
200	250	3491
201	252	3495
202	253	3486
203	253	3474
204	254	3476
205	256	3478
206	257	3480
207	259	3487
208	261	3486
209	261	3476
210	263	3476
211	264	3478
212	266	3482
213	267	3484
