Feature,Correlation
consumption_lag_7d,0.8231493912538947
is_weekend,0.7563529992365123
rolling_avg_3d,0.656976385727216
day_of_week_sin,0.6302011672129474
consumption_lag_1d,0.4733910432198344
temperature_2m_mean,0.4089588706611426
cumulative_ev_phev_count,0.4045127069141387
temp_mean_rolling_3d,0.38875313131490086
is_winter,0.3577052371082422
temp_mean_lag_1d,0.3569007381117978
is_summer,0.2680727435916172
weekofyear,0.26780858945339103
is_terugkomdag,0.1884839912735547
is_festive,0.1713978859894834
rolling_std_3d,0.1070302138125512
day_of_week_cos,0.05826815388387613
dayofmonth,0.028130017981828247
