Day,Real_Consumption_kWh,Predicted_Consumption_kWh,Difference,Absolute_Error,Percent_Error
2024-11-18,820.9917,598.9731,-222.0186,222.0186,27.0427
2024-11-19,610.7048,602.9014,-7.8034,7.8034,1.2778
2024-11-20,604.5313,773.7833,169.252,169.252,27.9972
2024-11-21,657.7677,621.3227,-36.445,36.445,5.5407
2024-11-22,397.8483,469.2896,71.4413,71.4413,17.9569
2024-11-23,119.2142,150.5319,31.3177,31.3177,26.2701
2024-11-24,118.361,106.9828,-11.3782,11.3782,9.6131
2024-11-25,572.9049,414.1395,-158.7654,158.7654,27.7124
2024-11-26,550.8029,544.6532,-6.1497,6.1497,1.1165
2024-11-27,439.1455,528.6774,89.5319,89.5319,20.3877
2024-11-28,849.4416,719.8081,-129.6335,129.6335,15.261
2024-11-29,390.1882,389.3048,-0.8834,0.8834,0.2264
2024-11-30,127.582,216.1308,88.5488,88.5488,69.4054
2024-12-01,145.8891,138.8664,-7.0227,7.0227,4.8138
2024-12-02,535.5666,514.9041,-20.6625,20.6625,3.8581
2024-12-03,705.5924,598.8037,-106.7887,106.7887,15.1346
2024-12-04,306.6052,472.8837,166.2785,166.2785,54.2321
2024-12-05,656.3477,749.7827,93.435,93.435,14.2356
2024-12-06,537.4183,387.9723,-149.446,149.446,27.8081
2024-12-07,135.7181,164.6576,28.9395,28.9395,21.3232
2024-12-08,134.8763,156.8512,21.9749,21.9749,16.2926
2024-12-09,540.7687,496.6868,-44.0819,44.0819,8.1517
2024-12-10,788.531,653.5018,-135.0292,135.0292,17.1241
2024-12-11,438.09,510.8716,72.7816,72.7816,16.6134
2024-12-12,771.9012,918.4254,146.5242,146.5242,18.9822
2024-12-13,349.9432,373.0558,23.1126,23.1126,6.6047
2024-12-14,123.0269,175.0134,51.9865,51.9865,42.2562
2024-12-15,139.5511,109.2665,-30.2846,30.2846,21.7014
2024-12-16,656.1913,510.0111,-146.1802,146.1802,22.2771
2024-12-17,434.2292,455.6556,21.4264,21.4264,4.9344
2024-12-18,840.6946,739.0296,-101.665,101.665,12.093
2024-12-19,462.6693,473.0705,10.4012,10.4012,2.2481
2024-12-20,318.4419,537.8085,219.3666,219.3666,68.8875
2024-12-21,127.617,106.8815,-20.7355,20.7355,16.2482
2024-12-22,118.6055,101.8742,-16.7313,16.7313,14.1067
2024-12-23,525.9037,460.6235,-65.2802,65.2802,12.4129
2024-12-24,252.2024,317.9057,65.7033,65.7033,26.0518
2024-12-25,118.5658,186.5564,67.9906,67.9906,57.3442
2024-12-26,309.3709,293.7237,-15.6472,15.6472,5.0578
2024-12-27,235.7292,187.6419,-48.0873,48.0873,20.3994
2024-12-28,119.0051,74.7644,-44.2407,44.2407,37.1754
2024-12-29,117.7741,88.1251,-29.649,29.649,25.1745
2024-12-30,436.0687,424.7164,-11.3523,11.3523,2.6033
2024-12-31,162.9533,239.531,76.5777,76.5777,46.9937
2025-01-01,119.0348,202.7325,83.6977,83.6977,70.3137
2025-01-02,654.6657,374.4773,-280.1884,280.1884,42.7987
2025-01-03,395.3404,278.6475,-116.6929,116.6929,29.5171
2025-01-04,118.0118,166.2788,48.267,48.267,40.9002
2025-01-05,116.2913,122.9733,6.682,6.682,5.7459
2025-01-06,545.0028,460.7582,-84.2446,84.2446,15.4576
2025-01-07,458.2969,372.5822,-85.7147,85.7147,18.7029
2025-01-08,551.8397,477.7167,-74.123,74.123,13.432
2025-01-09,732.0564,545.6486,-186.4078,186.4078,25.4636
2025-01-10,827.0296,646.6942,-180.3354,180.3354,21.8052
2025-01-11,120.3967,198.5111,78.1144,78.1144,64.8809
2025-01-12,118.6439,230.9342,112.2903,112.2903,94.6448
2025-01-13,548.3522,458.6542,-89.698,89.698,16.3577
2025-01-14,815.6001,548.056,-267.5441,267.5441,32.8033
2025-01-15,578.8237,502.3161,-76.5076,76.5076,13.2178
2025-01-16,569.0576,761.6544,192.5968,192.5968,33.8449
2025-01-17,804.6219,726.2195,-78.4024,78.4024,9.744
2025-01-18,120.5333,152.677,32.1437,32.1437,26.6679
2025-01-19,117.5172,221.3129,103.7957,103.7957,88.3238
2025-01-20,620.8413,503.4056,-117.4357,117.4357,18.9156
2025-01-21,595.9005,488.7583,-107.1422,107.1422,17.9799
2025-01-22,511.9464,594.5667,82.6203,82.6203,16.1385
2025-01-23,673.9228,688.7409,14.8181,14.8181,2.1988
