Feature,Correlation
is_weekend,0.8049829620033986
consumption_lag_7d,0.8010629768349417
consumption_lag_14d,0.7648186199671934
consumption_lag_21d,0.7507841610853588
day_of_week_sin,0.6788860393992167
rolling_avg_3d,0.6069075101497915
consumption_lag_1d,0.39182411178602583
consumption_lag_365d,0.3569204955994897
temperature_2m_mean,0.23266008120721626
is_festive,0.22648485162825757
temp_mean_rolling_3d,0.22293365599075549
temp_mean_lag_1d,0.19853731543033976
is_summer,0.196824881035975
is_winter,0.1699483443833533
consumption_lag_30d,0.1461838673012408
rolling_std_3d,0.13850240689593848
weekofyear,0.06767614145699141
day_of_week_cos,0.06523830904835409
dayofmonth,0.005958496098285837
