Day,Real_Consumption_kWh,Predicted_Consumption_kWh,Difference,Absolute_Error,Percent_Error
2024-11-18,1206.7169,985.1948,-221.5221,221.5221,18.3574
2024-11-19,944.2947,946.3394,2.0447,2.0447,0.2165
2024-11-20,1016.0901,884.0341,-132.056,132.056,12.9965
2024-11-21,1118.3892,908.045,-210.3442,210.3442,18.8078
2024-11-22,768.7133,878.7701,110.0568,110.0568,14.317
2024-11-23,348.0894,411.0586,62.9692,62.9692,18.0899
2024-11-24,293.325,303.4555,10.1305,10.1305,3.4537
2024-11-25,923.2886,849.6818,-73.6068,73.6068,7.9722
2024-11-26,905.2524,967.7316,62.4792,62.4792,6.9019
2024-11-27,814.9508,827.5806,12.6298,12.6298,1.5498
2024-11-28,1335.2158,961.9121,-373.3037,373.3037,27.9583
2024-11-29,742.3467,937.0386,194.6919,194.6919,26.2265
2024-11-30,393.5808,491.8776,98.2968,98.2968,24.975
2024-12-01,368.3537,339.4784,-28.8753,28.8753,7.839
2024-12-02,915.8816,960.0109,44.1293,44.1293,4.8182
2024-12-03,1120.5897,1004.307,-116.2827,116.2827,10.3769
2024-12-04,678.4578,805.232,126.7741,126.7741,18.6856
2024-12-05,1035.524,885.3741,-150.1499,150.1499,14.4999
2024-12-06,856.3145,806.7882,-49.5264,49.5264,5.7837
2024-12-07,319.8302,330.5335,10.7033,10.7033,3.3466
2024-12-08,328.7243,301.4703,-27.254,27.254,8.2908
2024-12-09,924.243,914.4954,-9.7476,9.7476,1.0547
2024-12-10,1180.5228,1026.949,-153.5738,153.5738,13.009
2024-12-11,810.2838,824.6869,14.4031,14.4031,1.7775
2024-12-12,1219.2748,837.486,-381.7888,381.7888,31.3128
2024-12-13,717.577,761.9444,44.3673,44.3673,6.1829
2024-12-14,358.0162,405.5477,47.5315,47.5315,13.2764
2024-12-15,362.1113,325.6338,-36.4774,36.4774,10.0735
2024-12-16,1025.3995,1010.7716,-14.6279,14.6279,1.4266
2024-12-17,810.3747,833.0182,22.6435,22.6435,2.7942
2024-12-18,1228.7978,785.03,-443.7678,443.7678,36.114
2024-12-19,835.1688,790.2484,-44.9203,44.9203,5.3786
