Day,Real_Consumption_kWh,Predicted_Consumption_kWh,Difference,Absolute_Error,Percent_Error
2024-11-18,820.9917,534.8686,-286.1231,286.1231,34.8509
2024-11-19,610.7048,492.8591,-117.8457,117.8457,19.2967
2024-11-20,604.5313,712.2526,107.7213,107.7213,17.819
2024-11-21,657.7677,604.2994,-53.4683,53.4683,8.1287
2024-11-22,397.8483,426.1255,28.2772,28.2772,7.1075
2024-11-23,119.2142,151.5989,32.3847,32.3847,27.1652
2024-11-24,118.361,116.4965,-1.8645,1.8645,1.5753
2024-11-25,572.9049,491.0515,-81.8534,81.8534,14.2874
2024-11-26,550.8029,476.1321,-74.6708,74.6708,13.5567
2024-11-27,439.1455,522.0696,82.9241,82.9241,18.8831
2024-11-28,849.4416,869.1344,19.6928,19.6928,2.3183
2024-11-29,390.1882,369.7189,-20.4693,20.4693,5.246
2024-11-30,127.582,205.9137,78.3317,78.3317,61.3971
2024-12-01,145.8891,159.073,13.1839,13.1839,9.0369
2024-12-02,535.5666,473.0804,-62.4862,62.4862,11.6673
2024-12-03,705.5924,529.924,-175.6684,175.6684,24.8966
2024-12-04,306.6052,420.4312,113.826,113.826,37.1246
2024-12-05,656.3477,757.1958,100.8481,100.8481,15.365
2024-12-06,537.4183,355.7624,-181.6559,181.6559,33.8016
2024-12-07,135.7181,163.0928,27.3747,27.3747,20.1703
2024-12-08,134.8763,175.3527,40.4764,40.4764,30.01
2024-12-09,540.7687,503.6105,-37.1582,37.1582,6.8714
2024-12-10,788.531,632.7698,-155.7612,155.7612,19.7533
2024-12-11,438.09,486.1031,48.0131,48.0131,10.9597
2024-12-12,771.9012,777.4786,5.5774,5.5774,0.7226
2024-12-13,349.9432,366.1469,16.2037,16.2037,4.6304
2024-12-14,123.0269,173.3366,50.3097,50.3097,40.8932
2024-12-15,139.5511,115.0562,-24.4949,24.4949,17.5527
2024-12-16,656.1913,496.9823,-159.209,159.209,24.2626
2024-12-17,434.2292,458.5262,24.297,24.297,5.5954
