Feature,Correlation
consumption_lag_7d,0.7899456840983393
consumption_lag_14d,0.7708015820470692
consumption_lag_21d,0.751554436633024
consumption_lag_1d,0.5607719089143827
consumption_lag_365d,0.49405258535169394
is_weekend,0.43101923289909794
day_of_week_sin,0.3589912419532943
rolling_avg_3d,0.3067672274681407
is_summer,0.21861156220612069
consumption_lag_30d,0.20387151314920213
is_winter,0.20280546961263562
weekofyear,0.14675358116448217
is_festive,0.11266062381107743
is_terugkomdag,0.10173588925788354
rolling_std_3d,0.05311406560308208
day_of_week_cos,0.05242340821009948
dayofmonth,0.005083225853418522
hour_of_day,0.0030546607164985166
