Hour,Real_Consumption_kWh,Predicted_Consumption_kWh,Difference,Absolute_Error,Percent_Error
2024-11-19 07:00:00,15.4853,16.7831,1.2978,1.2978,8.3809
2024-11-19 08:00:00,17.0682,22.979,5.9108,5.9108,34.6307
2024-11-19 09:00:00,12.4617,23.3149,10.8532,10.8532,87.0925
2024-11-19 10:00:00,15.6052,24.0374,8.4322,8.4322,54.0347
2024-11-19 11:00:00,21.0071,26.5287,5.5216,5.5216,26.2843
2024-11-19 12:00:00,20.5772,30.8624,10.2852,10.2852,49.9832
2024-11-19 13:00:00,21.9528,29.4973,7.5445,7.5445,34.367
2024-11-19 14:00:00,20.2836,29.1011,8.8175,8.8175,43.4711
2024-11-19 15:00:00,19.6683,26.1297,6.4614,6.4614,32.8517
2024-11-19 16:00:00,19.7142,23.2285,3.5143,3.5143,17.8265
2024-11-19 17:00:00,18.1353,21.752,3.6167,3.6167,19.9429
2024-11-19 18:00:00,16.8286,17.1403,0.3117,0.3117,1.852
2024-11-19 19:00:00,13.7771,15.4322,1.6551,1.6551,12.0135
2024-11-19 20:00:00,10.5274,14.5662,4.0388,4.0388,38.3645
2024-11-19 21:00:00,10.0225,14.1105,4.088,4.088,40.7881
2024-11-19 22:00:00,9.9388,13.3917,3.4529,3.4529,34.7413
2024-11-19 23:00:00,9.5876,13.355,3.7674,3.7674,39.2942
2024-11-20 00:00:00,9.8016,13.8006,3.999,3.999,40.7993
2024-11-20 01:00:00,9.7524,13.7323,3.9799,3.9799,40.8097
2024-11-20 02:00:00,9.8217,13.747,3.9253,3.9253,39.966
2024-11-20 03:00:00,9.7488,13.8169,4.0681,4.0681,41.7297
2024-11-20 04:00:00,9.8514,13.7665,3.9151,3.9151,39.7417
2024-11-20 05:00:00,10.8358,13.9878,3.152,3.152,29.0891
2024-11-20 06:00:00,12.2984,16.2269,3.9285,3.9285,31.9433
2024-11-20 07:00:00,17.6305,20.7975,3.167,3.167,17.9632
2024-11-20 08:00:00,26.9787,27.4317,0.453,0.453,1.6792
2024-11-20 09:00:00,28.4119,31.3083,2.8964,2.8964,10.1942
2024-11-20 10:00:00,33.822,31.4508,-2.3712,2.3712,7.0108
2024-11-20 11:00:00,29.2867,32.3174,3.0307,3.0307,10.3485
2024-11-20 12:00:00,25.6999,33.4464,7.7465,7.7465,30.142
2024-11-20 13:00:00,26.1598,35.3911,9.2313,9.2313,35.2882
2024-11-20 14:00:00,22.6599,34.5936,11.9337,11.9337,52.6646
2024-11-20 15:00:00,19.7623,34.0581,14.2958,14.2958,72.3388
2024-11-20 16:00:00,19.1965,31.2433,12.0468,12.0468,62.7553
2024-11-20 17:00:00,16.7513,28.4326,11.6813,11.6813,69.7336
2024-11-20 18:00:00,16.2879,25.4052,9.1173,9.1173,55.976
2024-11-20 19:00:00,13.6526,22.2022,8.5496,8.5496,62.6228
2024-11-20 20:00:00,11.4037,20.8104,9.4067,9.4067,82.4882
2024-11-20 21:00:00,11.1267,20.6926,9.5659,9.5659,85.9722
2024-11-20 22:00:00,10.1821,20.1683,9.9862,9.9862,98.0756
2024-11-20 23:00:00,10.4362,20.0695,9.6333,9.6333,92.3067
2024-11-21 00:00:00,10.9059,20.7393,9.8334,9.8334,90.1657
2024-11-21 01:00:00,10.4129,20.4745,10.0616,10.0616,96.6264
2024-11-21 02:00:00,10.4759,20.5099,10.034,10.034,95.7817
