Day,Real_Consumption_kWh,Predicted_Consumption_kWh,Difference,Absolute_Error,Percent_Error
2024-09-07,123.7807,150.101,26.3203,26.3203,21.2637
2024-09-08,173.5399,140.4006,-33.1393,33.1393,19.096
2024-09-09,684.2652,514.882,-169.3832,169.3832,24.754
2024-09-10,532.6724,649.5872,116.9148,116.9148,21.9487
2024-09-11,568.7939,526.6055,-42.1884,42.1884,7.4172
2024-09-12,688.4925,536.6211,-151.8714,151.8714,22.0585
2024-09-13,393.2328,503.1142,109.8814,109.8814,27.9431
2024-09-14,172.167,153.8071,-18.3599,18.3599,10.664
2024-09-15,149.524,148.9975,-0.5265,0.5265,0.3521
2024-09-16,1000.7679,500.915,-499.8529,499.8529,49.9469
2024-09-17,505.9787,678.6105,172.6318,172.6318,34.1184
2024-09-18,522.4903,525.5393,3.049,3.049,0.5836
2024-09-19,514.1215,527.3485,13.227,13.227,2.5727
2024-09-20,366.1113,509.0968,142.9855,142.9855,39.0552
2024-09-21,141.278,159.6441,18.3661,18.3661,13.0
2024-09-22,207.9222,157.4402,-50.482,50.482,24.2793
2024-09-23,665.6993,484.5639,-181.1354,181.1354,27.2098
2024-09-24,744.2352,646.7029,-97.5323,97.5323,13.105
2024-09-25,699.3169,543.8471,-155.4698,155.4698,22.2317
2024-09-26,573.2885,549.6456,-23.6429,23.6429,4.1241
2024-09-27,590.4326,517.3847,-73.0479,73.0479,12.3719
2024-09-28,331.9783,172.0053,-159.973,159.973,48.1878
2024-09-29,208.8391,167.2069,-41.6322,41.6322,19.935
2024-09-30,809.0249,515.2591,-293.7658,293.7658,36.3111
2024-10-01,748.7435,623.7901,-124.9534,124.9534,16.6884
2024-10-02,644.3945,528.8788,-115.5157,115.5157,17.9262
2024-10-03,791.4648,537.9957,-253.4691,253.4691,32.0253
2024-10-04,464.5271,513.5633,49.0362,49.0362,10.5561
2024-10-05,219.3809,169.9677,-49.4132,49.4132,22.5239
2024-10-06,190.5316,171.7215,-18.8101,18.8101,9.8724
2024-10-07,746.574,505.9245,-240.6495,240.6495,32.2338
2024-10-08,914.7444,610.5776,-304.1668,304.1668,33.2516
2024-10-09,888.19,542.6726,-345.5174,345.5174,38.9013
2024-10-10,611.9316,530.7544,-81.1772,81.1772,13.2657
2024-10-11,518.4888,514.7531,-3.7357,3.7357,0.7205
2024-10-12,292.0026,179.8677,-112.1349,112.1349,38.402
2024-10-13,249.814,179.8984,-69.9156,69.9156,27.9871
2024-10-14,988.7168,516.7826,-471.9342,471.9342,47.732
2024-10-15,655.9771,603.0464,-52.9307,52.9307,8.069
2024-10-16,806.4274,506.2816,-300.1458,300.1458,37.2192
2024-10-17,923.3819,537.603,-385.7789,385.7789,41.7789
2024-10-18,510.4787,529.0193,18.5406,18.5406,3.632
2024-10-19,227.9235,182.1901,-45.7334,45.7334,20.0652
2024-10-20,218.0137,182.0235,-35.9902,35.9902,16.5082
2024-10-21,886.6625,497.2449,-389.4176,389.4176,43.9195
2024-10-22,995.3064,613.2722,-382.0342,382.0342,38.3836
2024-10-23,704.5457,531.1138,-173.4319,173.4319,24.6161
2024-10-24,815.9362,502.6916,-313.2446,313.2446,38.3908
2024-10-25,739.2184,523.4771,-215.7413,215.7413,29.1851
2024-10-26,213.5402,193.5217,-20.0185,20.0185,9.3746
2024-10-27,227.5471,187.3406,-40.2065,40.2065,17.6695
2024-10-28,831.4377,506.8896,-324.5481,324.5481,39.0346
2024-10-29,855.2031,570.983,-284.2201,284.2201,33.2342
2024-10-30,734.4653,529.5836,-204.8817,204.8817,27.8954
2024-10-31,720.0727,509.5542,-210.5185,210.5185,29.2357
2024-11-01,310.5956,315.8237,5.2281,5.2281,1.6833
2024-11-02,291.9662,187.7585,-104.2077,104.2077,35.6917
2024-11-03,265.7999,192.8367,-72.9632,72.9632,27.4504
2024-11-04,926.3045,513.9561,-412.3484,412.3484,44.5154
2024-11-05,1134.5927,583.1038,-551.4889,551.4889,48.6068
2024-11-06,707.4714,541.5898,-165.8816,165.8816,23.4471
2024-11-07,877.7563,512.2348,-365.5215,365.5215,41.6427
2024-11-08,823.3522,542.6834,-280.6688,280.6688,34.0885
2024-11-09,320.4322,200.018,-120.4142,120.4142,37.5787
2024-11-10,288.9328,195.6768,-93.256,93.256,32.276
2024-11-11,282.0888,321.2717,39.1829,39.1829,13.8903
2024-11-12,1158.8211,513.6964,-645.1247,645.1247,55.6708
2024-11-13,691.5455,542.9854,-148.5601,148.5601,21.4823
2024-11-14,893.4854,495.2365,-398.2489,398.2489,44.5725
2024-11-15,717.4003,500.1674,-217.2329,217.2329,30.2806
2024-11-16,290.0442,199.0591,-90.9851,90.9851,31.3694
2024-11-17,281.3388,197.0781,-84.2607,84.2607,29.9499
2024-11-18,1101.8582,560.7723,-541.0859,541.0859,49.1067
2024-11-19,902.6763,554.5395,-348.1368,348.1368,38.5672
2024-11-20,929.2602,526.5453,-402.7149,402.7149,43.3371
2024-11-21,1039.754,503.662,-536.092,536.092,51.5595
2024-11-22,707.1684,515.4313,-191.7371,191.7371,27.1134
2024-11-23,336.984,201.8798,-135.1042,135.1042,40.0922
2024-11-24,273.8944,200.8271,-73.0673,73.0673,26.6772
2024-11-25,861.7097,491.3616,-370.3481,370.3481,42.9783
2024-11-26,867.1015,556.3476,-310.7539,310.7539,35.8382
2024-11-27,751.8752,502.5255,-249.3497,249.3497,33.1637
2024-11-28,1243.498,479.0056,-764.4924,764.4924,61.4792
2024-11-29,691.6433,526.2283,-165.415,165.415,23.9162
2024-11-30,374.9509,201.5272,-173.4237,173.4237,46.2524
2024-12-01,342.465,197.9463,-144.5187,144.5187,42.1996
2024-12-02,846.5442,498.8449,-347.6993,347.6993,41.0728
2024-12-03,1034.4583,537.6889,-496.7694,496.7694,48.0222
2024-12-04,643.921,509.2289,-134.6921,134.6921,20.9175
2024-12-05,953.4823,442.2331,-511.2492,511.2492,53.6192
2024-12-06,804.0869,494.6609,-309.426,309.426,38.4817
2024-12-07,307.7453,198.1778,-109.5675,109.5675,35.6033
2024-12-08,323.8593,195.5764,-128.2829,128.2829,39.6107
2024-12-09,841.4525,497.4219,-344.0306,344.0306,40.8853
2024-12-10,1106.9622,518.2037,-588.7585,588.7585,53.1869
2024-12-11,765.4174,519.187,-246.2304,246.2304,32.1694
2024-12-12,1123.3262,465.9658,-657.3604,657.3604,58.5191
2024-12-13,683.0671,492.9909,-190.0762,190.0762,27.8269
2024-12-14,349.746,198.4534,-151.2926,151.2926,43.2578
2024-12-15,348.2041,198.302,-149.9021,149.9021,43.0501
2024-12-16,935.0598,497.3154,-437.7444,437.7444,46.8146
2024-12-17,739.9518,512.6658,-227.286,227.286,30.7163
2024-12-18,1137.4666,485.9542,-651.5124,651.5124,57.2775
2024-12-19,764.2409,469.3121,-294.9288,294.9288,38.5911
2024-12-20,609.2099,480.4238,-128.7861,128.7861,21.1399
2024-12-21,323.9116,195.9021,-128.0095,128.0095,39.5199
2024-12-22,316.9069,197.6829,-119.224,119.224,37.6211
2024-12-23,837.3546,486.2319,-351.1227,351.1227,41.9324
2024-12-24,555.2398,532.3074,-22.9324,22.9324,4.1302
2024-12-25,329.3572,281.2823,-48.0749,48.0749,14.5966
2024-12-26,597.861,450.4908,-147.3702,147.3702,24.6496
2024-12-27,539.9805,474.6216,-65.3589,65.3589,12.1039
2024-12-28,343.2405,195.4623,-147.7782,147.7782,43.0538
2024-12-29,354.134,199.7084,-154.4256,154.4256,43.6066
2024-12-30,755.6954,493.5665,-262.1289,262.1289,34.6871
2024-12-31,462.1548,538.0639,75.9091,75.9091,16.425
2025-01-01,348.5335,315.369,-33.1645,33.1645,9.5154
2025-01-02,981.4626,460.0447,-521.4179,521.4179,53.1266
2025-01-03,721.0132,498.0567,-222.9565,222.9565,30.9227
2025-01-04,349.8918,199.1602,-150.7316,150.7316,43.0795
2025-01-05,336.9947,198.8791,-138.1156,138.1156,40.9845
2025-01-06,853.9688,496.5269,-357.4419,357.4419,41.8566
2025-01-07,818.1451,546.9856,-271.1595,271.1595,33.1432
2025-01-08,902.7157,513.6172,-389.0985,389.0985,43.1031
2025-01-09,1152.2974,457.031,-695.2664,695.2664,60.3374
2025-01-10,1284.1213,490.4129,-793.7084,793.7084,61.8095
2025-01-11,392.381,212.545,-179.836,179.836,45.832
2025-01-12,390.1492,200.505,-189.6442,189.6442,48.6081
2025-01-13,914.5072,489.1307,-425.3765,425.3765,46.5143
2025-01-14,1206.3632,515.9175,-690.4457,690.4457,57.2337
2025-01-15,954.8469,487.9827,-466.8642,466.8642,48.8941
2025-01-16,956.9783,443.9585,-513.0198,513.0198,53.6083
2025-01-17,1179.1778,436.0901,-743.0877,743.0877,63.0174
2025-01-18,407.7097,208.1247,-199.585,199.585,48.9527
2025-01-19,389.2374,198.9175,-190.3199,190.3199,48.8956
2025-01-20,1031.129,481.6688,-549.4602,549.4602,53.2872
2025-01-21,992.979,487.1641,-505.8149,505.8149,50.9391
2025-01-22,908.2467,469.3048,-438.9419,438.9419,48.3285
2025-01-23,1050.6946,452.0731,-598.6215,598.6215,56.9739
2025-01-24,678.9752,445.2841,-233.6911,233.6911,34.4182
2025-01-25,367.2872,195.1686,-172.1186,172.1186,46.8621
2025-01-26,387.6149,197.6596,-189.9553,189.9553,49.0062
2025-01-27,1041.9148,469.9519,-571.9629,571.9629,54.8954
2025-01-28,1058.4958,500.0836,-558.4122,558.4122,52.7553
2025-01-29,970.1651,472.9139,-497.2512,497.2512,51.2543
2025-01-30,880.8431,445.0166,-435.8265,435.8265,49.4783
2025-01-31,912.456,469.9616,-442.4944,442.4944,48.4949
2025-02-01,346.4734,201.4329,-145.0405,145.0405,41.8619
2025-02-02,343.1193,196.7371,-146.3822,146.3822,42.6622
2025-02-03,994.4988,463.9394,-530.5594,530.5594,53.3494
2025-02-04,1123.2467,488.0397,-635.207,635.207,56.551
2025-02-05,857.1851,468.3245,-388.8606,388.8606,45.3648
2025-02-06,933.0165,447.9482,-485.0683,485.0683,51.9893
2025-02-07,754.5138,452.4635,-302.0503,302.0503,40.0324
2025-02-08,331.3619,197.6615,-133.7004,133.7004,40.3487
2025-02-09,341.658,197.2395,-144.4185,144.4185,42.2699
2025-02-10,1001.9805,464.3881,-537.5924,537.5924,53.653
2025-02-11,1071.6223,479.3016,-592.3207,592.3207,55.2733
2025-02-12,770.3069,470.6244,-299.6825,299.6825,38.9043
2025-02-13,1338.8567,436.5099,-902.3468,902.3468,67.3968
2025-02-14,709.5821,482.1784,-227.4037,227.4037,32.0475
2025-02-15,352.5995,196.2832,-156.3163,156.3163,44.3325
2025-02-16,355.897,197.0405,-158.8565,158.8565,44.6355
2025-02-17,963.6415,461.5276,-502.1139,502.1139,52.1059
2025-02-18,1209.7616,477.0708,-732.6908,732.6908,60.5649
2025-02-19,618.9992,481.031,-137.9682,137.9682,22.2889
