Feature,Correlation
consumption_lag_7d,0.7833947136257121
is_weekend,0.7624381463724873
consumption_lag_14d,0.7543786320607309
consumption_lag_21d,0.7324652406115133
day_of_week_sin,0.6352160950934805
rolling_avg_3d,0.6226965753432149
consumption_lag_1d,0.43250644958535966
is_summer,0.3827690251074705
consumption_lag_365d,0.3298633186929301
is_winter,0.24213919948770724
is_festive,0.17892822479445608
consumption_lag_30d,0.08409460757818411
day_of_week_cos,0.08124753581572583
rolling_std_3d,0.043151443767010904
