Day,Real_Consumption_kWh,Predicted_Consumption_kWh,Difference,Absolute_Error,Percent_Error
2024-11-17,281.3388,283.2825,1.9437,1.9437,0.6909
2024-11-18,1101.8582,924.4279,-177.4303,177.4303,16.1028
2024-11-19,902.6763,945.9911,43.3148,43.3148,4.7985
2024-11-20,929.2602,1433.4418,504.1816,504.1816,54.2562
2024-11-21,1039.754,1063.9307,24.1767,24.1767,2.3252
2024-11-22,707.1684,918.5822,211.4138,211.4138,29.8958
2024-11-23,336.984,344.1583,7.1743,7.1743,2.129
2024-11-24,273.8944,298.4296,24.5352,24.5352,8.9579
2024-11-25,861.7097,748.9641,-112.7456,112.7456,13.0839
2024-11-26,867.1015,876.1741,9.0726,9.0726,1.0463
2024-11-27,751.8752,958.6265,206.7513,206.7513,27.4981
2024-11-28,1243.498,1008.3447,-235.1533,235.1533,18.9106
2024-11-29,691.6433,709.48,17.8367,17.8367,2.5789
2024-11-30,374.9509,388.1365,13.1856,13.1856,3.5166
2024-12-01,342.465,291.0102,-51.4548,51.4548,15.0248
2024-12-02,846.5442,917.3788,70.8346,70.8346,8.3675
2024-12-03,1034.4583,1004.4225,-30.0358,30.0358,2.9035
2024-12-04,643.921,851.3492,207.4282,207.4282,32.2133
2024-12-05,953.4823,930.0684,-23.4139,23.4139,2.4556
2024-12-06,804.0869,716.8848,-87.2021,87.2021,10.8449
2024-12-07,307.7453,309.4967,1.7514,1.7514,0.5691
2024-12-08,323.8593,326.9645,3.1052,3.1052,0.9588
2024-12-09,841.4525,776.9393,-64.5132,64.5132,7.6669
2024-12-10,1106.9622,1005.708,-101.2542,101.2542,9.147
2024-12-11,765.4174,834.6289,69.2115,69.2115,9.0423
2024-12-12,1123.3262,1244.0528,120.7266,120.7266,10.7472
2024-12-13,683.0671,711.1079,28.0408,28.0408,4.1051
2024-12-14,349.746,358.6521,8.9061,8.9061,2.5464
2024-12-15,348.2041,315.4108,-32.7933,32.7933,9.4178
2024-12-16,935.0598,882.822,-52.2378,52.2378,5.5866
2024-12-17,739.9518,788.0095,48.0577,48.0577,6.4947
2024-12-18,1137.4666,1345.4787,208.0121,208.0121,18.2873
2024-12-19,764.2409,619.6851,-144.5558,144.5558,18.915
2024-12-20,609.2099,898.9669,289.757,289.757,47.5628
2024-12-21,323.9116,275.082,-48.8296,48.8296,15.075
2024-12-22,316.9069,285.0324,-31.8745,31.8745,10.058
2024-12-23,837.3546,811.2052,-26.1494,26.1494,3.1229
2024-12-24,555.2398,658.266,103.0262,103.0262,18.5553
2024-12-25,329.3572,348.515,19.1578,19.1578,5.8167
2024-12-26,597.861,419.4677,-178.3933,178.3933,29.8386
2024-12-27,539.9805,404.5379,-135.4426,135.4426,25.0829
2024-12-28,343.2405,263.4112,-79.8293,79.8293,23.2575
2024-12-29,354.134,289.3668,-64.7672,64.7672,18.2889
2024-12-30,755.6954,826.5914,70.896,70.896,9.3816
2024-12-31,462.1548,622.1988,160.044,160.044,34.63
2025-01-01,348.5335,355.1147,6.5812,6.5812,1.8883
2025-01-02,981.4626,492.5787,-488.8839,488.8839,49.8118
2025-01-03,721.0132,468.228,-252.7852,252.7852,35.0597
2025-01-04,349.8918,326.4574,-23.4344,23.4344,6.6976
2025-01-05,336.9947,320.3224,-16.6723,16.6723,4.9474
2025-01-06,853.9688,855.0219,1.0531,1.0531,0.1233
2025-01-07,818.1451,811.0565,-7.0886,7.0886,0.8664
2025-01-08,902.7157,1050.7811,148.0654,148.0654,16.4022
2025-01-09,1152.2974,1013.2987,-138.9987,138.9987,12.0627
2025-01-10,1284.1213,1479.1045,194.9832,194.9832,15.1842
2025-01-11,392.381,417.4807,25.0997,25.0997,6.3968
2025-01-12,390.1492,469.3573,79.2081,79.2081,20.302
2025-01-13,914.5072,952.7848,38.2776,38.2776,4.1856
2025-01-14,1206.3632,1098.5973,-107.7659,107.7659,8.9331
2025-01-15,954.8469,1234.5805,279.7336,279.7336,29.2962
2025-01-16,956.9783,1195.6336,238.6553,238.6553,24.9384
2025-01-17,1179.1778,1456.185,277.0072,277.0072,23.4916
2025-01-18,407.7097,338.0701,-69.6396,69.6396,17.0807
2025-01-19,389.2374,431.5002,42.2628,42.2628,10.8579
2025-01-20,1031.129,1033.3512,2.2222,2.2222,0.2155
2025-01-21,992.979,946.6936,-46.2854,46.2854,4.6613
2025-01-22,908.2467,1334.4943,426.2476,426.2476,46.9308
2025-01-23,1050.6946,1057.3886,6.694,6.694,0.6371
2025-01-24,678.9752,772.5637,93.5885,93.5885,13.7838
2025-01-25,367.2872,315.7525,-51.5347,51.5347,14.0312
2025-01-26,387.6149,315.4393,-72.1756,72.1756,18.6204
2025-01-27,1041.9148,984.8475,-57.0673,57.0673,5.4772
2025-01-28,1058.4958,983.7109,-74.7849,74.7849,7.0652
2025-01-29,970.1651,1377.5996,407.4345,407.4345,41.9964
2025-01-30,880.8431,914.5538,33.7107,33.7107,3.8271
2025-01-31,912.456,1045.4827,133.0267,133.0267,14.579
2025-02-01,346.4734,307.7712,-38.7022,38.7022,11.1703
2025-02-02,343.1193,352.5514,9.4321,9.4321,2.7489
2025-02-03,994.4988,927.8037,-66.6951,66.6951,6.7064
2025-02-04,1123.2467,912.2596,-210.9871,210.9871,18.7837
2025-02-05,857.1851,1148.7723,291.5872,291.5872,34.0168
2025-02-06,933.0165,1061.5176,128.5011,128.5011,13.7726
2025-02-07,754.5138,866.4738,111.96,111.96,14.8387
2025-02-08,331.3619,317.4257,-13.9362,13.9362,4.2057
2025-02-09,341.658,359.9489,18.2909,18.2909,5.3536
2025-02-10,1001.9805,918.8766,-83.1039,83.1039,8.294
2025-02-11,1071.6223,894.4223,-177.2,177.2,16.5357
2025-02-12,770.3069,1073.5098,303.2029,303.2029,39.3613
2025-02-13,1338.8567,1398.8444,59.9877,59.9877,4.4805
2025-02-14,709.5821,794.124,84.5419,84.5419,11.9143
2025-02-15,352.5995,401.0646,48.4651,48.4651,13.7451
2025-02-16,355.897,350.469,-5.428,5.428,1.5251
2025-02-17,963.6415,925.4605,-38.181,38.181,3.9622
2025-02-18,1209.7616,985.4503,-224.3113,224.3113,18.5418
2025-02-19,618.9992,868.3392,249.34,249.34,40.2811
