Day,Real_Consumption_kWh,Predicted_Consumption_kWh,Difference,Absolute_Error,Percent_Error
2025-01-10,591.3063,605.8466,14.5403,14.5403,2.459
2025-01-11,284.6174,266.0377,-18.5797,18.5797,6.528
2025-01-12,283.1821,307.8293,24.6472,24.6472,8.7036
2025-01-13,464.709,482.4491,17.7401,17.7401,3.8175
2025-01-14,507.3363,471.6511,-35.6852,35.6852,7.0338
2025-01-15,453.9778,428.8438,-25.134,25.134,5.5364
2025-01-16,467.7416,528.8898,61.1482,61.1482,13.0731
2025-01-17,470.5318,513.9887,43.4569,43.4569,9.2357
2025-01-18,292.9552,255.646,-37.3092,37.3092,12.7355
2025-01-19,278.4963,274.9306,-3.5657,3.5657,1.2803
2025-01-20,493.1908,488.7312,-4.4596,4.4596,0.9042
2025-01-21,502.9907,447.3561,-55.6346,55.6346,11.0608
2025-01-22,441.835,458.9775,17.1425,17.1425,3.8798
2025-01-23,487.2011,515.8455,28.6444,28.6444,5.8794
2025-01-24,401.2707,423.8107,22.54,22.54,5.6172
2025-01-25,254.2798,222.0099,-32.2699,32.2699,12.6907
2025-01-26,273.3697,244.4887,-28.881,28.881,10.5648
2025-01-27,419.9616,410.1801,-9.7815,9.7815,2.3292
2025-01-28,437.6335,407.1656,-30.4679,30.4679,6.962
2025-01-29,420.5182,429.6992,9.181,9.181,2.1833
2025-01-30,428.9423,463.6979,34.7556,34.7556,8.1026
2025-01-31,416.5512,467.5424,50.9912,50.9912,12.2413
2025-02-01,262.1271,226.9712,-35.1559,35.1559,13.4118
2025-02-02,262.7291,253.5274,-9.2017,9.2017,3.5024
2025-02-03,442.2303,477.3762,35.1459,35.1459,7.9474
2025-02-04,480.8199,450.4923,-30.3276,30.3276,6.3075
2025-02-05,420.3728,454.3915,34.0187,34.0187,8.0925
2025-02-06,456.8499,504.0772,47.2273,47.2273,10.3376
2025-02-07,419.8483,459.6607,39.8124,39.8124,9.4826
2025-02-08,243.9502,206.1228,-37.8274,37.8274,15.5062
2025-02-09,244.8653,237.653,-7.2123,7.2123,2.9454
2025-02-10,467.6733,483.3872,15.7139,15.7139,3.36
2025-02-11,471.1327,433.2935,-37.8392,37.8392,8.0315
2025-02-12,401.4137,466.0519,64.6382,64.6382,16.1026
2025-02-13,560.9027,577.1949,16.2922,16.2922,2.9046
2025-02-14,420.8569,431.7377,10.8808,10.8808,2.5854
2025-02-15,265.337,249.8306,-15.5064,15.5064,5.844
2025-02-16,268.2997,251.1686,-17.1311,17.1311,6.3851
2025-02-17,459.1989,487.2722,28.0733,28.0733,6.1135
2025-02-18,458.2189,450.6147,-7.6042,7.6042,1.6595
2025-02-19,227.1525,346.197,119.0445,119.0445,52.4073
