Feature,Correlation
consumption_lag_7d,0.828853038882292
is_weekend,0.8171279537954881
consumption_lag_14d,0.7929076677670188
consumption_lag_21d,0.7783792075154509
day_of_week_sin,0.6869273463706776
rolling_avg_3d,0.5806271144625236
consumption_lag_1d,0.3651215196534491
consumption_lag_365d,0.3304799007945381
consumption_lag_30d,0.23269586394971345
is_festive,0.22573559681510758
is_summer,0.22200215794178166
is_winter,0.18340181441949552
rolling_std_3d,0.09341955653021865
day_of_week_cos,0.06830510151356077
