Day,Real_Consumption_kWh,Predicted_Consumption_kWh,Difference,Absolute_Error,Percent_Error
2024-11-18,1206.7169,1007.8743,-198.8426,198.8426,16.478
2024-11-19,944.2947,952.4241,8.1294,8.1294,0.8609
2024-11-20,1016.0901,1098.1887,82.0986,82.0986,8.0799
2024-11-21,1118.3892,930.5601,-187.8291,187.8291,16.7946
2024-11-22,768.7133,872.482,103.7687,103.7687,13.499
2024-11-23,348.0894,388.3753,40.2859,40.2859,11.5734
2024-11-24,293.325,334.7957,41.4707,41.4707,14.1381
2024-11-25,923.2886,842.3408,-80.9478,80.9478,8.7673
2024-11-26,905.2524,891.5952,-13.6572,13.6572,1.5087
2024-11-27,814.9508,886.5072,71.5564,71.5564,8.7805
2024-11-28,1335.2158,1037.9217,-297.2941,297.2941,22.2656
2024-11-29,742.3467,801.5086,59.1619,59.1619,7.9696
2024-11-30,393.5808,462.3612,68.7804,68.7804,17.4755
2024-12-01,368.3537,384.1658,15.8121,15.8121,4.2926
2024-12-02,915.8816,982.2304,66.3488,66.3488,7.2443
2024-12-03,1120.5897,986.6289,-133.9608,133.9608,11.9545
2024-12-04,678.4578,863.1009,184.6431,184.6431,27.2151
2024-12-05,1035.524,1029.9255,-5.5985,5.5985,0.5406
2024-12-06,856.3145,774.6606,-81.6539,81.6539,9.5355
2024-12-07,319.8302,370.417,50.5868,50.5868,15.8168
2024-12-08,328.7243,377.9259,49.2016,49.2016,14.9674
2024-12-09,924.243,930.3934,6.1504,6.1504,0.6655
2024-12-10,1180.5228,978.8516,-201.6712,201.6712,17.0832
2024-12-11,810.2838,954.7963,144.5125,144.5125,17.8348
2024-12-12,1219.2748,1135.3209,-83.9539,83.9539,6.8856
2024-12-13,717.577,778.5408,60.9638,60.9638,8.4958
2024-12-14,358.0162,420.8889,62.8727,62.8727,17.5614
2024-12-15,362.1113,364.1515,2.0402,2.0402,0.5634
2024-12-16,1025.3995,1007.0281,-18.3714,18.3714,1.7916
2024-12-17,810.3747,875.4275,65.0528,65.0528,8.0275
2024-12-18,1228.7978,1063.1784,-165.6194,165.6194,13.4782
2024-12-19,835.1688,843.6568,8.488,8.488,1.0163
2024-12-20,651.1477,885.3111,234.1634,234.1634,35.9616
2024-12-21,328.9504,316.5642,-12.3862,12.3862,3.7654
2024-12-22,330.5713,331.8787,1.3074,1.3074,0.3955
2024-12-23,903.6585,917.8708,14.2123,14.2123,1.5728
2024-12-24,564.9819,717.4265,152.4446,152.4446,26.9822
2024-12-25,335.9132,441.1652,105.252,105.252,31.3331
2024-12-26,622.4065,646.3206,23.9141,23.9141,3.8422
2024-12-27,548.4743,475.9114,-72.5629,72.5629,13.2299
2024-12-28,358.7075,266.4516,-92.2559,92.2559,25.719
2024-12-29,361.4138,313.3003,-48.1135,48.1135,13.3126
2024-12-30,832.4219,907.9896,75.5677,75.5677,9.0781
2024-12-31,469.1589,627.6369,158.478,158.478,33.7792
2025-01-01,351.6834,449.4983,97.8149,97.8149,27.8133
2025-01-02,1074.7764,728.448,-346.3284,346.3284,32.2233
2025-01-03,777.4578,588.5393,-188.9185,188.9185,24.2995
2025-01-04,365.6119,387.3416,21.7297,21.7297,5.9434
2025-01-05,340.1714,368.8665,28.6951,28.6951,8.4355
2025-01-06,922.7058,957.989,35.2832,35.2832,3.8239
2025-01-07,861.3492,777.5775,-83.7717,83.7717,9.7256
2025-01-08,956.8169,827.1338,-129.6831,129.6831,13.5536
2025-01-09,1243.1227,905.3596,-337.7631,337.7631,27.1705
2025-01-10,1418.3359,1032.2235,-386.1124,386.1124,27.2229
2025-01-11,405.0141,456.8124,51.7983,51.7983,12.7893
2025-01-12,401.826,559.5742,157.7482,157.7482,39.2578
2025-01-13,1013.0612,1009.5957,-3.4655,3.4655,0.3421
2025-01-14,1322.9364,973.1509,-349.7855,349.7855,26.4401
2025-01-15,1032.8015,897.2019,-135.5996,135.5996,13.1293
2025-01-16,1036.7992,1085.9084,49.1092,49.1092,4.7366
2025-01-17,1275.1537,1044.4756,-230.6781,230.6781,18.0902
2025-01-18,413.4885,424.6573,11.1688,11.1688,2.7011
2025-01-19,396.0135,532.4361,136.4226,136.4226,34.449
2025-01-20,1114.0321,1092.0641,-21.968,21.968,1.9719
2025-01-21,1098.8912,970.8443,-128.0469,128.0469,11.6524
2025-01-22,953.7814,1029.6274,75.846,75.846,7.9521
2025-01-23,1161.1239,1110.4266,-50.6973,50.6973,4.3662
2025-01-24,711.8209,958.6092,246.7883,246.7883,34.67
2025-01-25,378.4498,439.5685,61.1187,61.1187,16.1498
2025-01-26,414.2303,403.804,-10.4263,10.4263,2.517
2025-01-27,1141.8606,1089.7632,-52.0974,52.0974,4.5625
2025-01-28,1117.4394,1075.9713,-41.4681,41.4681,3.711
2025-01-29,1036.2172,1109.0775,72.8603,72.8603,7.0314
2025-01-30,959.2931,1024.4891,65.196,65.196,6.7962
2025-01-31,980.027,1078.1605,98.1335,98.1335,10.0133
2025-02-01,384.0876,384.619,0.5314,0.5314,0.1383
2025-02-02,382.814,456.1069,73.2929,73.2929,19.1458
2025-02-03,1089.0018,1082.7734,-6.2284,6.2284,0.5719
2025-02-04,1193.2678,1060.6821,-132.5857,132.5857,11.1111
2025-02-05,892.1995,1030.7399,138.5404,138.5404,15.528
2025-02-06,1030.5385,1071.9613,41.4228,41.4228,4.0195
2025-02-07,813.761,827.2876,13.5266,13.5266,1.6622
2025-02-08,365.0024,382.4675,17.4651,17.4651,4.7849
2025-02-09,363.8366,386.4958,22.6592,22.6592,6.2279
2025-02-10,1089.0754,1068.8129,-20.2625,20.2625,1.8605
2025-02-11,1121.8273,1010.2433,-111.584,111.584,9.9466
2025-02-12,795.4853,985.599,190.1137,190.1137,23.8991
2025-02-13,1460.6576,1154.69,-305.9676,305.9676,20.9472
2025-02-14,770.9813,808.6645,37.6832,37.6832,4.8877
2025-02-15,388.546,479.5561,91.0101,91.0101,23.4232
2025-02-16,412.1156,391.8277,-20.2879,20.2879,4.9229
2025-02-17,1101.3619,1082.736,-18.6259,18.6259,1.6912
2025-02-18,1337.5922,1144.8497,-192.7425,192.7425,14.4097
2025-02-19,656.0797,917.3317,261.252,261.252,39.8202
