Day,Real_Consumption_kWh,Predicted_Consumption_kWh,Difference,Absolute_Error,Percent_Error
2024-11-18,1206.7169,791.4185,-415.2984,415.2984,34.4156
2024-11-19,944.2947,1179.6874,235.3927,235.3927,24.9279
2024-11-20,1016.0901,1100.8618,84.7717,84.7717,8.3429
2024-11-21,1118.3892,1048.0519,-70.3373,70.3373,6.2892
2024-11-22,768.7133,954.6435,185.9302,185.9302,24.1872
2024-11-23,348.0894,347.2811,-0.8083,0.8083,0.2322
2024-11-24,293.325,284.4075,-8.9175,8.9175,3.0401
2024-11-25,923.2886,699.7203,-223.5683,223.5683,24.2143
2024-11-26,905.2524,968.3778,63.1254,63.1254,6.9732
2024-11-27,814.9508,934.1596,119.2088,119.2088,14.6277
2024-11-28,1335.2158,1124.4448,-210.771,210.771,15.7855
2024-11-29,742.3467,950.5276,208.1809,208.1809,28.0436
2024-11-30,393.5808,426.2705,32.6897,32.6897,8.3057
2024-12-01,368.3537,344.2953,-24.0584,24.0584,6.5313
2024-12-02,915.8816,811.3481,-104.5335,104.5335,11.4134
2024-12-03,1120.5897,971.6967,-148.893,148.893,13.287
2024-12-04,678.4578,955.4172,276.9594,276.9594,40.8219
2024-12-05,1035.524,859.8346,-175.6894,175.6894,16.9662
2024-12-06,856.3145,797.6218,-58.6927,58.6927,6.8541
2024-12-07,319.8302,383.0149,63.1847,63.1847,19.7557
2024-12-08,328.7243,352.2326,23.5083,23.5083,7.1514
2024-12-09,924.243,826.0765,-98.1665,98.1665,10.6213
2024-12-10,1180.5228,984.8093,-195.7135,195.7135,16.5785
2024-12-11,810.2838,999.066,188.7822,188.7822,23.2983
2024-12-12,1219.2748,1013.1081,-206.1667,206.1667,16.909
2024-12-13,717.577,901.5968,184.0198,184.0198,25.6446
2024-12-14,358.0162,405.099,47.0828,47.0828,13.151
2024-12-15,362.1113,319.782,-42.3293,42.3293,11.6896
2024-12-16,1025.3995,806.9893,-218.4102,218.4102,21.3
2024-12-17,810.3747,874.8831,64.5084,64.5084,7.9603
2024-12-18,1228.7978,1271.917,43.1192,43.1192,3.5091
2024-12-19,835.1688,854.8316,19.6628,19.6628,2.3544
2024-12-20,651.1477,894.0249,242.8772,242.8772,37.2999
2024-12-21,328.9504,333.515,4.5646,4.5646,1.3876
2024-12-22,330.5713,308.5788,-21.9925,21.9925,6.6529
2024-12-23,903.6585,834.939,-68.7195,68.7195,7.6046
2024-12-24,564.9819,762.0841,197.1022,197.1022,34.8865
2024-12-25,335.9132,381.2334,45.3202,45.3202,13.4916
2024-12-26,622.4065,475.0853,-147.3212,147.3212,23.6696
2024-12-27,548.4743,557.4812,9.0069,9.0069,1.6422
2024-12-28,358.7075,308.6442,-50.0633,50.0633,13.9566
2024-12-29,361.4138,323.4538,-37.96,37.96,10.5032
2024-12-30,832.4219,809.7493,-22.6726,22.6726,2.7237
2024-12-31,469.1589,727.9533,258.7944,258.7944,55.1614
2025-01-01,351.6834,384.3426,32.6592,32.6592,9.2865
2025-01-02,1074.7764,579.0623,-495.7141,495.7141,46.1225
2025-01-03,777.4578,753.1113,-24.3465,24.3465,3.1316
2025-01-04,365.6119,420.4525,54.8406,54.8406,14.9997
2025-01-05,340.1714,350.9806,10.8092,10.8092,3.1776
2025-01-06,922.7058,795.3508,-127.355,127.355,13.8023
2025-01-07,861.3492,904.6962,43.347,43.347,5.0325
2025-01-08,956.8169,1047.3789,90.562,90.562,9.4649
2025-01-09,1243.1227,984.6824,-258.4403,258.4403,20.7896
2025-01-10,1418.3359,1531.8712,113.5353,113.5353,8.0048
2025-01-11,405.0141,583.9016,178.8875,178.8875,44.1682
2025-01-12,401.826,478.9398,77.1138,77.1138,19.1908
2025-01-13,1013.0612,899.9826,-113.0786,113.0786,11.1621
2025-01-14,1322.9364,1132.4922,-190.4442,190.4442,14.3956
2025-01-15,1032.8015,1188.1422,155.3407,155.3407,15.0407
2025-01-16,1036.7992,1063.661,26.8618,26.8618,2.5908
2025-01-17,1275.1537,1226.421,-48.7327,48.7327,3.8217
2025-01-18,413.4885,522.3756,108.8871,108.8871,26.3338
2025-01-19,396.0135,462.456,66.4425,66.4425,16.7778
2025-01-20,1114.0321,941.2336,-172.7985,172.7985,15.5111
2025-01-21,1098.8912,1054.5931,-44.2981,44.2981,4.0312
2025-01-22,953.7814,1127.2101,173.4287,173.4287,18.1833
2025-01-23,1161.1239,998.5879,-162.536,162.536,13.9982
2025-01-24,711.8209,898.1527,186.3318,186.3318,26.1768
2025-01-25,378.4498,391.5663,13.1165,13.1165,3.4658
2025-01-26,414.2303,373.7265,-40.5038,40.5038,9.7781
2025-01-27,1141.8606,933.4365,-208.4241,208.4241,18.253
2025-01-28,1117.4394,1043.9432,-73.4962,73.4962,6.5772
2025-01-29,1036.2172,1215.8252,179.608,179.608,17.333
2025-01-30,959.2931,1029.2729,69.9798,69.9798,7.2949
2025-01-31,980.027,1065.6996,85.6726,85.6726,8.7419
2025-02-01,384.0876,436.8846,52.797,52.797,13.7461
2025-02-02,382.814,412.8445,30.0305,30.0305,7.8447
2025-02-03,1089.0018,927.2416,-161.7602,161.7602,14.854
2025-02-04,1193.2678,1073.8236,-119.4442,119.4442,10.0098
2025-02-05,892.1995,1106.9131,214.7136,214.7136,24.0656
2025-02-06,1030.5385,988.0128,-42.5257,42.5257,4.1266
2025-02-07,813.761,937.4273,123.6663,123.6663,15.1969
2025-02-08,365.0024,395.8141,30.8117,30.8117,8.4415
2025-02-09,363.8366,357.5081,-6.3285,6.3285,1.7394
2025-02-10,1089.0754,941.2253,-147.8501,147.8501,13.5757
2025-02-11,1121.8273,1080.0873,-41.74,41.74,3.7207
2025-02-12,795.4853,1042.8505,247.3652,247.3652,31.0961
2025-02-13,1460.6576,1287.5375,-173.1201,173.1201,11.8522
2025-02-14,770.9813,1020.8718,249.8905,249.8905,32.412
2025-02-15,388.546,473.1064,84.5604,84.5604,21.7633
2025-02-16,412.1156,372.5276,-39.588,39.588,9.606
2025-02-17,1101.3619,936.4164,-164.9455,164.9455,14.9765
2025-02-18,1337.5922,1164.0324,-173.5598,173.5598,12.9755
2025-02-19,656.0797,1046.2461,390.1664,390.1664,59.4694
