,y,yhat,weekday
2025-01-20,493.1908,459.01872806477024,0
2025-01-21,502.99070000000006,496.8737477414666,1
2025-01-22,441.83500000000015,476.68452157627104,2
2025-01-23,487.2011,451.2810828783673,3
2025-01-24,401.2706999999999,414.98693206613945,4
2025-01-25,254.2798,281.6259909105146,5
2025-01-26,273.3697,256.2964342319807,6
2025-01-27,419.9616,373.83310399914757,0
2025-01-28,437.6335,393.4766347408449,1
2025-01-29,420.5182000000001,431.83732578658413,2
2025-01-30,428.9423000000001,480.0381745849126,3
2025-01-31,416.5512000000001,442.73905457971165,4
2025-02-01,262.1271,278.621180677572,5
2025-02-02,262.7291000000001,294.86886712792744,6
2025-02-03,442.2303,483.6191999277494,0
2025-02-04,480.8198999999999,437.17795322029144,1
2025-02-05,420.3728000000001,434.69191580551774,2
2025-02-06,456.8498999999999,461.2887754779,3
2025-02-07,419.8483,434.2288292676794,4
2025-02-08,243.9502,242.15002925537593,5
2025-02-09,244.8653,233.97327015458546,6
2025-02-10,467.6733,490.5281293523843,0
2025-02-11,471.13269999999983,491.5676123638139,1
2025-02-12,401.4137,457.1542042339108,2
2025-02-13,560.9027000000001,512.0888054989258,3
2025-02-14,420.8568999999999,487.10578716670994,4
2025-02-15,265.337,307.7116166602792,5
2025-02-16,268.2997,288.10364573197955,6
2025-02-17,459.1988999999998,477.8225632100354,0
2025-02-18,458.2189000000001,505.12903813540544,1
2025-02-19,227.15250000000003,434.7574356827203,2
