Day,Real_Consumption_kWh,Predicted_Consumption_kWh,Difference,Absolute_Error,Percent_Error
2024-09-06,591.6157,645.8921,54.2764,54.2764,9.1743
2024-09-07,211.6916,272.0606,60.3689,60.3689,28.5174
2024-09-08,256.4221,254.5736,-1.8484,1.8484,0.7209
2024-09-09,793.7168,721.7115,-72.0053,72.0053,9.0719
2024-09-10,614.0387,732.4149,118.3762,118.3762,19.2783
2024-09-11,674.7422,620.38,-54.3621,54.3621,8.0567
2024-09-12,845.4788,727.2078,-118.271,118.271,13.9886
2024-09-13,490.3993,615.8383,125.439,125.439,25.579
2024-09-14,264.0588,272.0606,8.0017,8.0017,3.0303
2024-09-15,250.8927,263.0984,12.2057,12.2057,4.8649
2024-09-16,1164.4959,829.0269,-335.469,335.469,28.8081
2024-09-17,615.8946,735.8736,119.9789,119.9789,19.4804
2024-09-18,648.6627,677.8227,29.16,29.16,4.4954
2024-09-19,649.0707,612.53,-36.5407,36.5407,5.6297
2024-09-20,476.217,547.0559,70.8389,70.8389,14.8753
2024-09-21,228.43,245.2699,16.8399,16.8399,7.372
2024-09-22,248.7662,254.1608,5.3946,5.3946,2.1685
2024-09-23,784.0835,721.7115,-62.372,62.372,7.9548
2024-09-24,855.8893,778.5192,-77.3701,77.3701,9.0397
2024-09-25,774.4993,716.7754,-57.7239,57.7239,7.4531
2024-09-26,658.4499,815.8308,157.3808,157.3808,23.9017
2024-09-27,655.6854,747.5118,91.8264,91.8264,14.0046
2024-09-28,415.4338,300.4238,-115.01,115.01,27.6843
2024-09-29,273.6816,289.3121,15.6305,15.6305,5.7112
2024-09-30,886.9709,812.1677,-74.8032,74.8032,8.4336
2024-10-01,835.3016,798.4472,-36.8545,36.8545,4.4121
2024-10-02,728.8132,739.9062,11.0929,11.0929,1.5221
2024-10-03,931.9177,841.4963,-90.4214,90.4214,9.7027
2024-10-04,532.3499,751.6507,219.3008,219.3008,41.1949
2024-10-05,309.7075,282.7301,-26.9774,26.9774,8.7106
2024-10-06,254.3091,271.4944,17.1853,17.1853,6.7577
2024-10-07,877.9307,776.2416,-101.6891,101.6891,11.5828
2024-10-08,1026.3026,892.3218,-133.9808,133.9808,13.0547
2024-10-09,959.724,726.8961,-232.8279,232.8279,24.2599
2024-10-10,701.3044,827.6493,126.3449,126.3449,18.0157
2024-10-11,606.9308,882.4614,275.5306,275.5306,45.3974
2024-10-12,320.83,272.0606,-48.7695,48.7695,15.201
2024-10-13,295.4386,277.229,-18.2096,18.2096,6.1636
2024-10-14,1057.2568,829.0269,-228.2299,228.2299,21.587
2024-10-15,712.0601,741.1443,29.0842,29.0842,4.0845
2024-10-16,892.8212,661.2664,-231.5548,231.5548,25.9352
2024-10-17,1022.7414,794.0814,-228.66,228.66,22.3576
2024-10-18,542.6242,728.4552,185.831,185.831,34.2467
2024-10-19,253.1983,292.3242,39.1259,39.1259,15.4527
2024-10-20,248.5667,256.2336,7.6669,7.6669,3.0845
2024-10-21,937.2068,750.4928,-186.7139,186.7139,19.9224
2024-10-22,1096.2595,833.0869,-263.1726,263.1726,24.0064
2024-10-23,795.627,663.4608,-132.1662,132.1662,16.6116
2024-10-24,916.8597,794.0814,-122.7783,122.7783,13.3912
2024-10-25,832.6383,830.2904,-2.3478,2.3478,0.282
2024-10-26,261.3144,352.0575,90.7431,90.7431,34.7256
2024-10-27,271.1155,289.3121,18.1966,18.1966,6.7117
2024-10-28,923.6648,750.4928,-173.1719,173.1719,18.7484
2024-10-29,920.4774,778.3534,-142.1239,142.1239,15.4402
2024-10-30,792.5172,699.4717,-93.0455,93.0455,11.7405
2024-10-31,779.2345,815.8308,36.5962,36.5962,4.6964
2024-11-01,320.4271,438.029,117.602,117.602,36.7016
2024-11-02,306.2374,276.4495,-29.7879,29.7879,9.7271
2024-11-03,302.6384,261.681,-40.9574,40.9574,13.5334
2024-11-04,1012.3652,964.8922,-47.473,47.473,4.6893
