Hour,Real_Consumption_kWh,Predicted_Consumption_kWh,Difference
2024-09-06 05:00:00,11.6387,10.7951,-0.8436
2024-09-06 06:00:00,16.6182,10.8157,-5.8025
2024-09-06 07:00:00,37.7855,10.8393,-26.9462
2024-09-06 08:00:00,64.366,14.8008,-49.5652
2024-09-06 09:00:00,77.0603,14.7677,-62.2926
2024-09-06 10:00:00,43.776,14.7134,-29.0626
2024-09-06 11:00:00,39.1239,14.6832,-24.4407
2024-09-06 12:00:00,32.3916,14.6474,-17.7442
2024-09-06 13:00:00,29.5919,14.6253,-14.9666
2024-09-06 14:00:00,23.1638,14.5976,-8.5662
2024-09-06 15:00:00,20.9834,14.5748,-6.4086
2024-09-06 16:00:00,17.2473,14.5472,-2.7001
2024-09-06 17:00:00,14.2163,14.5214,0.3051
2024-09-06 18:00:00,12.2033,14.493,2.2897
2024-09-06 19:00:00,10.8638,10.4532,-0.4106
2024-09-06 20:00:00,11.0467,10.4251,-0.6216
2024-09-06 21:00:00,10.6775,10.398,-0.2795
2024-09-06 22:00:00,10.3183,10.3704,0.0521
2024-09-06 23:00:00,10.3781,10.3433,-0.0348
2024-09-07 00:00:00,10.8994,10.326,-0.5734
2024-09-07 01:00:00,10.6004,10.2989,-0.3015
2024-09-07 02:00:00,10.6159,10.2715,-0.3444
2024-09-07 03:00:00,10.4707,10.2443,-0.2264
2024-09-07 04:00:00,10.7284,10.2169,-0.5115
2024-09-07 05:00:00,10.5189,10.1896,-0.3293
2024-09-07 06:00:00,10.7556,10.1623,-0.5933
2024-09-07 07:00:00,10.1467,10.135,-0.0117
2024-09-07 08:00:00,8.589,14.1205,5.5315
2024-09-07 09:00:00,2.6297,14.0932,11.4635
2024-09-07 10:00:00,0.5452,14.0659,13.5207
2024-09-07 11:00:00,-5.9753,14.0386,20.0139
2024-09-07 12:00:00,-8.7006,14.0113,22.7119
2024-09-07 13:00:00,-2.8766,13.984,16.8606
2024-09-07 14:00:00,-10.4467,13.9567,24.4034
2024-09-07 15:00:00,-8.4489,13.9294,22.3783
2024-09-07 16:00:00,-0.2039,13.9021,14.106
2024-09-07 17:00:00,5.0942,13.8748,8.7806
2024-09-07 18:00:00,6.421,13.8475,7.4265
2024-09-07 19:00:00,9.9525,9.8074,-0.1451
2024-09-07 20:00:00,11.2651,9.7801,-1.485
2024-09-07 21:00:00,10.7477,9.7528,-0.9949
2024-09-07 22:00:00,10.276,9.7255,-0.5505
2024-09-07 23:00:00,10.1763,9.6982,-0.4781
2024-09-08 00:00:00,10.5264,10.3795,-0.1469
2024-09-08 01:00:00,10.275,10.3522,0.0772
2024-09-08 02:00:00,10.2923,10.3249,0.0326
2024-09-08 03:00:00,10.3195,10.2976,-0.0219
2024-09-08 04:00:00,10.5507,10.2703,-0.2804
2024-09-08 05:00:00,10.4358,10.243,-0.1928
2024-09-08 06:00:00,10.6335,10.2157,-0.4178
2024-09-08 07:00:00,9.7308,10.1884,0.4576
2024-09-08 08:00:00,6.159,14.1739,8.0149
2024-09-08 09:00:00,1.831,14.1466,12.3156
2024-09-08 10:00:00,-0.9445,14.1193,15.0638
2024-09-08 11:00:00,-1.6351,14.092,15.7271
2024-09-08 12:00:00,-6.6277,14.0647,20.6924
2024-09-08 13:00:00,-3.0013,14.0374,17.0387
2024-09-08 14:00:00,-8.9283,14.0101,22.9384
2024-09-08 15:00:00,-4.4656,13.9828,18.4484
2024-09-08 16:00:00,2.3533,13.9555,11.6022
2024-09-08 17:00:00,3.8297,13.9282,10.0985
2024-09-08 18:00:00,4.817,13.9009,9.0839
2024-09-08 19:00:00,10.2887,9.8608,-0.4279
2024-09-08 20:00:00,21.8625,9.8335,-12.029
2024-09-08 21:00:00,22.3247,9.8062,-12.5185
2024-09-08 22:00:00,21.4878,9.7789,-11.7089
2024-09-08 23:00:00,21.4247,9.7516,-11.6731
2024-09-09 00:00:00,21.4901,10.7577,-10.7324
2024-09-09 01:00:00,14.5079,10.7304,-3.7775
2024-09-09 02:00:00,10.2111,10.7031,0.492
2024-09-09 03:00:00,10.3824,10.6758,0.2934
2024-09-09 04:00:00,10.3769,10.6485,0.2716
2024-09-09 05:00:00,10.5648,10.6212,0.0564
2024-09-09 06:00:00,11.1064,10.5939,-0.5125
2024-09-09 07:00:00,18.8474,10.5666,-8.2808
2024-09-09 08:00:00,60.1574,14.5521,-45.6053
2024-09-09 09:00:00,83.1429,14.5248,-68.6181
2024-09-09 10:00:00,82.2665,14.4975,-67.769
2024-09-09 11:00:00,87.8978,14.4702,-73.4276
2024-09-09 12:00:00,58.1711,14.4429,-43.7282
2024-09-09 13:00:00,37.5093,14.4156,-23.0937
2024-09-09 14:00:00,35.7654,14.3883,-21.3771
2024-09-09 15:00:00,21.3888,14.361,-7.0278
2024-09-09 16:00:00,16.8998,14.3337,-2.5661
2024-09-09 17:00:00,19.1163,14.3064,-4.8099
2024-09-09 18:00:00,14.966,14.2791,-0.6869
2024-09-09 19:00:00,11.9124,10.239,-1.6734
2024-09-09 20:00:00,12.2396,10.2117,-2.0279
2024-09-09 21:00:00,11.9259,10.1844,-1.7415
2024-09-09 22:00:00,11.8065,10.1571,-1.6494
2024-09-09 23:00:00,11.6125,10.1298,-1.4827
2024-09-10 00:00:00,11.7857,10.8111,-0.9746
